ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,84819,57821,2822,1296,597,22682,410,0,0,84164,55135,3569,1505,763,23829,562,0,0,80756,50250,3397,1888,756,24707,373,83878,54297,3754,1545,760,24036,519,869,517,16575,353,7494,81389,52215,3946,1707,894,23184,399,64691,47258,1573,864,364,14744,220,0,0,63730,45006,1552,950,326,15731,203,767,294,10916,203,88,0,62521,41982,2061,1200,489,16645,206,62521,41982,2061,675,303,10495,147,6765,63650,44849,1600,998,343,15780,178,0,0,0,0,61788,43352,1781,1025,449,15223,64,712,365,10802,64,61500,42864,1756,1156,420,15229,65,722,299,10078,65,32528,11734,20334,29484,9897,19587,31471,7178,22910,31209,7245,21991,25796,9594,15302,25501,8094,17407,23923,0,18824,25634,7583,17161,23884,0,18659,30046,8048,20980,33566,7461,25514,33384,8618,23006
2,2,71829,53571,3097,1368,1122,13157,115,0,0,78286,57070,4147,1797,1635,14595,13,0,0,83213,54339,5501,2698,2352,18966,161,79204,56643,3927,2033,1825,15485,36,1265,1436,8543,9,7304,83938,58705,4733,1963,2059,16856,66,52811,41425,1743,818,675,8292,65,0,0,57789,44566,1673,883,940,9596,0,779,823,5748,0,91,0,62898,43961,3370,1603,1489,12470,91,62898,43961,3370,1023,1214,6432,25,6648,59254,44985,1687,1111,1106,10260,10,0,0,0,0,62823,47073,2260,1047,1111,11182,20,798,977,6974,20,64608,47824,3110,1233,1163,11120,48,875,1041,6965,48,32125,8827,23121,30913,7712,23201,34789,7121,25860,34678,6040,26253,28322,9543,17884,27994,7643,20351,26603,0,21458,28139,7202,20081,26539,0,20674,33904,8239,24386,38862,9157,28788,38842,9733,27156
3,3,79180,53044,2535,2629,669,21117,112,0,0,82259,54762,3214,2640,913,21563,265,0,0,80562,49229,3435,2923,1023,24650,100,82665,54594,3487,2979,986,21524,186,1795,677,13384,103,8532,81584,52544,3739,3340,945,21924,165,58647,42245,1368,1611,378,13304,63,0,0,61765,43783,1379,1692,404,14332,98,1500,334,9538,98,185,0,60926,40268,2035,1836,657,16181,57,60926,40268,2035,1216,457,10203,16,6590,62593,44202,1683,1810,510,14101,91,0,0,0,0,62062,43113,1810,1869,545,14458,68,1363,499,9939,68,64796,44408,2411,2025,648,15119,40,1320,508,9978,40,32066,10652,21085,28516,8840,19676,31595,6859,23222,31424,6677,22799,26195,9119,16067,25929,7745,18184,24529,0,18780,26047,7263,17788,24447,0,18695,30806,7819,21967,35060,7758,26641,34977,8452,25004
4,4,87356,50066,3229,950,901,33232,104,0,0,86926,48073,4277,1362,1199,33473,205,0,0,80677,42655,3783,1417,1037,33026,112,87433,47469,4397,1516,1193,34102,170,906,939,25467,70,8162,82096,44283,4433,1717,1213,31908,103,65270,41071,1704,522,550,21766,57,0,0,65882,40173,1711,749,503,22661,68,591,465,17349,68,128,0,62156,36105,2130,844,711,22668,68,62156,36105,2130,424,572,16281,31,6496,66267,40093,1784,868,517,22964,49,0,0,0,0,62632,37440,1789,935,604,21801,45,556,534,16671,45,62553,37378,1842,1043,728,21359,49,594,619,15788,49,30109,9800,19858,28252,8734,19518,29503,6293,21991,29147,6838,20568,23934,8260,14825,23641,6838,16803,22229,0,17474,23715,6606,16293,22176,0,17426,28275,6950,20490,32139,6444,25168,31969,7087,23602
5,5,86535,60817,5076,4690,542,16256,69,0,0,85911,58174,5545,4795,841,17614,405,0,0,81765,51952,5571,4833,673,19441,560,86033,57588,5685,4773,876,17985,507,3479,653,10478,469,7644,82483,54202,5873,4666,953,17201,624,64871,48544,2822,3133,350,10292,45,0,0,63041,46788,1784,3071,339,11102,54,2736,293,6930,54,95,0,61870,42396,3200,3208,477,12614,308,61870,42396,3200,2619,339,7856,272,5103,63037,46544,1869,3003,362,11213,89,0,0,0,0,60452,44051,1977,2894,407,10897,143,2583,362,7150,143,60261,43544,2171,2869,526,10911,134,2493,416,6983,134,29086,8305,20272,26870,7225,19645,29183,5221,23053,28440,6615,19818,21289,6957,13786,21008,5732,15276,19703,0,16382,21087,5626,14936,19675,0,16137,26924,5845,20328,31610,5300,25889,31310,5562,24649
6,6,81867,58777,3196,3718,522,16609,69,0,0,84909,58822,4347,4194,648,18154,183,0,0,83910,54079,4921,4348,701,21001,114,85531,58504,4612,4286,656,18781,143,3012,412,11072,82,7781,84402,56806,4919,4655,874,18463,127,62600,47532,1872,2466,353,10755,50,0,0,64015,47461,1949,2802,266,11720,47,2371,201,7598,47,97,0,64743,44792,2993,2903,510,13847,75,64743,44792,2993,2168,353,8735,19,5531,64453,47558,1918,2822,280,11901,29,0,0,0,0,63819,46323,2192,2992,394,11848,27,2191,303,7425,27,65044,46768,2472,3119,438,12067,9,2405,259,7536,9,28612,8779,19278,26459,7217,19242,28152,5378,21801,27586,6313,19300,22336,7153,14574,22015,6105,15910,20635,0,17250,22106,5869,15570,20595,0,16942,26964,6079,20104,31287,5802,24995,31115,5874,24112
7,7,89614,63188,3329,2679,645,20784,86,0,0,86203,58242,4136,3059,795,21397,128,0,0,83563,52687,4110,2805,861,24209,153,85972,57479,4482,3005,863,21665,116,1596,488,9375,55,12436,83697,55257,4744,2989,986,20776,141,68446,51186,1972,1881,405,13430,55,0,0,65446,47375,1610,1947,365,14184,27,1490,239,6783,27,185,0,64423,43813,2458,1901,602,15925,92,64423,43813,2458,1319,419,10061,45,6185,65128,46877,1652,1904,476,14202,32,0,0,0,0,63313,45020,2138,1903,474,13699,24,1308,373,6836,24,63690,44763,2271,1944,466,14070,34,1238,348,7523,34,32883,10166,22178,29312,8750,20562,32747,6815,24594,32356,7889,22421,25493,9375,15189,25178,7855,17323,23394,0,18699,25270,7565,16819,23415,0,18213,30500,7642,21953,34213,6708,26985,34034,7385,25315
8,8,88694,58531,2409,7389,429,21478,95,0,0,86377,55780,3175,7204,459,21683,146,0,0,81039,50026,2925,6650,585,22546,128,85593,54982,3205,6982,497,21743,193,5119,212,13006,0,9005,82160,52206,3336,6832,756,20755,171,67610,47567,1394,5285,285,13777,57,0,0,65463,44963,1629,4967,196,14053,0,4212,135,9059,0,185,0,63243,41741,1806,4810,399,15190,67,63243,41741,1806,3769,248,9957,18,5558,65201,44751,1594,4766,196,14166,0,0,0,0,0,63192,42769,1802,4622,412,13669,20,3753,370,8754,20,63206,42395,1885,4502,470,13830,35,3589,430,9093,35,34459,13467,20400,29244,11275,17969,31643,8747,21504,31435,8503,21053,25287,10464,13976,25042,9024,16018,23184,0,17358,25133,8683,15583,23180,0,17146,29665,9063,19710,32896,8497,23795,32765,9114,22282
9,9,83393,45571,5455,9412,797,24065,82,0,0,82665,42840,6002,9281,1029,25563,134,0,0,81178,38929,6471,8938,1061,28207,135,82838,42078,6226,8853,954,26615,121,6949,660,18646,45,8166,80728,39956,6775,8588,1236,26154,219,63163,38037,3160,6420,587,15767,66,0,0,61772,36132,2291,6169,344,17049,58,5555,254,12948,58,91,0,62487,33425,3934,6201,754,19105,78,62487,33425,3934,5020,576,12746,34,6591,61994,35818,2375,6144,330,17560,24,0,0,0,0,60373,34127,2783,5814,455,17215,4,5054,327,12612,4,60631,34196,2769,5939,501,17317,0,4963,347,12610,0,30135,12976,16804,26759,11685,15074,28728,10173,16918,28594,9366,17254,23615,12218,10581,23343,10111,13232,21697,0,14189,23436,9946,12620,21609,0,14179,27149,10625,15496,29538,10634,18191,29467,11070,16978
