ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,68182,61021,3213,450,843,2947,165,0,0,70227,61138,4607,676,1025,3732,193,0,0,71157,59882,4287,667,1204,4488,320,70744,60812,4995,589,1101,4011,179,130,454,1083,49,36,3178,71848,60460,5269,629,1174,4043,54,55418,50675,1986,219,553,2099,104,0,0,57516,51445,2663,453,560,2240,30,191,363,682,149,0,59001,50796,2920,429,844,3320,198,59001,50796,2920,184,476,926,54,263,3382,57694,51239,2694,352,533,2639,51,0,0,0,0,0,58333,51582,2900,321,681,2709,0,171,379,692,0,58893,51610,3063,269,811,2846,55,72,413,690,55,35559,14271,20259,32872,12621,20251,36806,10686,22985,36080,14322,18285,36045,12109,21350,34327,12597,20580,33927,9788,21126,40363,13502,25138,43911,14804,28002,42892,15571,26108,42028,14499,26502,42406,12969,27472,42023,13624,25646
2,2,68486,61209,3243,500,1100,2539,280,0,0,69126,61248,3597,445,1306,2565,266,0,0,71055,59497,4414,663,1556,3990,388,70054,61389,3760,640,1403,2906,350,480,584,654,59,68,3069,70932,61348,4153,652,1692,3000,156,54571,49784,1986,259,740,1803,172,0,0,54885,50302,1827,212,657,1739,42,182,460,477,106,0,57558,49228,2877,414,1120,3000,249,57558,49228,2877,201,678,883,88,264,3339,55915,50667,2169,325,715,1850,48,0,0,0,0,0,56989,51247,2710,268,857,1846,4,165,447,511,4,57099,50816,2857,468,875,1886,50,171,444,474,50,33703,13166,19682,30376,11073,19303,34097,9373,21490,33378,12954,17257,33539,10517,20426,31181,10835,19266,31522,7878,20479,37509,11677,24002,40942,12742,26945,39864,13659,24904,39164,12630,25408,39532,11004,26529,39036,11850,24585
3,3,65805,57943,4473,569,1008,2165,309,0,0,68155,58610,5559,795,1170,2504,165,0,0,70671,57860,5921,1024,1637,3679,408,68853,58806,5804,806,1211,2303,245,463,553,713,51,380,2073,70585,59344,6071,798,1305,2699,414,52036,47039,2638,286,668,1536,195,0,0,52988,47595,2779,361,504,1511,37,320,379,558,186,0,57121,48013,3998,659,1165,2752,271,57121,48013,3998,270,628,567,87,348,3210,53901,48112,3292,390,542,1225,65,0,0,0,0,0,55376,48979,3497,433,627,1583,105,313,335,234,105,55370,48638,3640,442,798,1565,72,253,386,202,72,32371,13801,17586,29843,11802,18041,34488,10789,20305,33629,14632,15576,33567,12180,18149,31816,12071,18551,31235,9834,18406,37017,13367,21755,40243,14966,24097,39113,15118,22493,38224,14376,22749,38447,12661,23551,38083,13083,21859
4,4,67417,59986,4045,518,921,2181,279,0,0,70211,61423,5373,224,1038,2388,427,0,0,71115,59237,5436,792,1515,3499,455,70163,59939,5687,683,1102,2804,548,227,549,739,296,60,2675,69295,58415,5754,855,1339,2716,594,53711,48810,2521,240,618,1603,173,0,0,55455,50461,2773,87,524,1279,97,72,318,748,252,0,57870,49425,3680,486,1026,2623,290,57870,49425,3680,256,619,607,110,248,2925,55836,50315,2845,301,495,1553,154,0,0,0,0,0,55252,49271,2989,448,739,1445,209,131,436,364,209,56501,49422,4007,629,820,1403,23,232,514,382,23,34183,13013,20230,31905,11281,20624,36866,9727,23954,36007,14218,18634,35895,10853,22178,34026,11007,21890,33751,8698,22033,39818,12059,25972,43189,13441,28605,42105,13751,27064,41212,12845,27260,41542,11473,28048,41167,11925,26461
5,5,65853,55810,6150,911,1509,1720,395,0,0,69120,57329,7563,1126,2039,1469,193,0,0,71219,55881,8341,1262,2223,2852,469,70418,57782,7735,1064,2272,1498,217,680,1389,218,126,410,2073,70205,57305,7362,1060,1885,1912,301,53480,46874,3861,541,1037,1267,259,0,0,55075,48372,3836,616,1107,924,100,487,762,260,136,0,59103,48044,5622,830,1673,2167,346,59103,48044,5622,390,1011,366,131,530,3009,57063,49710,4355,585,1188,998,130,0,0,0,0,0,56753,49691,4140,597,761,1214,139,303,479,271,139,56354,49282,3963,412,1031,1258,53,159,533,197,53,38157,23708,13646,34660,21705,12955,40405,22899,13267,39369,23952,10738,39113,23389,13461,37204,22963,13216,38429,22814,13164,42170,26272,13971,44466,28512,14677,43687,28094,14099,42605,27305,14463,42723,24827,15293,42488,25352,14299
6,6,63312,50351,8850,1043,1432,1911,533,0,0,68733,51763,11361,1263,1873,2814,694,0,0,71283,50551,12435,1643,2515,3503,825,69718,52127,11835,1218,2060,2701,498,580,1036,1131,321,250,2443,71890,52928,12986,1474,2513,2335,495,47862,39991,5130,559,967,1282,282,0,0,49633,41221,5134,542,831,1533,210,300,650,775,151,0,54790,40967,7902,997,1737,2510,527,54790,40967,7902,530,1137,459,328,263,3204,50549,40861,6052,582,1042,1591,184,0,0,0,0,0,53343,42956,6765,787,1289,1218,148,438,566,251,148,52998,42229,7021,976,1389,1016,67,514,670,204,67,27506,12554,14350,25714,11275,14439,29921,11329,15238,29114,14249,12144,29011,11998,15041,27539,11876,14814,27607,10285,14884,32858,14314,16807,35859,16379,18257,34911,16194,17389,34039,15470,17690,34284,13586,18693,33989,14110,17453
7,7,68139,55585,7683,1304,1516,2442,379,0,0,71424,57448,7738,1568,2478,2756,767,0,0,71134,53313,9815,1826,2107,3893,636,72730,58847,7726,1474,2465,2560,553,597,1334,564,125,24,3514,71357,55421,9119,1735,2440,2682,486,52133,44389,4494,670,1006,1658,257,0,0,53538,46591,3142,720,1127,1594,109,531,700,627,275,0,55874,43771,6315,1050,1464,2882,424,55874,43771,6315,551,844,604,205,274,3310,55330,47961,3364,734,1310,1621,78,0,0,0,0,0,53991,45763,4006,896,1358,1465,68,437,708,437,68,54177,45417,4670,641,1484,1568,8,414,745,408,8,28962,16877,11451,26296,15190,11106,31387,14611,12756,30587,16959,10133,30530,15006,13212,28705,15627,11881,27986,13014,12293,34316,18218,14063,37698,20521,15705,36697,20801,14362,35483,19591,14789,35866,17444,15722,35502,18145,14488
8,8,63754,52856,3609,1516,4554,1614,375,0,0,70127,55967,5356,1773,5784,1645,514,0,0,71301,53874,6185,2530,5783,2529,551,71412,55683,5813,2066,6583,1568,559,864,4331,330,189,163,4036,74062,57588,6606,2250,6384,1567,434,55818,46959,2770,1117,3931,1217,310,0,0,58108,49001,3784,1141,2652,1151,128,704,1705,462,305,0,62445,47990,4990,1980,4956,2019,443,62445,47990,4990,1120,3357,357,136,494,4001,59530,49316,4253,1240,3183,1004,184,0,0,0,0,0,62999,51631,4958,1243,3540,926,225,699,1972,247,225,64591,51974,5333,1347,3885,1223,128,866,2278,550,128,35718,29246,5682,31215,25666,5549,36175,27085,4927,34902,26000,4458,34484,26734,5915,32807,26307,5405,33396,26339,5534,36380,29249,5245,38152,31385,5435,37462,30390,5157,36142,29945,5396,36364,27184,6012,35931,27358,5742
9,9,67379,59073,3500,551,1218,3232,314,0,0,67943,58273,4275,686,1674,3461,247,0,0,70203,58261,4527,827,1659,4265,506,68349,58622,4221,688,1834,3052,200,399,1179,1154,26,129,2628,69719,58753,4519,955,1912,3485,351,55413,49871,2114,338,864,2267,208,0,0,54688,48688,2351,334,881,2182,22,254,611,937,171,0,58380,49718,3071,529,1243,3180,333,58380,49718,3071,235,761,908,111,304,3272,55389,49494,2452,328,954,1922,16,0,0,0,0,0,56639,50187,2618,466,766,2316,102,289,497,1061,102,57569,51203,2852,559,610,2004,92,380,267,761,92,34024,17282,15763,30555,15403,15152,34702,13367,17904,34118,16373,14257,34103,14352,17308,32468,14969,16213,32210,12472,16909,38073,16480,19775,41483,18182,22115,40471,18658,20446,39359,17491,20840,39753,15738,21681,39482,16636,20146
