ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,136668,122230,6456,950,1943,5486,445,0,0,139353,122386,8204,1121,2331,6297,459,0,0,142212,119379,8701,1330,2760,8478,708,140798,122201,8755,1229,2504,6917,529,610,1038,1737,108,104,6247,142780,121808,9422,1281,2866,7043,210,109989,100459,3972,478,1293,3902,276,0,0,112401,101747,4490,665,1217,3979,72,373,823,1159,255,0,116559,100024,5797,843,1964,6320,447,116559,100024,5797,385,1154,1809,142,527,6721,113609,101906,4863,677,1248,4489,99,0,0,0,0,0,115322,102829,5610,589,1538,4555,4,336,826,1203,4,115992,102426,5920,737,1686,4732,105,243,857,1164,105,69262,27437,39941,63248,23694,39554,70903,20059,44475,69458,27276,35542,69584,22626,41776,65508,23432,39846,65449,17666,41605,77872,25179,49140,84853,27546,54947,82756,29230,51012,81192,27129,51910,81938,23973,54001,81059,25474,50231
2,2,133222,117929,8518,1087,1929,4346,588,0,0,138366,120033,10932,1019,2208,4892,592,0,0,141786,117097,11357,1816,3152,7178,863,139016,118745,11491,1489,2313,5107,793,690,1102,1452,347,440,4748,139880,117759,11825,1653,2644,5415,1008,105747,95849,5159,526,1286,3139,368,0,0,108443,98056,5552,448,1028,2790,134,392,697,1306,438,0,114991,97438,7678,1145,2191,5375,561,114991,97438,7678,526,1247,1174,197,596,6135,109737,98427,6137,691,1037,2778,219,0,0,0,0,0,110628,98250,6486,881,1366,3028,314,444,771,598,314,111871,98060,7647,1071,1618,2968,95,485,900,584,95,66554,26814,37816,61748,23083,38665,71354,20516,44259,69636,28850,34210,69462,23033,40327,65842,23078,40441,64986,18532,40439,76835,25426,47727,83432,28407,52702,81218,28869,49557,79436,27221,50009,79989,24134,51599,79250,25008,48320
3,3,129165,106161,15000,1954,2941,3631,928,0,0,137853,109092,18924,2389,3912,4283,887,0,0,142502,106432,20776,2905,4738,6355,1294,140136,109909,19570,2282,4332,4199,715,1260,2425,1349,447,660,4516,142095,110233,20348,2534,4398,4247,796,101342,86865,8991,1100,2004,2549,541,0,0,104708,89593,8970,1158,1938,2457,310,787,1412,1035,287,0,113893,89011,13524,1827,3410,4677,873,113893,89011,13524,920,2148,825,459,793,6213,107612,90571,10407,1167,2230,2589,314,0,0,0,0,0,110096,92647,10905,1384,2050,2432,287,741,1045,522,287,109352,91511,10984,1388,2420,2274,120,673,1203,401,120,65663,36262,27996,60374,32980,27394,70326,34228,28505,68483,38201,22882,68124,35387,28502,64743,34839,28030,66036,33099,28048,75028,40586,30778,80325,44891,32934,78598,44288,31488,76644,42775,32153,77007,38413,33986,76477,39462,31752
4,4,131893,108441,11292,2820,6070,4056,754,0,0,141551,113415,13094,3341,8262,4401,1281,0,0,142435,107187,16000,4356,7890,6422,1187,144142,114530,13539,3540,9048,4128,1112,1461,5665,894,314,187,7550,145419,113009,15725,3985,8824,4249,920,107951,91348,7264,1787,4937,2875,567,0,0,111646,95592,6926,1861,3779,2745,237,1235,2405,1089,580,0,118319,91761,11305,3030,6420,4901,867,118319,91761,11305,1671,4201,961,341,768,7311,114860,97277,7617,1974,4493,2625,262,0,0,0,0,0,116990,97394,8964,2139,4898,2391,293,1136,2680,684,293,118768,97391,10003,1988,5369,2791,136,1280,3023,958,136,64680,46123,17133,57511,40856,16655,67562,41696,17683,65489,42959,14591,65014,41740,19127,61512,41934,17286,61382,39353,17827,70696,47467,19308,75850,51906,21140,74159,51191,19519,71625,49536,20185,72230,44628,21734,71433,45503,20230
5,5,132061,114628,8143,1051,2346,6441,544,0,0,136369,115258,10412,1478,3031,6884,529,0,0,140391,114408,10746,1593,3394,8958,918,138439,116340,10701,1577,3204,6596,464,603,1979,2291,136,526,5867,140936,116525,11167,1791,3485,7401,680,108315,96746,4972,621,1686,4443,360,0,0,108870,97047,4646,773,1619,4374,98,501,1179,1898,273,0,116835,98152,7161,1017,2557,6640,611,116835,98152,7161,446,1529,2142,205,610,6590,111352,99379,5023,683,1750,4254,53,0,0,0,0,0,114373,101151,5433,929,1603,4960,149,483,1134,1921,149,116745,103011,6024,1066,1573,4601,155,623,906,1825,155,68418,37168,29237,62502,34052,28450,71103,30635,33012,70019,36337,26406,69948,32392,32849,66812,33719,30586,66726,29553,31820,78402,37962,36656,85083,41999,40535,83352,42582,37848,81363,40497,38733,81993,36568,40414,81448,38091,37603
6,6,129533,115762,7022,1047,1933,4115,439,0,0,138064,121301,9177,1222,2050,4441,633,0,0,141318,118183,9884,1806,2880,7123,764,140274,121992,9593,1489,2233,4884,757,712,1111,1214,106,361,5165,141669,121967,9704,1634,2843,5621,790,100226,91715,4068,474,1226,2815,258,0,0,105983,97474,3855,580,896,2692,88,347,596,951,431,0,111618,95654,6266,1097,1978,5232,468,111618,95654,6266,446,1149,1166,151,630,6156,108736,99295,4215,722,1083,2974,61,0,0,0,0,0,111170,100667,4873,668,1449,2883,93,377,837,476,93,112125,100303,5449,715,1902,3054,132,287,1120,540,132,62934,29105,32238,58211,25974,32237,68887,23381,37807,67302,29672,30904,67611,24638,38647,63529,26365,34818,63997,21430,36988,76447,29007,43494,83586,32236,48662,81554,32898,45786,79439,30946,45986,80335,27719,48180,79378,28824,45207
7,7,127229,106302,10383,2614,4914,3832,739,0,0,135320,106704,14518,3831,6880,5056,1175,0,0,141405,108308,15231,4113,6630,6910,1236,135955,107288,14935,3745,6467,5135,1251,1740,3724,1114,432,334,6390,138294,107313,14932,4465,7193,5371,1107,99354,85907,6311,1455,3330,2572,453,0,0,103167,87330,7050,2009,3325,2807,171,1518,2177,770,501,0,114088,90852,10177,2643,4730,5027,802,114088,90852,10177,1492,3124,921,335,636,6551,104154,87977,7304,1991,3196,3051,229,0,0,0,0,0,107160,89571,7673,2213,3685,3116,224,1312,2382,711,224,108333,89174,8852,2465,4129,2751,345,1561,2642,713,345,67509,42120,24033,61464,38118,23346,71910,39338,24190,70299,42208,21162,70056,39052,27069,65973,39021,24715,66782,37195,25052,77598,47361,26273,84028,53232,27932,81990,52375,26502,79209,49636,27448,79913,44858,29608,79040,46043,27543
8,8,127146,105398,10886,1792,6634,2756,735,0,0,136339,109303,13037,2433,9170,4031,636,0,0,141755,106656,15894,2806,9913,5396,1115,136788,109041,13392,2439,9381,4184,774,1169,7412,615,274,147,4753,141143,110376,14632,3113,9867,4537,1050,101530,86502,6799,1126,5216,1971,506,0,0,103595,89993,6195,1275,3805,1855,166,823,2879,559,374,0,115838,89848,10793,1941,8180,4014,807,115838,89848,10793,1041,6346,774,356,601,6079,103187,89050,6434,1287,3998,1744,271,0,0,0,0,0,107023,90597,7376,1819,4668,1669,275,1041,3559,377,275,107445,89331,8574,1841,5102,1751,329,1005,4032,401,329,62804,37245,24160,60473,35359,25114,68357,35838,23779,66592,37598,21207,66529,34920,27535,63005,35833,24873,62594,32713,25512,72328,41611,26606,77528,46269,28156,75949,45497,27161,74012,43886,27913,74552,38843,29967,73860,40237,28116
9,9,130763,104087,19773,1363,2741,3353,750,0,0,138156,105494,23325,1712,3195,6447,1041,0,0,142091,104262,25488,1890,3714,6071,1091,140842,105227,25115,2272,3841,6139,1053,889,2500,839,345,350,5586,142156,103376,27546,2581,4334,6508,739,97454,81435,11347,759,1827,2246,421,0,0,99438,83848,9816,708,1787,2840,240,506,1490,581,242,0,109353,84215,16165,1116,2566,4419,704,109353,84215,16165,638,1752,927,344,532,4780,101460,85322,10336,740,1992,2709,309,0,0,0,0,0,103403,85330,12184,844,2389,2267,219,585,1593,728,219,103668,85434,11861,1068,2472,2253,338,679,1392,652,338,58061,24652,31983,52573,20870,31703,63775,20509,36341,62527,25951,31250,62921,20208,39605,59471,22998,34473,59446,19185,36226,71253,25539,42351,78003,28589,47069,76301,28841,44961,74473,27196,44582,75405,24444,47033,74693,25630,44125
