ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,208290,134786,20711,26785,26834,1675,377,0,0,228709,145755,24060,27317,33558,1777,427,0,0,249833,159968,25394,25362,37453,3083,395,250243,160098,25447,25673,37480,3085,398,230640,146437,25308,27381,33701,1657,360,20666,30360,245,61,7355,231388,147909,24868,26898,32297,2230,547,179761,121577,15568,21128,21773,1338,295,0,0,179573,127042,13293,19411,18531,720,59,18404,17339,190,59,474,0,217535,144884,19119,20771,30794,2413,303,217535,144884,19119,17518,28067,186,47,6605,179417,128031,13282,18501,18372,549,52,0,0,0,0,183623,131080,13387,19144,18563,777,93,16900,17066,173,93,187317,131321,13960,19917,20518,781,82,17452,18860,215,82,101397,78700,21651,96542,77222,19320,115333,91468,20512,112311,86625,24076,110032,88268,21764,108574,83011,21223,108976,84926,19778,100471,85301,13523,100156,85842,12975,115262,92971,20159,134057,107690,25364,129856,101101,24444,128634,97507,26322,129444,99330,25376
2,2,254243,85747,84830,73800,17017,4579,977,0,0,264383,71552,100993,81045,19411,4056,289,0,0,258949,61460,101220,78558,23189,4802,776,260277,61661,101740,78751,23196,4803,776,266791,70506,105161,79404,20331,4134,221,63781,18297,632,0,7059,264081,66030,110200,75226,21204,3797,321,177791,70056,53120,45473,12259,2851,669,0,0,165715,56201,55716,43882,8872,1204,4,42430,8671,470,4,265,0,188871,51112,69380,53400,17389,3486,565,188871,51112,69380,45235,16065,298,74,4839,167455,55781,58850,43091,8804,1216,0,0,0,0,0,164798,53302,58727,41826,10221,967,0,40072,9449,327,0,157232,47917,53558,43946,10815,892,41,42401,10055,247,41,93193,71760,20534,86377,72174,14203,90481,71663,17079,86075,67958,16955,84907,69778,15129,84063,67075,15063,84252,69382,13203,60073,50471,8969,60218,50687,8948,78093,61683,15357,89643,66962,21997,82738,62338,18150,81665,60018,18380,82244,61249,18454
3,3,253768,31980,45612,166162,15598,3287,562,0,0,258299,32578,53585,160183,17570,3898,436,0,0,262203,39675,53115,156127,18726,4231,682,263993,39732,53367,156774,18727,4232,682,258575,34315,55098,156808,17624,3502,233,144737,15952,577,55,6405,266259,38287,57896,156453,19336,5153,311,188161,29703,30449,118805,12132,2279,399,0,0,181432,28716,30118,111015,9756,1250,68,109243,9499,336,68,1152,0,204185,36660,37576,116883,15669,3167,573,204185,36660,37576,108786,14305,395,193,5190,184062,30614,31327,111030,9469,1037,28,0,0,0,0,189275,34410,33286,110117,9699,1408,4,107356,9043,257,4,188401,36261,32244,107527,11006,1510,13,104434,9983,256,13,121182,114453,6185,119878,114997,4881,115007,107958,5213,111171,103477,6758,110077,104098,5979,109311,101141,6162,109466,101891,5661,85843,81849,3167,85831,82057,3094,102359,95720,5540,111649,103003,8032,105864,96015,7227,104935,94788,7159,105332,94693,7917
4,4,261461,106643,7735,139977,8931,2622,301,0,0,265501,104788,9959,142453,9549,3101,541,0,0,267449,102154,12174,142279,10727,3734,329,268248,102194,12182,142652,10728,3734,330,268821,103401,9667,146442,10262,2862,461,138322,8132,469,30,8078,275271,106314,10613,147950,10840,2616,336,204186,86889,5060,106303,6681,1915,220,0,0,204512,85043,5984,106729,5049,1478,53,104656,4476,281,53,1186,0,212481,84252,8320,111208,8090,2824,215,212481,84252,8320,105190,6931,384,41,6179,204786,84604,5874,107237,5324,1384,30,0,0,0,0,209058,88072,6516,107528,5399,1136,65,104961,4641,266,65,209437,87624,8727,105737,5668,1585,16,102686,4679,257,16,154716,130406,23378,150242,127129,23113,148546,125302,19805,146594,120424,24823,145797,126043,19754,143545,117473,23193,143935,120139,21035,130018,113321,15358,129953,114214,14590,145049,123610,19608,159568,135770,22726,156410,132523,20344,154967,126509,23496,155479,128192,22979
5,5,254087,185508,19666,30193,18751,1621,321,0,0,258607,165618,31265,36214,26196,1693,463,0,0,266769,158116,31906,41055,33019,2875,403,267205,158334,31958,41437,33031,2879,403,258595,161584,30236,38914,29040,2519,542,32173,26622,222,94,6348,257319,151406,31325,41885,32476,3407,716,202516,152851,13106,22108,14063,1068,236,0,0,184392,129356,17833,22169,13939,772,65,21213,13281,242,65,432,0,210597,132265,21813,29499,24456,2147,295,210597,132265,21813,26039,22104,281,39,6316,184961,127265,17179,22986,15814,739,100,0,0,0,0,180650,119375,18007,24365,16780,938,94,23126,15889,32,94,178022,113966,20074,24824,17108,1049,48,23864,16593,88,48,110134,62163,46736,98540,59320,39220,106565,57299,46557,102574,55222,45765,100595,61170,39425,97922,54688,40425,98482,60197,35970,78538,49123,28526,78543,50161,27507,98487,55797,41192,115438,61055,53519,109798,61975,45289,107994,55719,48102,108873,58655,47167
6,6,260618,223478,11904,10385,14531,1505,241,0,0,261443,215345,14396,12587,19249,860,585,0,0,269500,213183,17055,13224,22348,3016,263,269699,213325,17073,13323,22384,3016,266,261588,210211,14603,12979,19356,1113,550,9958,16589,176,60,5528,268873,213044,16842,14620,21004,1949,321,202982,177305,7826,6832,10599,1027,168,0,0,199530,174425,6934,7428,10139,404,4,6778,9691,195,4,253,0,215917,175988,11187,9215,16532,2209,199,215917,175988,11187,7612,15144,177,47,5079,202274,175829,7354,7842,10458,506,8,0,0,0,0,207070,177320,8382,8638,11670,666,14,7785,10480,133,14,206541,175223,9487,8483,12148,791,8,7502,10726,150,8,138448,72525,64371,131276,65455,65821,142163,67395,70072,139922,63633,74136,137932,68957,68975,136815,62437,70504,136702,66167,67069,120837,66728,52388,120890,69826,49594,141344,71448,67499,163549,80854,81133,161432,80414,77360,160252,72036,83075,160618,76593,79856
7,7,252439,88536,7124,146632,11474,2598,324,0,0,264387,88034,9625,154636,13339,2245,789,0,0,262503,90573,11708,144487,16382,3539,435,263697,90617,11733,145082,16388,3541,435,259851,85963,10532,151619,12870,2195,858,144222,10530,464,36,6813,267718,89120,11312,152546,14266,2787,1073,202469,78329,5240,109374,10105,1926,266,0,0,200003,75875,6731,110087,5941,1421,25,108547,5370,517,25,541,0,215610,80113,8804,112228,14291,2734,337,215610,80113,8804,106205,12584,335,87,6530,198448,74365,7418,109412,5755,1345,20,0,0,0,0,205769,77385,7839,111363,7333,1515,33,108683,6378,363,33,205768,77405,8572,110075,7389,1698,72,106724,6241,347,72,133469,115381,17300,128588,112233,16355,129243,110802,15330,126243,105903,18807,124647,107838,16809,123078,102437,17337,123453,104415,15833,106468,94417,10665,106424,95147,10084,122636,105968,14763,136535,118157,17367,132051,111552,16565,130955,108660,17846,131449,109505,17838
8,8,250417,65976,7963,160888,17346,2591,490,0,0,249502,66182,11253,157780,16449,2475,245,0,0,255286,65270,12998,156241,21490,3726,367,256726,65384,13016,156968,21503,3726,367,248918,65425,10791,158113,17477,2095,208,149729,14855,769,134,6744,250502,64310,12896,157709,18542,2756,205,188068,57050,5372,112790,13549,1813,343,0,0,179248,57145,6557,105945,8223,1246,80,104548,7683,645,80,563,0,200429,57684,9233,115886,17484,2794,268,200429,57684,9233,109947,15875,389,47,6210,180330,56865,6140,107152,8374,1243,74,0,0,0,0,181249,56251,7084,106794,9190,1205,70,104106,8426,479,70,182712,57346,6843,105989,10433,1232,9,102809,9632,227,9,120619,104098,15717,118674,105742,12932,118427,101573,14613,115044,98385,15545,113524,98941,14583,112822,95787,14246,113020,97184,13133,94188,83689,9470,94297,84269,9175,111016,95816,13773,124635,106290,17620,120227,100547,16246,119485,98836,16758,119776,99217,17096
9,9,247523,179159,17352,43620,8111,1652,201,0,0,252554,177035,19083,44187,12564,1614,269,0,0,252308,171064,21296,43478,13809,3422,243,252137,170834,21212,43572,13822,3423,244,252923,177631,18613,43284,13019,1757,222,38361,11266,362,0,5740,252035,175618,16997,43808,14552,1679,324,186297,139805,11214,30152,5238,1125,139,0,0,185235,141713,7259,29923,5371,775,0,28847,4977,229,0,378,0,195996,139088,14109,31229,9286,2410,165,195996,139088,14109,28853,8313,219,29,4807,187000,143244,7743,29660,5469,820,0,0,0,0,0,188735,142395,8083,30426,6707,816,20,28972,6209,109,20,190293,140389,10348,30692,7486,877,76,29197,6856,92,76,128090,73584,53216,110073,62319,47754,130581,72074,54022,129413,65722,61136,127467,67785,59682,126406,62079,59407,126772,65538,56742,109760,66080,42157,109715,68168,40187,127960,72950,52771,145975,86041,58554,143854,80160,60432,143159,75025,63198,143130,77336,62154
