ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,12250,8962,708,541,2028,75,33,0,0,11211,7896,800,558,2018,101,84,0,0,14791,9384,1358,1084,2782,192,26,11904,8137,831,806,2186,112,73,519,1853,9,0,459,12906,8379,1025,888,2602,156,85,11363,8226,681,516,1925,66,29,0,0,9181,6898,692,376,1058,59,0,333,936,40,0,104,0,13746,8705,1239,982,2645,135,20,13746,8705,1239,695,2289,35,12,627,9497,7326,663,469,1014,64,0,0,0,0,0,10274,7697,790,599,1104,38,0,486,932,9,0,10684,7417,874,778,1435,35,0,556,1200,6,0,4882,4105,709,3797,3067,730,4195,3547,401,3517,3072,437,3508,3026,340,3327,3084,0,3391,2816,267,3434,3093,324,3431,3047,380,3924,3447,401,4074,3618,373,3933,3532,388,4027,3525,352,3816,3386,413,3798,3378,342
2,2,13500,9046,1369,1148,1954,190,37,0,0,13127,7864,1526,1461,2486,194,42,0,0,14159,8424,1776,1358,2448,278,28,12738,7455,1698,1459,2302,196,61,1026,2018,107,0,406,14213,8562,1827,1688,2414,74,7,12671,8632,1194,1042,1821,155,33,0,0,10334,7036,1085,1024,1070,111,0,880,974,69,0,20,0,12855,7769,1523,1115,2313,187,25,12855,7769,1523,725,2099,34,7,599,9798,6812,1179,859,764,123,0,0,0,0,0,11156,7926,1275,959,872,43,0,924,774,29,0,12020,8128,1206,1095,1370,124,0,976,1178,79,0,4377,3714,578,3707,3062,645,4415,3559,544,3834,3345,479,3831,3166,429,3657,3320,0,3707,3073,329,3752,3351,394,3743,3304,433,4384,3763,519,4798,4138,558,4568,4031,519,5252,4355,656,4917,4244,634,4877,4186,565
3,3,14018,3792,5821,3884,882,547,90,0,0,14650,2378,7999,4105,567,368,70,0,0,15104,3043,7245,4395,739,552,38,14519,2606,8182,3491,634,130,84,2664,529,28,30,395,13471,2997,6993,3388,723,107,21,9879,3346,3553,2478,619,335,53,0,0,8483,2133,3857,2130,265,76,25,2056,250,43,25,0,0,10969,2664,4887,3001,569,363,25,10969,2664,4887,2160,507,71,0,526,8569,1919,4254,1947,378,69,30,0,0,0,0,8946,2415,4215,1847,359,85,20,1818,339,25,20,9347,2783,4088,1806,460,69,164,1761,460,0,164,3901,3135,700,3350,2981,369,3809,3114,524,2547,2223,319,2576,2008,331,2431,2129,0,2482,2074,252,2482,2198,279,2454,2133,313,3470,2891,517,3881,3118,690,3632,3109,513,3626,2465,1057,3284,2490,779,3215,2390,710
4,4,14024,9817,1058,1936,887,297,47,0,0,14216,10263,1058,1594,1208,76,41,0,0,14231,9702,1394,1739,1053,299,33,14249,10165,1156,1580,1121,223,21,1211,871,14,0,671,14718,10861,1299,1111,1079,135,16,11452,8345,698,1425,702,223,30,0,0,10751,8270,730,1098,587,59,15,1026,397,13,15,34,0,11984,8402,1031,1391,828,241,26,11984,8402,1031,893,696,32,7,698,10796,8049,735,1245,614,150,0,0,0,0,0,11439,9078,760,902,572,71,0,814,456,3,0,11640,8773,1067,987,772,240,0,688,716,14,0,7540,6381,1053,7016,5898,1118,7408,6131,870,6444,5615,808,6445,5348,735,6129,5576,0,6247,5051,579,6326,5659,651,6313,5583,716,7402,6418,849,8116,7075,894,7725,6893,816,8072,6956,829,7595,6705,853,7544,6642,717
5,5,14262,8345,2959,2539,410,344,46,0,0,14169,5864,3895,3737,640,128,145,0,0,15309,7299,4310,3295,510,426,46,13680,6006,3742,3291,646,79,229,2749,381,8,224,516,15948,7188,4513,3484,1397,19,0,11617,7719,1843,1670,316,225,30,0,0,10088,5370,2136,2129,335,40,70,2102,271,8,70,29,0,12652,6856,3060,2339,389,285,31,12652,6856,3060,1613,305,55,4,546,9701,5802,1699,1643,354,18,105,0,0,0,0,12022,7091,2257,1575,1059,0,0,1541,985,0,0,11336,6961,2397,1193,677,24,0,1092,584,0,0,4380,3174,1121,3733,2910,823,4337,3006,1067,3149,2396,741,3154,2103,766,2964,2560,0,3062,2350,488,3080,2462,606,3040,2401,631,3951,2965,903,4304,3184,1018,4046,3235,798,4111,2752,1216,3797,2806,978,3713,2748,897
6,6,14166,8091,3698,2009,494,319,61,0,0,14297,7098,5160,1997,595,250,0,0,0,15038,6960,4993,2843,556,476,22,13906,7392,4341,2253,514,208,0,1405,236,7,0,497,14949,7342,4694,2712,931,61,0,11069,7070,2360,1303,363,205,46,0,0,9699,6150,2360,880,279,47,0,809,249,4,0,4,0,11958,6179,3529,2018,425,321,19,11958,6179,3529,1311,364,31,0,447,9814,6497,1968,999,251,51,0,0,0,0,0,10448,6490,2250,1016,600,9,0,950,554,0,0,11742,6642,3415,996,696,26,5,995,680,0,5,5379,3732,1559,4950,3590,1360,5202,3332,1575,4051,2891,1150,4033,2427,1223,3785,3210,0,3928,2835,749,3939,3048,882,3915,2895,1011,5021,3500,1425,5621,3798,1710,5277,3983,1276,5856,3711,1978,5477,3827,1630,5385,3741,1535
7,7,14020,4729,6046,2996,464,376,67,0,0,14157,4592,6607,2346,627,271,9,0,0,15315,3588,8312,3100,587,735,45,14906,5232,6643,2566,523,257,8,2230,440,44,0,233,15304,4485,6925,3633,777,431,9,10146,4093,3906,1922,321,235,43,0,0,8816,3914,2933,1539,359,105,0,1478,314,39,0,19,0,11429,3144,5731,2300,427,560,26,11429,3144,5731,1571,366,51,0,457,9160,4373,2802,1653,289,94,0,0,0,0,0,9252,3984,2974,1895,409,20,0,1787,380,0,0,9047,3317,3482,1686,484,33,5,1568,441,0,5,4619,3518,1027,3975,3226,749,4562,3393,894,3475,2812,657,3479,2470,683,3298,2902,0,3402,2711,422,3396,2859,531,3363,2773,582,4357,3396,882,4882,3646,1136,4581,3733,831,4747,3244,1357,4403,3281,1097,4333,3269,1042
8,8,13575,5083,5460,2430,838,513,52,0,0,12449,5171,4918,1960,570,303,78,0,0,15014,5690,6244,2700,719,561,50,13558,5890,5688,1625,470,318,46,1221,340,34,13,369,14881,7303,4815,2581,437,312,54,10675,4718,3714,1671,695,341,38,0,0,8536,4775,2500,972,138,86,50,910,113,31,50,46,0,12329,5271,4640,2030,611,441,35,12329,5271,4640,1280,497,60,4,492,9905,5795,2986,925,162,145,40,0,0,0,0,11238,7252,2501,1390,211,164,20,1235,182,0,20,11032,6555,2966,1380,193,190,0,1214,139,0,0,3604,2950,581,3288,2868,420,3784,2995,543,3080,2674,392,3071,2389,412,2890,2556,0,2960,2442,279,2985,2637,336,2953,2567,376,3797,3157,553,4275,3485,692,4023,3437,568,4479,3367,828,4086,3379,666,4006,3300,662
9,9,14740,2497,8461,3588,844,565,53,0,0,16082,2543,9724,3902,682,520,38,0,0,15253,2844,9144,3360,623,703,68,14833,2544,8715,3814,639,325,8,2597,502,196,0,192,15994,2942,9021,4101,739,410,0,10196,2196,5452,2327,566,363,38,0,0,9431,2119,4834,1909,345,269,0,1809,328,192,0,26,0,11035,2487,6203,2384,443,495,53,11035,2487,6203,1506,369,53,5,343,8912,2066,4528,1727,307,230,0,0,0,0,0,8380,2281,3692,1909,318,45,0,1845,260,45,0,7818,2736,3219,1547,201,27,0,1523,151,27,0,3528,3172,315,3373,3140,233,4022,3569,286,2894,2657,226,2934,2479,234,2743,2503,0,2806,2447,171,2809,2600,204,2777,2534,235,3652,3205,393,3978,3311,618,3704,3269,425,3755,2744,869,3377,2741,618,3291,2682,585
