ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,27847,12456,8445,5797,1515,795,130,0,0,27545,8651,10917,7141,1408,417,97,0,0,30238,10930,11082,7161,1475,918,73,27007,8921,11185,6157,1426,170,108,4717,1064,34,30,926,28297,10476,10354,6559,2309,133,43,21608,11432,5287,3836,1130,511,78,0,0,18101,7982,5627,3631,688,100,25,3515,658,47,25,49,0,23857,10096,7657,5033,1187,625,51,23857,10096,7657,3522,1023,122,4,1092,17504,7920,5666,3020,825,89,30,0,0,0,0,20177,9660,5843,3013,1552,88,20,2876,1450,25,20,20189,9997,5998,2712,1165,96,164,2518,1058,0,164,8082,6207,1726,7048,5794,1254,8045,6051,1542,5765,4679,1068,5787,4193,1083,5461,4758,0,5592,4461,747,5621,4719,883,5561,4585,960,7433,5869,1407,8228,6362,1682,7742,6377,1338,7551,5194,2118,6933,5245,1661,6799,5094,1523
2,2,28645,3297,17629,6427,2984,1024,144,0,0,30446,3313,19851,6634,2710,1154,84,0,0,29951,2809,20612,6174,2208,1149,140,29051,3489,18107,6516,2441,1064,40,4254,1987,580,14,414,28039,3071,19453,6338,1450,702,34,20028,2835,11855,4309,2075,678,100,0,0,16221,2539,9009,2304,1700,679,25,2167,1700,604,25,15,0,21469,2341,14407,4407,1633,830,110,21469,2341,14407,2468,1513,106,2,463,15499,2823,7979,2535,1596,637,15,0,0,0,0,14532,2478,8390,2388,958,355,0,2312,918,305,0,13192,2266,7779,1809,987,248,0,1692,899,213,0,7216,6547,604,6526,6071,455,7525,6556,695,5243,4762,469,5326,4310,606,4935,4449,0,5082,4440,352,5066,4616,431,4996,4486,493,6573,5600,880,7064,5557,1414,6453,5499,925,6614,4414,2028,5786,4351,1402,5701,4179,1209
3,3,24901,19126,1288,1152,3192,209,53,0,0,23891,17097,1623,1259,4034,166,108,0,0,27579,18711,2093,1753,4587,341,46,24472,16982,1827,1396,4269,185,104,973,3695,33,0,804,26464,18052,2180,1616,4535,250,108,22457,17226,1148,1016,2951,168,47,0,0,18656,14328,1246,881,1987,122,1,774,1778,64,1,130,0,25125,17075,1841,1539,4252,251,38,25125,17075,1841,1025,3717,51,16,1165,18645,14630,1274,838,1734,123,0,0,0,0,0,20666,16205,1533,1032,1681,67,0,895,1461,26,0,21998,16020,1547,1405,2623,164,0,1079,2264,82,0,11308,9426,1716,9081,7374,1707,10190,8447,1131,8800,7635,1143,8780,7408,950,8351,7683,0,8490,6969,747,8616,7715,875,8615,7622,980,9854,8568,1090,10479,9197,1067,10053,8995,1027,10742,9269,1053,10159,8941,1167,10105,8913,973
4,4,27899,21423,2860,2607,814,339,52,0,0,28070,18636,4562,4053,1022,345,147,0,0,29812,18909,5082,4444,1188,566,54,28694,19982,4532,3420,1058,261,236,2198,603,11,224,949,29551,19246,4906,3930,1141,851,33,22779,18478,1824,1667,585,220,39,0,0,20755,15751,2423,1942,447,165,70,1770,376,19,70,50,0,24457,16716,3568,3086,894,376,36,24457,16716,3568,2180,770,61,4,862,21593,16631,2367,1735,476,134,105,0,0,0,0,22508,16373,2551,2522,597,475,0,2246,512,4,0,22529,15566,2958,3059,713,414,5,2732,649,28,5,13738,8572,4935,12501,8233,4268,13190,6918,5613,10199,6195,3981,10186,4973,4152,9456,7724,0,9980,6416,2651,9985,6729,3240,9943,6626,3305,12716,7608,4898,14196,8207,5733,13386,9104,4245,13987,7599,6076,13319,8219,5057,13091,7999,4548
5,5,27698,11805,9944,5025,1390,717,104,0,0,28363,12052,11339,4059,1263,361,12,0,0,30065,11509,12405,5252,1447,1206,98,29819,13152,11733,4144,1107,438,13,3394,758,49,13,633,32056,13571,12439,5512,1349,707,41,21470,10541,6670,3406,1088,470,75,0,0,19167,10635,5367,2499,553,140,10,2376,409,45,10,40,0,24031,10392,8894,3970,1144,905,65,24031,10392,8894,2593,937,75,4,947,20440,12113,5245,2552,498,198,15,0,0,0,0,22074,13040,5598,2820,685,178,20,2616,606,0,20,21730,12408,5858,2656,843,223,5,2440,731,0,5,9425,7312,1951,8155,6710,1445,9192,6926,1669,7479,6216,1237,7480,5513,1293,7078,6264,0,7264,5833,814,7301,6275,1004,7234,6094,1117,9137,7332,1614,10266,8054,1981,9667,8094,1536,11076,8073,2458,10238,8114,2046,10078,8046,1959
6,6,28318,7024,11899,8318,2016,1106,153,0,0,30262,7375,14277,8261,2090,730,84,0,0,30193,6980,14455,8121,1872,1136,149,30261,7364,15251,8347,1620,583,99,5271,1302,207,0,741,32390,7905,16344,7468,2239,678,197,21365,6529,7828,5811,1683,759,105,0,0,19176,6467,7414,4078,908,301,0,3901,697,217,0,72,0,23152,6058,10293,6003,1576,797,114,23152,6058,10293,3850,1394,172,17,1021,18918,5944,7821,4047,669,274,0,0,0,0,0,19330,6464,7683,3791,1037,177,0,3554,865,114,0,18958,6595,7274,3763,1031,478,0,3095,931,111,0,7822,7190,527,8386,7862,524,8468,7444,655,6097,5602,476,6190,5206,518,5783,5276,0,5906,5155,361,5934,5471,446,5844,5314,513,7779,6844,815,8634,7227,1286,7996,7072,899,8424,6283,1867,7575,6187,1343,7416,5971,1190
7,7,27901,8019,14788,4531,1246,987,135,0,0,26278,6536,14828,4597,1101,666,178,0,0,30234,6434,18361,5060,1192,1320,95,26810,6588,15459,4999,928,529,182,3244,563,36,0,894,29049,7344,14944,7134,1254,360,0,19746,7036,9359,2777,869,577,94,0,0,15316,5761,6620,2280,534,118,40,2122,514,31,40,19,0,22239,5660,12700,3500,882,941,76,22239,5660,12700,2174,781,110,8,670,16593,5837,7756,2391,469,120,25,0,0,0,0,17603,6344,7074,3414,704,6,0,3012,640,0,0,18145,5867,8485,2844,810,39,5,2562,697,4,5,6763,5108,1541,6313,5210,1103,7432,5461,1621,5209,4108,1085,5254,3526,1204,4853,4132,0,5096,3899,793,5055,4111,932,5016,4010,991,6853,5105,1639,7684,5294,2276,7138,5539,1580,7179,4170,2853,6521,4376,2114,6372,4254,2065
8,8,26497,17446,4807,3334,444,291,113,0,0,26757,15097,6789,3748,781,627,84,0,0,28071,14505,6762,5511,504,628,86,25527,14650,6183,3730,551,408,97,2554,383,13,22,821,27676,14021,7034,6069,388,389,152,20532,14436,3188,2191,307,200,83,0,0,19360,13001,3666,2113,374,170,75,1908,339,24,75,25,0,22052,12356,4831,3805,400,436,58,22052,12356,4831,2112,272,39,12,1810,18830,12877,3569,2044,312,86,50,0,0,0,0,20291,12602,4140,3190,187,65,0,2923,123,0,0,20026,12097,3672,3697,172,159,0,3373,49,0,0,9600,6785,2636,8899,6602,2297,8713,5430,2743,6452,4576,1849,6437,3909,1701,6045,4926,0,6324,4492,1318,6285,4741,1529,6266,4607,1646,8470,5828,2488,9824,6583,3048,9022,6731,2258,9522,5845,3384,8848,5973,2847,8916,5959,2450
9,9,27828,24589,1406,927,738,317,40,0,0,27415,23245,2008,1390,1008,130,72,0,0,29205,23437,2525,1531,1010,754,72,27303,23215,2065,1054,1025,222,89,498,782,27,0,654,29079,23742,2790,1049,1159,388,96,22334,20232,839,568,538,208,25,0,0,21562,19246,1058,714,425,40,0,666,315,0,0,70,0,23765,19752,1691,980,750,513,47,23765,19752,1691,554,619,92,8,926,21555,19106,1252,470,496,118,0,0,0,0,0,22917,19718,1753,452,576,204,0,356,479,25,0,23520,20417,1777,513,505,234,0,438,385,26,0,11807,7094,4488,10545,6516,4029,11289,5212,5346,8873,4903,3957,8870,3817,3912,8255,6147,0,8681,4929,3008,8700,5388,3300,8695,5187,3496,11447,6178,5059,13164,6810,6094,12673,7765,4894,13390,6427,6670,12908,6794,6085,12721,7121,5572
