ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_CMPTR_Total,E_18_CMPTR_Dem,E_18_CMPTR_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,100434,84831,3944,9026,2230,644,66,0,0,105307,87522,5138,9278,3036,1317,11,0,0,110467,88773,5876,9625,3481,2690,136,107301,89158,5164,9574,3122,1252,12,7648,2443,224,12,2616,108949,89529,5592,10016,3075,1224,44,81851,70598,2495,6578,1814,502,45,0,0,84030,73167,2106,6756,1245,549,10,6427,1059,213,10,215,0,91962,75534,4075,7173,2919,2112,87,91962,75534,4075,6355,2379,213,25,3158,85981,74569,2397,7053,1266,569,10,0,0,0,0,87881,76103,2461,7252,1206,636,10,6644,972,89,10,90286,77768,2980,6270,1350,1728,25,5577,908,265,25,37988,12602,24606,38442,11980,26462,40826,11100,27537,39796,9160,29605,27037,0,26622,33536,11050,22435,33475,10300,23155,33420,9734,23666,33467,9475,23400,40777,11674,28365,48819,14357,33661,48887,14491,33637,29039,0,28633,40077,11322,28119,34613,8222,26361,34677,9644,24569,29113,0,28498,34518,8223,26278,31734,0,27359,28977,0,27803,41821,11825,29575,50436,13650,36074,49221,11562,36455
2,2,107446,90679,6859,8503,791,809,72,0,0,110980,91735,8116,9417,974,842,131,0,0,114975,89516,10811,10270,1172,3242,129,111916,91674,8717,9565,1141,854,111,8341,850,117,18,1831,117051,94356,9489,10672,1215,1319,285,82356,71114,4351,5843,577,607,47,0,0,82951,73151,1933,6943,406,487,0,6787,356,132,0,47,0,90022,72562,6792,7247,847,2474,74,90022,72562,6792,6504,586,230,19,3114,83913,72958,2727,7160,616,512,0,0,0,0,0,87942,75979,2795,7747,723,660,15,7350,460,143,15,89291,75965,3641,7691,1005,719,34,6932,661,171,34,42842,10299,31569,40068,9265,30803,46221,8984,35305,45226,7983,35906,30656,0,30256,35835,8672,27092,35821,8080,27723,35727,7679,28036,35807,7554,27677,45070,9524,34750,54081,11748,41479,54036,12282,40789,32330,0,31975,43732,9169,33892,36664,6653,29974,36788,7833,28387,32457,0,31944,36616,6646,29944,34320,0,30677,32047,0,31327,45601,9764,35330,56442,11903,43843,54866,10598,42623
3,3,101633,85416,2757,11489,1473,641,70,0,0,111903,91913,4189,13237,2071,674,130,0,0,116785,92097,5222,14187,2707,2287,143,112273,92996,3936,12785,2009,760,106,11172,1549,283,49,2188,117465,96296,4147,13486,2284,1439,153,77900,66872,1805,7851,983,474,37,0,0,85018,72680,1703,8843,1223,411,30,8566,1052,156,30,180,0,91226,73991,3410,9886,1964,1717,113,91226,73991,3410,9126,1647,169,21,2608,86100,73711,1815,8675,1194,520,35,0,0,0,0,89418,76825,1837,8785,1189,749,10,8291,896,173,10,93799,79574,2354,8392,1240,2228,16,7750,877,547,16,43684,12704,30317,42575,11532,31043,48914,11670,34993,47806,9720,36804,33067,0,32536,39924,11804,28049,39773,10954,28796,39751,10362,29374,39787,10117,29000,49574,12837,35866,60704,16444,43315,60727,16877,43023,35584,0,35120,48771,12594,35481,41660,9140,32469,41755,10759,30498,35746,0,35100,41573,9062,32493,38387,0,33471,35511,0,34484,51270,13377,37387,63217,16145,46241,61775,13882,46326
4,4,110886,79487,2945,27518,460,772,65,0,0,110860,78322,3610,28260,410,911,30,0,0,111228,77043,4775,26399,688,2341,124,112492,78200,4151,29014,718,1037,337,26786,502,148,0,2392,111495,76653,4864,28482,664,960,170,84015,61922,1824,19554,314,592,43,0,0,84102,61525,1155,20595,213,622,0,20189,182,95,0,82,0,86117,61388,2977,19364,468,1827,89,86117,61388,2977,18422,302,237,17,2561,84935,61734,1226,20650,428,482,0,0,0,0,0,84632,61115,1515,20982,399,457,0,20343,336,67,0,84551,60582,2251,19307,558,1654,29,18575,455,157,29,41461,16017,24622,38928,15337,23591,42322,13164,27984,41058,12495,27522,23912,0,23599,31524,10691,20801,31483,10391,21079,31446,10004,21428,31456,9988,21080,40342,12826,27005,47822,14826,32465,47856,15430,31657,24289,0,24078,38122,11635,26106,29802,7480,22297,29888,8175,21391,24395,0,24104,29745,7425,22306,26001,0,22945,24235,0,23881,38966,11536,27146,47127,12535,34096,45748,11288,33306
5,5,95629,79854,5613,8648,1119,653,71,0,0,104341,85123,7385,9624,1735,812,211,0,0,109623,86939,8553,9507,1894,2522,159,104922,86512,7115,9137,1512,953,134,7605,1196,233,44,2066,111058,91105,7074,9959,2246,1053,130,72950,62467,3604,5752,747,476,42,0,0,77857,67942,2417,6301,665,361,17,6013,485,167,17,139,0,85850,69976,5705,6693,1309,1939,97,85850,69976,5705,5963,1019,193,28,2756,79838,69442,2627,6123,873,454,17,0,0,0,0,84101,72759,3018,6260,1287,560,10,5760,1088,81,10,88260,73692,4560,6927,1152,1645,20,6524,968,106,20,39734,10335,28474,40095,9675,30420,46891,9757,34736,45902,8738,35749,30977,0,30536,37537,10167,27277,37499,9485,27991,37423,9059,28336,37485,8793,28046,46510,10887,34663,56005,13708,41284,56029,14244,40797,34417,0,34055,46004,10717,34488,40097,8240,31785,40206,9384,30209,34574,0,34028,40076,8172,31861,37056,0,32822,34770,0,32915,48233,11480,36175,59830,13979,45067,58550,13564,43050
6,6,102284,78910,9014,11038,2947,771,153,0,0,107173,80579,10184,12245,3306,1021,602,0,0,111427,80046,11727,13188,4271,2320,241,108165,80945,10593,11953,3697,1013,490,9940,3175,248,406,2353,110911,82878,11271,11929,3941,1029,168,80132,63965,6182,7522,2166,558,111,0,0,78458,64954,3153,8262,1407,553,128,7910,1265,263,128,28,0,87980,65809,7930,9389,3127,1710,157,87980,65809,7930,8414,2624,160,92,2631,79241,66402,3459,7273,1460,533,71,0,0,0,0,81324,67126,3817,8045,1939,410,13,7559,1598,85,13,83652,66183,5387,8143,2552,1523,41,7624,1949,111,41,45232,13733,30506,43799,12857,30942,48385,14650,30267,47703,12080,34211,31071,0,30284,40171,15406,24662,40087,14353,25706,40003,13602,26364,40046,12996,26122,47928,16307,30493,55719,20556,33904,55832,20932,34192,30806,0,30168,46237,16099,29158,38855,12154,26612,39050,13988,24330,30900,0,29926,38751,12107,26613,34815,0,28283,31821,0,27585,47342,16967,29741,54728,19826,33723,53643,19329,32162
7,7,98190,42916,10525,43770,1054,876,139,0,0,108653,49726,13144,44158,1380,1216,475,0,0,110658,46111,18337,43320,1683,2614,199,111506,50903,13239,45158,1959,1219,428,42293,1359,153,335,2976,110708,49857,15044,44292,2016,1532,163,74457,35225,6710,31723,740,614,79,0,0,77091,40654,3154,31896,877,438,209,31278,697,118,209,64,0,84965,38859,11722,32027,1244,1905,128,84965,38859,11722,30648,873,135,48,2387,80089,40712,3526,34427,1013,445,205,0,0,0,0,79490,40719,4693,32405,1029,544,45,31572,816,55,45,81418,42119,6424,30070,1165,1362,32,29001,919,168,32,35926,22739,12508,34838,22352,12486,36669,21771,13041,35708,19620,15135,15341,0,14550,29606,19413,10143,29601,18973,10603,29550,18581,10952,29628,18269,10809,36712,22593,13461,44708,27777,16071,44729,28449,15755,16106,0,15471,34964,21403,13004,27383,15236,12105,27505,16304,10734,16289,0,15383,27303,15173,12109,20072,0,13607,16669,0,13870,36580,22118,14045,45867,25947,19030,44373,25085,18176
8,8,95500,72732,5167,14063,3244,566,133,0,0,111577,80204,7155,18748,5008,1068,448,0,0,115767,81639,8601,18372,5044,2030,221,114814,81954,7246,20182,4667,831,463,18593,3815,166,377,2062,115320,80833,8200,20603,4817,922,103,72055,56344,3418,9807,2214,396,87,0,0,81980,62879,3226,13305,1916,510,215,12951,1672,254,215,79,0,90357,65681,6015,13330,3637,1489,150,90357,65681,6015,12364,3098,159,72,2612,85633,65420,3657,13746,1837,391,320,0,0,0,0,87055,65312,4133,14570,2156,399,50,14137,1810,84,50,90268,68112,5330,12791,2328,1326,28,11935,1957,216,28,45301,15512,29006,45822,15003,30819,51803,17674,30846,50869,14097,35515,32394,0,31610,43164,18353,24724,42985,16785,26144,42973,15975,26974,43004,15243,26923,52310,19602,31659,62653,25351,36096,62728,25483,36565,33942,0,33215,51137,19388,30795,43513,14348,29078,43731,16899,26127,34052,0,32912,43397,14296,29062,38243,0,31066,34301,0,30494,53160,20673,31901,63562,25118,37402,62267,24267,36155
9,9,106878,75784,4320,25697,714,614,105,0,0,114194,78568,5955,28094,1038,876,256,0,0,115926,77151,7351,27784,1368,2371,147,114156,76780,7139,28175,1011,1014,258,25971,621,195,78,3272,115501,76648,7353,29150,1226,1088,67,80876,59040,2621,18417,466,484,70,0,0,86284,62144,2473,20501,432,535,54,20311,328,157,54,176,0,89603,61894,4679,20262,934,1789,90,89603,61894,4679,19325,638,211,38,2561,85813,61723,2611,20133,482,681,59,0,0,0,0,86558,62397,2509,20209,699,704,56,19737,534,136,56,88983,63146,3153,19987,1000,1582,51,19303,862,313,51,43512,17093,25637,42156,16685,25471,46759,15574,29444,45348,13840,30152,27405,0,26904,36713,13805,22850,36693,13343,23332,36605,12852,23728,36678,12731,23400,45893,15846,29305,55155,19151,35268,55176,19755,34480,29257,0,28832,44462,14955,28890,36643,10422,26161,36753,11521,24689,29403,0,28800,36600,10356,26201,31790,0,27215,29861,1070,28088,46074,15316,30298,56170,17516,37931,54453,15922,36868
