ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_CMPTR_Total,E_18_CMPTR_Dem,E_18_CMPTR_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,40363,36487,2205,1278,181,305,19,0,0,42211,36789,2666,2097,366,840,0,0,0,42255,36584,2682,1357,282,1317,51,42957,37814,2824,1675,350,832,0,1067,180,138,0,932,42809,37477,2987,1596,330,672,10,31733,29287,1302,854,113,222,13,0,0,32979,30196,849,1503,209,228,0,1423,185,65,0,14,0,34129,30299,1708,861,191,989,24,34129,30299,1708,686,117,88,5,1159,33160,30640,933,1066,205,272,0,0,0,0,0,33509,31042,922,845,198,280,0,724,133,30,0,34366,31369,912,620,361,944,24,453,201,66,24,16080,4066,11615,15863,3557,12306,17401,3164,13573,16955,2701,13811,12509,0,12420,14395,3304,11069,14356,3039,11313,14347,2848,11494,14355,2805,11322,17906,3542,14106,22497,4714,17515,22486,4739,17359,14471,0,14333,18174,3602,14347,16374,2835,13525,16404,3340,12867,14510,0,14303,16351,2839,13506,15382,0,13882,14442,0,14082,19372,3939,15255,24076,4781,19027,23508,3945,19034
2,2,37745,31043,1185,4955,412,253,30,0,0,39527,32679,1662,4651,523,193,11,0,0,40789,32194,1789,5128,670,1029,45,39290,31949,1598,5182,590,179,12,4567,432,47,12,674,40124,32280,1681,5242,609,367,17,29862,25237,732,3451,296,205,20,0,0,30896,26469,731,3257,291,142,10,3092,257,52,10,11,0,33154,26946,1162,3672,516,805,24,33154,26946,1162,3371,390,68,7,1134,31417,26286,906,3797,337,144,10,0,0,0,0,32008,26776,879,3806,379,263,10,3687,354,29,10,32594,27682,1063,2966,230,682,1,2824,226,185,1,16894,5748,10852,16129,5221,10908,18182,5125,12176,17701,4267,13045,11829,0,11656,14830,4970,9842,14823,4681,10133,14780,4419,10354,14796,4345,10222,17884,5254,12329,20896,6226,14342,20922,6338,14261,12214,0,12074,17319,4996,12065,14613,3475,11129,14633,4037,10409,12253,0,12038,14577,3453,11113,13298,0,11557,12116,0,11757,17891,5114,12606,21378,5831,15277,20840,4914,15411
3,3,35957,29682,961,3428,1730,190,19,0,0,39087,31115,1714,3739,2319,436,0,0,0,42143,32557,2046,4057,2684,757,52,39738,32307,1306,3668,2278,425,0,2738,1912,42,0,1338,41006,33036,1475,4022,2349,235,38,31047,25959,725,2756,1486,150,13,0,0,32174,27073,861,2896,829,324,0,2764,691,99,0,195,0,36522,28553,1636,3341,2325,612,45,36522,28553,1636,2898,1951,80,14,1260,32758,27937,751,2880,772,308,0,0,0,0,0,34238,29108,943,3156,793,144,0,2766,560,34,0,34975,29238,1296,3308,921,146,0,2772,563,22,0,10367,4076,6066,11953,4407,7546,11260,3951,6357,11001,3178,7448,6877,0,6679,9163,3930,5215,9134,3636,5491,9120,3456,5656,9151,3311,5634,11034,4095,6645,12876,4998,7551,12925,5031,7708,7069,0,6887,10651,3960,6432,9004,2884,6108,9037,3406,5461,7083,0,6804,8953,2921,6029,8087,0,6399,7151,0,6566,11008,4107,6747,13132,4681,8173,12824,4104,8344
4,4,40552,37489,950,1682,193,286,24,0,0,40083,36960,836,1876,168,225,35,0,0,41992,37024,1402,1780,259,1310,37,41271,37831,1008,2012,178,225,0,1721,171,51,0,465,43818,38899,1611,2442,352,274,19,31177,29109,582,1163,132,225,15,0,0,31224,29212,427,1325,69,159,0,1270,69,36,0,38,0,33136,29627,882,1241,176,1032,23,33136,29627,882,1053,104,109,8,1301,31897,29811,498,1424,49,177,0,0,0,0,0,33182,30541,566,1680,179,218,15,1592,110,27,15,33891,31247,608,1314,383,242,30,1181,225,46,30,16926,3225,13299,17546,3061,14485,18273,2348,15284,17888,2218,15112,12423,0,12336,13856,2486,11342,13864,2272,11584,13822,2134,11680,13835,2092,11509,17644,2593,14762,21273,3183,17795,21246,3384,17470,13510,0,13421,17257,2518,14497,14716,1934,12762,14768,2313,12230,13553,0,13416,14721,1936,12774,14121,0,13010,13510,0,13344,18019,2747,15088,22346,3339,18751,21706,2895,18151
5,5,38530,31420,2640,3935,319,268,30,0,0,40232,31787,3334,4483,396,238,43,0,0,42142,31419,4364,4882,496,1001,69,40235,31023,3765,4623,503,235,26,4064,365,59,18,758,42674,33013,3775,4966,364,697,188,29409,24655,1691,2692,230,190,21,0,0,29608,25193,863,3250,147,139,0,3211,147,93,0,4,0,32908,25608,2745,3389,374,737,39,32908,25608,2745,3063,260,68,10,1071,30282,25265,1349,3456,249,146,0,0,0,0,0,32350,27161,1214,3647,165,320,0,3396,149,112,0,32931,26988,1675,3696,254,296,4,3347,206,113,4,15538,4129,11076,12836,3542,9294,16809,3847,12219,16460,3288,12730,10985,0,10808,13116,3578,9506,13111,3351,9752,13084,3196,9885,13123,3142,9785,16424,4021,12112,19551,4948,14284,19543,5144,14068,11316,0,11163,15806,3859,11702,13101,2738,10354,13134,3268,9664,11370,0,11166,13065,2714,10342,12100,0,10631,10969,0,10708,16481,4106,12184,20522,5154,15098,19945,4619,14733
6,6,34884,28851,1018,4240,588,243,24,0,0,38323,30580,1055,5443,983,274,90,0,0,40247,31453,1689,5059,1029,863,39,39752,32680,1054,4619,1068,318,63,4104,907,182,20,728,41426,34685,1172,4179,689,527,107,26500,22292,667,3002,387,180,13,0,0,28884,23866,393,3830,578,212,11,3720,503,85,11,6,0,31068,24891,1072,3591,752,625,25,31068,24891,1072,3331,649,65,5,965,30966,25794,497,3657,640,260,8,0,0,0,0,31648,27201,555,3097,347,222,2,2947,262,82,2,33927,28688,916,2781,493,831,5,2571,317,446,5,15092,4476,10386,14217,3907,10310,17288,4191,12231,16894,3377,13050,11798,0,11598,14258,4200,10034,14193,3865,10323,14185,3697,10485,14204,3585,10354,17519,4523,12673,21306,5783,15177,21326,5915,15133,12657,0,12471,17251,4458,12545,14829,3226,11581,14873,3847,10856,12701,0,12450,14798,3238,11555,13674,0,11886,12661,0,12257,18193,4742,13279,22770,5865,16613,22256,5044,16653
7,7,39645,30878,685,7761,150,234,22,0,0,39700,30208,857,8468,147,253,18,0,0,40292,30020,1160,8028,241,823,30,38055,29288,988,7615,166,190,0,6971,100,25,0,655,38551,29227,687,8184,198,209,5,30009,23953,419,5407,99,172,14,0,0,30543,23755,474,6068,88,157,0,5981,82,49,0,0,0,31159,23854,672,5774,150,663,19,31159,23854,672,5481,101,96,0,890,28695,22504,445,5554,104,120,0,0,0,0,0,29300,22703,379,6009,129,133,0,5823,107,22,0,29728,23037,471,5423,112,592,19,5199,89,96,19,15004,5124,9543,13935,4746,9189,15686,4119,11134,15223,3969,10889,9274,0,9165,11659,3444,8202,11638,3363,8268,11633,3187,8443,11615,3185,8284,14920,4124,10612,17746,4890,12675,17749,5097,12375,9330,0,9245,14202,3795,10264,11109,2438,8658,11147,2671,8347,9363,0,9253,11096,2414,8672,9936,0,8866,9322,0,9179,14557,3798,10650,17840,4139,13520,17360,3712,13234
8,8,39146,28789,1287,8578,329,274,39,0,0,40640,28883,1678,9650,248,446,30,0,0,41145,28715,1885,9260,419,856,64,41031,29520,1484,9680,206,666,324,8621,117,82,19,1197,40813,28703,1803,9760,421,492,150,30302,23137,848,5946,229,213,19,0,0,31573,23163,738,7224,125,250,9,7063,80,69,9,148,0,32693,23809,1231,6645,297,680,53,32693,23809,1231,6262,200,59,14,1040,31372,23154,717,6729,128,262,20,0,0,0,0,31084,22985,872,6623,221,184,0,6505,160,25,0,31911,24338,819,5907,191,526,10,5758,121,47,10,15493,5869,9356,14969,5476,9493,15929,4922,10493,15475,4408,10621,9522,0,9374,12415,4304,8098,12383,4122,8258,12369,3966,8400,12372,3965,8251,15763,5041,10491,19274,6197,12827,19268,6419,12574,10221,0,10122,15256,4728,10344,12491,3172,9309,12499,3559,8789,10292,0,10157,12455,3126,9323,11095,0,9648,10190,0,9969,15891,4845,10893,19407,5537,13621,18873,4812,13589
9,9,38590,29494,1371,7180,408,250,14,0,0,40950,31977,1889,6618,421,285,10,0,0,41974,30436,2648,7470,677,817,67,41388,31370,1748,7668,471,247,11,7035,293,14,10,802,41913,31632,1902,7265,921,581,26,29435,23253,827,4973,271,180,10,0,0,30743,25289,693,4237,261,158,10,4136,208,11,10,80,0,32676,24609,1806,5231,470,607,57,32676,24609,1806,4892,355,79,6,864,31688,25288,673,5233,277,104,7,0,0,0,0,31771,25359,697,5128,477,291,8,4786,344,13,8,32684,25291,1055,5109,288,1101,7,4682,242,27,7,14562,4933,9375,13978,4683,9295,15054,4437,9899,14662,3796,10495,9553,0,9378,12037,4105,7909,12014,3872,8129,11992,3649,8334,11997,3578,8236,15197,4660,10278,18721,5828,12596,18741,5983,12505,9995,0,9850,14693,4445,10038,11989,3023,8950,12022,3505,8366,10044,0,9822,11981,3009,8966,10860,0,9285,9957,0,9614,15385,4612,10629,18838,5336,13238,18298,4649,13192
10,10,35488,28871,1874,4164,389,254,25,0,0,40159,32408,2930,3803,758,205,0,0,0,42158,31570,4028,4484,1044,1054,46,41281,32124,3158,4827,869,324,1,4274,629,94,0,921,41917,31308,3795,5541,718,449,16,26453,22119,1161,2770,275,176,16,0,0,29012,25596,579,2306,425,126,0,2235,370,41,0,0,0,32069,24864,2547,3082,765,788,25,32069,24864,2547,2819,661,65,6,972,29593,25471,897,2279,537,191,0,0,0,0,0,30514,25342,1077,3223,445,309,0,3109,341,132,0,31835,25542,1435,3378,655,854,0,3252,503,278,0,14286,3844,10210,13896,3584,10312,16695,3833,12119,16383,3435,12485,10608,0,10411,12910,3815,9070,12894,3623,9266,12881,3465,9410,12928,3360,9339,16316,4226,11787,19553,5269,13956,19568,5506,13728,10757,0,10614,15642,4059,11353,12670,2886,9771,12709,3300,9264,10825,0,10620,12627,2830,9793,11592,0,10081,10756,0,10482,16197,4290,11744,19878,5161,14487,19404,4651,14233
11,11,41549,30251,745,10156,186,297,22,0,0,40307,29005,1085,9900,150,269,16,0,0,40357,29257,1289,8777,209,755,49,41594,29701,1196,10120,256,304,45,9578,188,110,0,645,41579,29518,1557,9912,135,333,24,31847,23691,479,7370,119,248,15,0,0,31004,23014,280,7393,83,243,0,7209,75,15,0,32,0,31934,23577,806,6696,158,607,34,31934,23577,806,6381,94,70,9,914,32314,24230,226,7395,162,248,0,0,0,0,0,32329,24353,352,7274,83,246,0,6981,63,33,0,32193,24084,671,6950,166,373,4,6612,128,41,4,16928,6500,10129,16020,6333,9687,16903,5174,11316,16399,4952,11028,10033,0,9922,13070,4267,8793,13035,4087,8944,13028,3951,9071,13041,3964,8918,16310,4983,11135,19146,5553,13398,19165,5772,13073,10596,0,10523,15617,4493,10981,12893,3055,9829,12928,3348,9442,10630,0,10524,12867,3047,9814,11209,0,10099,10548,0,10432,15925,4421,11397,18685,4692,13797,18185,4214,13463
12,12,42120,18331,3104,20359,281,245,40,0,0,41320,18187,3248,19484,177,326,0,0,0,40274,17132,3690,18694,357,655,61,41498,17713,3244,20386,112,138,0,19899,67,28,0,467,41157,17654,3248,19752,247,461,11,32631,15521,1893,14960,214,179,29,0,0,31276,15507,887,14662,76,189,0,14617,56,49,0,10,0,32034,14809,2320,14310,266,504,38,32034,14809,2320,13895,187,70,11,687,31188,14878,705,15694,59,80,0,0,0,0,0,31604,14911,1116,15516,100,257,10,15423,58,39,10,31074,14713,1107,14884,84,232,17,14758,43,10,17,16400,9288,6849,15994,9332,6662,15544,8139,6955,15003,7547,7173,7356,0,7212,12411,6634,5762,12405,6630,5774,12398,6466,5927,12392,6504,5770,14875,7858,6848,16947,8969,7759,16979,9223,7543,7434,0,7296,14092,7208,6744,11315,4992,6320,11328,5142,6043,7486,0,7312,11290,5003,6283,8496,0,6660,7305,0,7104,14196,7123,6972,16294,7733,8324,15788,7197,8266
13,13,39577,31027,775,7100,514,197,17,0,0,40597,30615,1082,7938,751,202,66,0,0,40433,30332,1203,7476,683,674,58,40260,30637,1244,7391,771,37,0,7009,729,3,0,487,39571,29844,1374,7311,710,256,0,30734,24528,479,5246,349,144,10,0,0,31314,24577,336,5935,353,69,0,5868,343,5,0,44,0,32154,24882,763,5445,471,511,33,32154,24882,763,5162,383,52,14,816,31397,25092,513,5129,399,37,0,0,0,0,0,30961,24719,601,4824,368,178,0,4718,246,4,0,31602,25108,785,5131,505,210,0,4968,288,0,0,19288,5933,13084,18021,5395,12626,19156,5149,13268,18678,4596,13671,12796,0,12672,15684,4682,10980,15626,4418,11202,15564,4125,11432,15623,4174,11197,18705,5164,13266,21635,5948,15413,21658,6124,15164,12977,0,12856,18121,4849,13047,15398,3451,11937,15421,3935,11297,13034,0,12829,15374,3426,11938,13886,0,12295,12814,0,12585,18523,4917,13446,21581,5637,15689,21069,5057,15477
14,14,40329,26671,1951,11460,152,218,34,0,0,40895,26942,2156,11474,199,283,7,0,0,40858,26212,2681,10967,267,885,31,41235,26665,2352,11748,273,312,10,10684,189,92,2,1225,41807,27353,2495,11211,325,356,9,30850,21136,1117,8379,103,176,25,0,0,31170,21759,707,8382,88,206,4,8293,74,83,4,18,0,32085,21375,1687,8226,212,682,19,32085,21375,1687,7890,116,87,8,848,31160,21330,770,8697,131,225,4,0,0,0,0,31437,22028,615,8441,127,231,9,8287,97,56,9,31196,21858,638,8315,101,242,10,8198,94,43,10,16321,6771,9266,15783,6701,9082,16477,5779,10217,15872,5009,10384,9542,0,9408,12894,4816,8057,12882,4684,8191,12841,4498,8334,12870,4483,8232,16062,5571,10267,19253,6552,12496,19249,6753,12189,10112,0,9991,15509,5171,10155,12613,3445,9149,12646,3770,8710,10174,0,9995,12616,3427,9172,10825,0,9509,10052,0,9854,15871,5122,10616,18688,5506,12982,18112,4908,12444
