ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,27714,22226,564,129,109,4836,7,0,0,27839,21310,1090,259,43,5431,20,0,0,26600,19968,763,189,162,5675,21,27555,21008,1081,284,102,5350,20,78,64,4792,0,12,519,26703,20234,684,377,130,5511,23,20630,17288,397,48,68,2874,5,0,0,20504,16866,370,115,16,3125,0,87,8,2887,32,0,19646,15696,464,90,82,3318,15,19646,15696,464,33,53,2931,6,29,434,20098,16386,531,91,31,3092,0,0,0,0,0,0,19472,15918,313,158,51,3106,0,78,32,2843,0,19098,15761,194,109,121,2937,0,20,96,2613,0,13838,7636,5620,12136,4644,6806,12239,4182,8057,11814,6541,5123,11222,5935,5287,12105,5220,6815,13068,5219,7620,13059,5081,7978
2,2,17601,16288,351,506,207,259,9,0,0,22953,19927,586,1156,938,816,28,0,0,26267,22435,816,1261,1074,595,29,23179,20015,618,1397,876,701,29,1016,811,208,19,0,499,25984,21657,1143,1686,782,609,31,12130,11534,150,221,106,118,6,0,0,15487,14509,194,381,152,240,10,316,152,180,10,0,18476,16300,454,606,700,310,13,18476,16300,454,512,645,138,6,54,367,15873,14737,231,479,195,227,10,0,0,0,0,0,17558,15941,490,663,252,189,10,650,241,140,10,18543,16543,487,1103,299,145,0,1072,191,20,0,10130,4250,5697,9611,2963,6014,9582,2415,7167,8679,3735,4848,8236,3330,4906,10220,3529,6570,12822,4578,7959,12735,4228,8507
3,3,24444,22293,391,293,390,1089,68,0,0,26408,22668,663,849,1068,1375,19,0,0,26595,22139,1318,821,862,1472,52,26885,22756,810,789,1274,1490,20,704,1091,970,0,0,558,26167,21885,1198,808,1095,1429,23,19080,17694,239,162,309,675,41,0,0,19652,17754,538,255,292,790,0,251,292,586,24,0,20564,17657,872,527,589,902,36,20564,17657,872,362,524,568,28,48,505,20288,18289,504,193,443,868,0,0,0,0,0,0,19449,17591,611,118,244,826,15,118,244,602,15,19560,17461,686,113,478,807,29,86,409,532,29,11822,6039,5552,10541,3441,6385,10582,3024,7558,9249,4628,4477,8878,4167,4711,10336,3938,6273,11599,4258,7036,11523,4095,7428
4,4,26278,25289,500,78,88,315,12,0,0,26764,25189,941,105,123,410,7,0,0,26575,24546,1152,141,129,553,34,26605,25028,958,132,150,340,12,78,96,124,0,10,298,26803,24916,1018,212,140,480,3,19553,18968,310,23,53,193,7,0,0,19396,18846,191,43,44,302,0,29,29,122,4,0,19707,18506,717,50,74,299,18,19707,18506,717,10,35,112,8,19,300,19089,18609,212,44,34,204,0,0,0,0,0,0,19153,18564,225,28,51,281,0,14,47,63,0,19189,18416,322,81,104,274,0,41,92,47,0,13487,5926,6947,12445,3101,8586,12560,2994,9566,11813,4937,6711,11190,4162,7028,12372,3602,8689,13663,3397,9998,13639,3471,10168
5,5,23721,22359,399,154,186,685,4,0,0,24055,22180,636,427,243,870,18,0,0,24953,22646,684,230,308,1105,22,24326,22135,834,284,239,1017,4,166,109,537,0,80,482,24888,22395,965,416,391,982,82,17954,17188,195,77,105,413,0,0,0,18125,17204,175,169,146,460,0,99,100,300,14,0,19235,17752,424,120,209,709,20,19235,17752,424,68,152,419,3,34,383,18147,17370,211,21,65,482,0,0,0,0,0,0,18824,17788,224,38,164,581,0,34,99,407,0,19578,18190,369,184,190,613,0,141,124,431,0,10576,4770,5568,10027,2797,6583,10078,2575,7503,9166,4039,5011,8676,3544,5132,10043,3282,6660,11358,3450,7588,11306,3190,8116
6,6,18430,17562,241,281,191,183,11,0,0,22953,20920,683,858,130,351,50,0,0,25075,22483,722,724,459,552,38,23969,21869,763,884,180,283,42,630,30,33,0,0,644,25729,23353,668,1056,325,518,66,12463,12021,123,112,118,101,6,0,0,15368,14448,341,269,70,209,4,239,30,72,25,0,16860,15442,402,321,281,299,25,16860,15442,402,224,190,103,4,39,456,15732,14596,436,359,128,189,0,0,0,0,0,0,17021,15879,340,350,208,177,0,335,140,24,0,19238,17903,491,277,244,217,0,212,151,15,0,7472,3194,4100,8822,2612,5510,8839,2050,6789,7901,3686,4138,7534,3230,4304,9120,3153,5840,11033,3839,6885,10963,3588,7375
7,7,24726,22654,395,357,963,423,16,0,0,26887,23979,720,610,1113,537,41,0,0,26511,22699,1075,822,1078,819,30,27294,24046,887,678,1164,605,55,386,1088,339,0,0,562,26814,23370,987,688,1126,735,49,20512,19015,249,241,751,281,13,0,0,20627,19442,391,184,265,343,0,114,255,205,32,0,21353,18658,696,566,859,540,30,21353,18658,696,443,750,227,13,38,528,20802,19467,491,201,247,334,0,0,0,0,0,0,20752,19110,531,242,365,426,0,149,351,199,0,21003,19498,593,189,331,369,5,105,246,224,5,10344,5631,4451,9046,3673,4587,8963,2968,5995,8476,4819,3521,8014,4177,3837,9250,4148,4938,10701,4784,5561,10606,4500,6106
8,8,25819,24719,519,131,187,274,21,0,0,27444,25844,637,293,308,406,24,0,0,26279,24056,1117,311,223,508,39,27589,26052,808,216,64,548,4,47,31,294,4,8,334,26387,24528,882,267,136,598,4,19908,19211,339,76,111,172,11,0,0,20798,20099,239,109,124,199,8,58,91,146,12,0,20078,18607,744,157,160,324,33,20078,18607,744,88,92,124,18,38,367,20887,20289,232,112,26,231,4,0,0,0,0,0,20060,19259,243,154,60,354,4,53,44,249,4,19665,18649,371,147,117,356,20,94,99,219,20,13986,6456,6942,13952,4486,8522,14090,3952,10138,11990,5864,5971,11460,4944,6516,12946,4626,8197,13584,4515,8759,13670,4444,9226
9,9,16216,14707,539,488,248,283,18,0,0,23341,20669,1296,601,457,338,12,0,0,26227,21605,1515,1553,574,983,35,24455,21683,1041,591,635,387,11,402,371,53,11,0,894,26247,21861,1555,1401,732,503,118,11351,10652,281,176,126,130,11,0,0,16339,15081,538,301,216,170,0,255,192,19,25,0,18611,15989,883,736,374,557,21,18611,15989,883,643,260,231,6,34,565,17031,15714,507,269,234,244,0,0,0,0,0,0,18004,15935,623,757,272,310,59,598,199,100,59,19754,17002,518,1373,453,287,59,1100,264,96,59,6826,3189,3485,8296,2785,4890,8237,2218,6019,7849,3813,3946,7387,3424,3963,8851,3398,5336,10914,4199,6417,10806,3942,6864
