ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,67820,63714,1145,1969,488,575,37,0,0,67223,62051,1448,2598,845,452,124,0,0,66489,60156,1533,2142,735,1580,55,66531,61825,1371,2210,738,473,99,1183,378,53,0,0,1734,67463,61790,1747,2568,700,581,41,53834,51092,720,1261,345,446,31,0,0,53769,50793,635,1482,407,373,4,1068,268,4,73,0,53650,49215,977,1370,527,1259,42,53650,49215,977,1067,403,121,13,137,1717,53231,50410,542,1427,358,457,0,0,0,0,0,0,53297,49883,814,1617,434,444,0,1228,292,77,0,53592,49756,986,1864,389,556,8,1440,252,76,8,24813,7445,16954,22882,6172,16710,24391,4891,18458,20910,5828,14848,20836,4820,15822,24031,5555,18104,29332,6821,22046,28466,6258,21744,29665,6540,22815,29367,6194,22661,29131,6154,22161
2,2,64968,60976,986,2034,559,458,43,0,0,64739,60678,1159,1940,518,626,84,0,0,66492,59731,1613,2514,884,1437,57,65485,60894,1233,2312,465,706,74,1493,321,226,74,15,1225,65885,60937,1368,2257,594,557,9,51670,49044,598,1311,381,359,25,0,0,51556,49065,530,1324,229,365,29,1129,193,49,30,0,53806,49171,1021,1645,606,1122,30,53806,49171,1021,1338,467,101,6,131,1571,52502,49661,758,1448,166,417,25,0,0,0,0,0,53539,50594,817,1459,270,429,0,1273,230,117,0,54189,51243,1087,1305,305,292,4,1051,251,68,4,29241,8173,20665,26492,6796,19696,27459,5835,20364,24296,7019,17035,24268,5642,18425,27239,6512,20313,32272,7845,23883,31493,7117,23851,32529,7579,24626,32281,7055,24665,32054,7011,24080
3,3,66846,64287,725,987,372,494,41,0,0,66877,62974,1230,1487,528,712,91,0,0,66510,61410,1254,1516,466,1653,64,67445,63367,1209,1522,756,697,93,1028,557,205,10,13,1041,66991,62440,1225,1666,734,777,32,53255,51406,467,735,257,373,24,0,0,53829,51464,470,1063,247,560,2,895,178,182,65,0,54264,50406,843,1195,339,1302,53,54264,50406,843,1013,234,131,21,58,1558,54264,51709,443,1016,499,567,1,0,0,0,0,0,54234,51433,450,1091,589,637,1,744,432,101,1,54826,51362,486,1382,686,719,9,1186,514,40,9,26064,7047,18490,24300,5816,18484,26183,4288,21010,22969,5462,17263,22905,4325,18390,25888,4821,20692,31243,5668,25164,29849,5075,24236,32749,5555,26918,32087,5180,26429,31387,5084,25593
4,4,67039,63767,1507,1012,288,477,38,0,0,66215,62366,1786,1213,376,515,37,0,0,66545,60639,2219,1255,474,1782,52,66163,61964,1957,1143,443,620,65,962,369,146,21,0,740,66551,61276,2459,1487,450,763,81,53544,51443,874,651,208,380,25,0,0,53101,51014,754,750,125,403,23,721,75,158,25,0,54206,49983,1490,810,355,1410,34,54206,49983,1490,585,219,132,5,88,1704,53278,51117,750,701,190,512,19,0,0,0,0,0,53740,50890,1135,948,222,473,19,898,119,36,19,54068,50969,1331,991,246,490,9,801,101,18,9,26099,6981,18601,24339,6093,18246,25317,4379,20005,22378,5610,16527,22342,4383,17749,24835,4926,19517,29316,5720,23161,27736,5175,22014,29605,5566,23741,28840,5038,23257,27657,4762,22147
5,5,68831,64637,1690,1698,325,531,55,0,0,68834,64048,1989,2091,431,499,88,0,0,70152,63143,2535,2025,560,1672,87,69077,64106,2066,2539,456,222,115,1681,293,67,0,71,793,70399,64771,2290,2228,501,716,210,54248,51476,1005,1171,215,410,32,0,0,54875,52075,898,1268,152,502,0,1087,112,180,19,0,56339,51450,1585,1391,378,1288,49,56339,51450,1585,1056,239,124,7,144,1734,55140,52270,932,1528,215,170,0,0,0,0,0,0,56460,53180,1094,1375,317,441,20,930,287,53,20,57516,53757,1418,1445,321,470,29,1015,290,36,29,24838,7110,17151,23358,6144,17214,23583,4216,18562,20490,5398,14844,20570,4169,16196,23276,4607,18258,28086,5199,22259,27343,4804,21904,31095,5145,25586,30559,4841,25157,29908,4604,24631
6,6,61661,56143,1581,2617,952,453,36,0,0,65087,58069,2811,2269,1587,523,37,0,0,66545,57018,2987,3210,1443,1673,64,65189,57887,2457,2640,1450,543,54,1678,1255,182,14,7,1709,67806,59596,2493,2965,1611,813,157,48746,45018,1004,1786,642,340,32,0,0,50544,47281,934,1335,500,373,4,1163,456,116,94,0,53527,46728,2026,2218,1042,1279,44,53527,46728,2026,1754,825,129,16,185,1864,51216,47773,926,1569,422,389,15,0,0,0,0,0,53858,49464,1053,1995,617,480,0,1364,499,19,0,55963,50474,1473,2342,945,557,35,1630,730,19,35,26363,8089,17845,31820,9337,22483,27188,6731,19178,24419,8496,15684,24336,7071,17054,27227,7948,18832,32505,9661,22263,31201,8774,21829,32726,9340,22961,32225,8680,22910,31162,8333,21970
7,7,61318,54759,2052,3241,883,530,78,0,0,62718,55200,1575,4715,991,509,33,0,0,66456,55588,3149,4453,1271,1752,86,63685,55602,2190,4415,1241,514,26,3312,943,100,6,40,1492,65476,56854,2679,4080,1250,453,115,49406,44824,1352,2193,700,410,41,0,0,49531,45084,739,2920,403,341,0,2632,268,168,35,0,54167,46363,2028,3158,950,1353,61,54167,46363,2028,2688,724,128,30,287,1919,50054,45477,885,2765,559,362,5,0,0,0,0,0,51792,46901,1084,2581,763,355,0,2224,483,67,0,52425,47084,1753,2534,741,252,0,1967,508,24,0,22805,7852,14496,15179,4912,10267,22562,6293,15074,20782,7750,12830,20700,6513,14012,23054,7376,15249,27686,8977,18181,26584,8247,17687,28508,8791,19338,28012,8192,19250,26838,7822,18275
8,8,61895,57935,1525,1447,446,646,47,0,0,65870,60720,1964,1963,481,849,83,0,0,66819,59463,2311,2056,670,2006,48,66574,60992,2448,1812,501,780,113,1244,249,45,0,145,1456,68847,63085,2554,1603,568,496,84,48729,46070,953,961,312,468,28,0,0,52641,49901,736,1240,137,559,0,1168,105,108,98,0,54125,48892,1503,1406,486,1547,36,54125,48892,1503,1140,336,151,6,115,1982,53067,50079,1111,1166,157,532,0,0,0,0,0,0,55122,52174,1084,1166,228,378,34,1010,152,40,34,55860,52428,1455,1098,354,494,36,833,258,44,36,26479,7525,18441,24496,6323,18173,26792,5871,19645,23998,7825,15769,24008,6501,17295,27455,7124,19867,33821,8471,24762,32808,7594,24632,35306,8405,26435,34915,8498,25805,34893,7724,27169
9,9,67081,64521,620,1008,403,540,43,0,0,65875,62942,872,1044,480,596,65,0,0,67032,62666,979,1157,430,1518,45,66729,63619,1063,1001,434,544,68,747,334,139,65,9,760,67564,64036,1022,983,529,841,126,52419,50667,367,682,258,440,30,0,0,52522,50712,450,702,221,411,4,662,188,89,0,0,53948,50662,661,814,328,1239,31,53948,50662,661,594,227,113,12,125,1554,53013,51166,482,789,226,398,0,0,0,0,0,0,53946,51645,590,777,329,529,0,587,269,38,0,55050,52507,735,820,334,579,9,540,178,32,9,23486,6639,16282,21474,5444,16030,23273,3868,18755,19185,4700,14231,19197,3660,15327,22479,4010,18132,28115,4437,23338,26332,3952,21900,29730,4155,25346,28716,4083,24113,27815,3747,23535
