ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,190636,171430,7418,8370,1749,2040,179,0,0,199183,174393,10525,10084,2171,2124,229,0,0,203291,170385,12679,10808,2705,6725,335,201316,175247,11030,10292,2144,2364,237,7512,1841,589,62,539,4496,203838,174458,11826,10983,2486,2573,130,147119,134318,4628,5525,1287,1555,104,0,0,150272,138282,3192,6250,880,1509,39,5904,737,376,76,0,159270,136754,7950,7278,1897,5173,204,159270,136754,7950,5946,1398,466,96,370,6290,152835,139819,3879,6491,853,1681,38,0,0,0,0,0,155786,141328,4627,6821,1167,1695,0,5851,988,222,0,159958,143762,5797,7344,1153,1712,29,5717,1021,129,29,71365,18913,51100,66057,16128,49929,71323,13217,55197,61682,16329,44375,61496,13258,47593,70363,14666,54484,86121,17370,67420,82620,15402,65441,91886,17096,73855,89872,16717,71276,87257,15581,69190
2,2,188509,174644,5213,5366,1468,2108,133,0,0,197265,180406,6781,5988,1961,2314,239,0,0,203307,179352,8066,6410,2327,6357,179,199062,180893,7016,6295,2018,2130,272,4507,1205,302,66,243,4830,204483,183190,7826,6385,1955,2487,206,146234,137167,3174,3462,973,1587,78,0,0,153787,144532,2735,3936,811,1649,40,3662,685,490,134,0,161769,145130,5046,4285,1647,4914,119,161769,145130,5046,3435,1201,434,35,357,6131,155979,146280,2991,4270,759,1580,29,0,0,0,0,0,160798,150296,3080,4334,1188,1727,34,3667,931,174,34,164644,152740,4105,4730,1212,1715,45,3789,858,127,45,76602,22694,52383,71545,19218,52327,77301,16699,57178,68359,21697,45381,68396,18173,49563,78704,19804,57549,97475,23407,72443,94547,20999,71759,102249,22871,78240,100905,23006,75994,100396,20992,78563
3,3,198647,183124,4792,7308,2168,1516,167,0,0,201991,183145,5802,8863,2982,1734,140,0,0,207305,180522,7833,9659,3199,5414,215,203081,183243,6133,8884,3060,1871,173,6497,2554,522,42,54,4036,207579,185047,7103,9270,3363,2220,367,158926,148211,3061,5035,1573,1163,109,0,0,160070,149765,2197,5626,1002,1249,29,5072,803,531,188,0,168402,149018,5192,6906,2356,4197,151,168402,149018,5192,5715,1776,405,61,545,5690,161300,150740,2261,5623,1098,1385,40,0,0,0,0,0,165950,153185,2945,6184,1665,1555,20,5076,1130,206,20,169463,154762,4109,6651,2006,1584,44,5194,1341,93,44,77667,23365,52814,73326,20469,52857,77413,17465,56560,69792,22094,46980,69545,18122,50797,77537,20359,55876,92478,24413,66496,88283,22263,64167,94188,23797,69295,92302,22038,68513,88819,21052,65419
4,4,213656,202486,2990,5148,1522,1640,122,0,0,213661,200498,3856,5882,1958,1879,327,0,0,214884,196178,4437,6022,2230,5009,174,214442,200853,4034,5864,2021,1861,303,3605,1293,418,145,21,4073,215829,200422,4551,6267,2072,1952,136,168673,161253,1833,3307,1063,1272,78,0,0,170225,162495,1729,3585,911,1333,33,2883,663,204,134,0,173347,160230,2822,3909,1574,3968,117,173347,160230,2822,3066,1188,371,38,386,5246,171250,163155,1857,3680,1057,1414,25,0,0,0,0,0,173010,163940,2236,3923,1300,1448,0,3004,996,245,0,175155,165231,2751,4148,1353,1498,26,3180,1051,176,26,85296,24284,59564,78201,20289,57912,83052,16085,63627,71964,19405,51811,71814,15575,55617,81903,17837,62834,99162,21355,76265,95619,19359,74629,101807,20611,80220,100301,19361,79198,98720,19107,76840
5,5,186911,162604,8172,12449,2240,1838,296,0,0,194552,165345,10369,13708,3209,2523,397,0,0,203349,164134,14968,14455,3640,6108,230,197453,165830,11454,14264,3218,2687,327,11102,2524,511,74,686,5282,203920,170123,12256,14801,3752,2720,264,145458,129977,5015,7726,1576,1368,183,0,0,147019,132489,2914,8372,1468,1562,30,7449,1138,572,299,0,159902,134105,8990,9193,2670,4643,153,159902,134105,8990,7768,2112,397,51,467,6012,149157,133330,3689,9006,1430,1765,20,0,0,0,0,0,154247,137612,4154,8831,1951,1622,25,7443,1474,270,25,158108,140803,5487,8018,2096,1543,21,6507,1478,133,21,76745,26241,49091,73069,22997,50072,76759,22175,50492,69106,27516,40321,69205,23663,44714,78223,26007,50594,94378,30986,61467,92001,28379,61922,100249,31280,67647,99185,31390,66067,97793,28620,68126
6,6,187793,158662,4759,19777,3438,1515,203,0,0,195037,163367,5837,20138,4070,1489,233,0,0,203299,162137,8373,21848,5429,4942,262,197600,164827,6359,20398,4429,1396,165,18439,3754,505,19,479,3203,204611,168122,7049,21925,5226,1924,165,146968,126272,3179,14157,2443,1141,138,0,0,150345,130913,2464,13583,2167,1122,85,12826,1950,481,172,0,161552,131999,5501,15554,4026,3850,174,161552,131999,5501,14052,3279,382,62,425,5852,152875,132743,2515,13883,2608,1064,17,0,0,0,0,0,159101,136710,2758,14877,3156,1230,35,13866,2837,209,35,163266,137821,4651,16023,3212,1172,21,14726,2814,152,21,78940,30619,46954,72605,26112,46493,80232,28175,47061,74197,35294,37812,74341,30331,43084,82642,33548,47392,98053,40259,55948,96298,37293,57675,99342,38691,59100,99246,39444,58361,98911,36811,62100
7,7,181207,153224,7244,14051,5589,1493,255,0,0,199919,164296,10311,16462,7555,1559,403,0,0,204332,159982,13403,17257,8336,5087,412,200813,165269,9919,16162,7694,1605,381,13765,5761,344,114,541,5105,205719,167660,11559,16984,7497,1919,508,142663,123190,4753,9659,4137,1114,175,0,0,153451,133213,3827,11957,3164,1071,85,11063,2527,348,239,0,162670,131180,8868,12180,6247,3829,277,162670,131180,8868,10423,5318,374,134,539,5834,153683,134222,3582,11342,3229,1066,118,0,0,0,0,0,158237,137413,4033,11763,3468,1158,210,10155,2648,130,210,159901,137498,4770,12105,3694,1265,273,10168,2706,105,273,84566,30809,52460,74068,25318,48750,76978,26460,45036,70472,33662,35828,70584,29086,40718,78650,32206,44700,92867,38866,52022,91399,36056,53943,92030,36695,53876,91949,37094,53413,91581,34621,56960
8,8,199615,187330,6394,2784,1406,1811,151,0,0,206519,190675,8447,3481,2107,1740,281,0,0,212327,189165,11370,3644,2160,5319,205,208799,192495,8643,3495,2240,1977,394,1938,1211,361,193,56,3904,211256,192631,9317,3941,2443,2327,371,155076,146889,4062,1766,945,1407,106,0,0,159703,153164,1920,2139,1018,1201,124,1724,635,271,154,0,168689,152866,7031,2344,1629,4155,152,168689,152866,7031,1609,1191,486,45,361,5100,161897,154767,2358,2240,832,1491,194,0,0,0,0,0,164505,156483,2720,2306,1038,1719,99,1759,674,212,99,168448,158520,4087,2532,1209,1684,107,1848,738,147,107,70654,18968,50254,67562,15602,51960,73204,12366,58192,60672,15694,43638,60733,12869,47025,71788,14009,56418,90312,16362,72558,86447,14503,70169,95363,15673,78845,93261,16251,75481,90200,13881,75047
9,9,207829,188227,10792,6022,1363,1900,228,0,0,211468,189258,12128,7480,1746,1847,385,0,0,211348,181606,15422,6637,2088,5609,502,211885,188893,12747,7803,1992,1480,515,4702,1524,684,350,96,2887,213503,188599,13677,7571,1873,2389,619,162570,149955,6546,3944,923,1445,146,0,0,163277,153051,3710,4372,676,1417,79,3709,570,663,33,0,168174,148400,9286,4428,1462,4289,313,168174,148400,9286,3329,1061,419,196,339,5144,164203,153463,4328,4538,738,1115,74,0,0,0,0,0,165515,153822,4897,4662,650,1355,65,3367,557,326,65,165792,152659,6073,4517,898,1505,34,3406,681,189,34,76282,21755,52902,69076,17881,51195,73002,13279,57218,62399,16674,44691,62436,13314,48450,71319,14734,55333,86659,17140,68051,83045,15380,65795,91463,16375,74186,89552,16052,71933,85721,14267,69494
