ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,T_23_ACS_Total,T_23_ACS_White,T_23_ACS_Hispanic,T_23_ACS_Black,T_23_ACS_Asian,T_23_ACS_Native,T_23_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_23_CVAP_Total,V_23_CVAP_White,V_23_CVAP_Hispanic,V_23_CVAP_Black,V_23_CVAP_Asian,V_23_CVAP_Native,V_23_CVAP_Pacific,V_23_CVAP_BlackAlone,V_23_CVAP_AsianAlone,V_23_CVAP_NativeAlone,V_23_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SCC_Total,E_16_SCC_Dem,E_16_SCC_Rep,E_18_CMPTR_Total,E_18_CMPTR_Dem,E_18_CMPTR_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SCC_Total,E_18_SCC_Dem,E_18_SCC_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_SCC_Total,E_20_SCC_Dem,E_20_SCC_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,198616,140895,12190,41454,1628,3636,184,0,0,197587,136320,14458,42349,2159,3478,245,0,0,194995,128452,15298,42039,2545,7213,364,197801,135407,14819,42674,2251,3509,147,39537,1659,1522,35,4687,195153,131542,15672,41734,3153,3683,382,194959,130505,15966,41675,2602,4199,641,151244,111359,7691,29078,1091,2609,108,0,0,147285,107999,5940,29779,1014,2377,87,29183,783,861,87,220,0,150743,103591,9956,30113,1817,5286,234,150743,103591,9956,28603,1378,1237,82,5566,147845,107893,6471,30064,972,2390,28,0,0,0,0,145270,105145,7074,29153,1317,2380,104,28757,1064,763,104,145095,104365,7379,29074,1305,2693,109,28262,1032,747,109,145220,103679,7789,29498,1446,2463,155,28473,1179,675,155,76002,23128,51985,73625,20465,53160,42952,10187,32765,44450,11880,32570,75815,17386,56580,219248,52560,159202,62922,14755,46731,63753,15967,47394,63735,14539,48569,63398,16241,46190,63521,17620,44976,180897,30683,142096,72262,17373,53979,85048,20910,63267,83935,20198,62359,248045,60798,187247,71375,16480,53977,60202,11870,47690,59796,11953,46792,59904,12251,46721,59546,11648,47172,59649,11913,47394,76180,17227,58142,83381,18182,64633,82541,18707,62606,26686,4657,22029
2,2,173869,135981,21966,12122,1642,3049,291,0,0,185753,140310,27563,13018,2357,2839,479,0,0,196284,139560,33228,14239,2453,7245,431,188880,141688,28921,13500,2422,3012,186,11550,1728,1380,86,3437,198657,145638,32914,14637,2601,3394,170,203591,146278,36222,15281,2889,4068,488,130806,106522,13027,8308,1225,2143,173,0,0,134540,110835,11741,9207,761,1850,44,8834,668,937,44,139,0,149984,111627,20937,10165,1742,5500,288,149984,111627,20937,9082,1233,1016,133,5603,137485,112405,13051,9209,848,1933,43,0,0,0,0,144180,116165,14765,9797,1307,2077,58,9398,944,639,58,146100,116825,15841,9747,1309,2121,63,9200,846,530,63,149769,118499,17309,10000,1524,2133,54,9179,1059,486,54,62943,16629,45606,58886,12335,46551,34037,5810,28227,35175,7385,27790,66991,11705,53090,192574,33733,150897,57130,10329,45255,58340,12330,45603,58242,10314,47220,57769,12511,44092,57997,12802,44203,165745,21929,136968,66549,12683,52821,80532,15468,64152,79478,14526,63395,231497,42933,188564,68272,12547,54607,63482,10835,51665,62774,10737,50353,63052,11356,50480,62439,9875,51561,62580,9975,51411,78236,14580,62587,91461,16579,74242,91041,18047,71246,89530,15494,74036
3,3,144088,103906,31654,4483,2930,2151,221,0,0,184561,121970,47277,7876,5510,2992,643,0,0,202477,120870,60199,9464,7014,6889,467,192761,124054,51625,8477,6879,2066,383,6682,4847,332,63,4577,204440,127145,58490,9635,6825,2364,486,213492,125960,66224,11090,7530,3166,538,101803,77252,18747,2945,1914,1466,141,0,0,119755,91457,18807,5113,2291,1807,183,4401,2047,423,183,305,0,147859,94138,38409,6487,4792,4951,313,147859,94138,38409,5311,3979,495,134,4901,125501,95136,21410,4702,2880,1075,64,0,0,0,0,134463,99125,25102,5719,3071,1120,80,5313,2732,204,80,138725,98939,28044,6527,3730,1149,115,6089,3047,249,115,148935,103036,32573,7719,3936,1244,136,7051,3149,214,136,44510,8802,35507,49497,7760,41737,28002,3479,24523,28905,4417,24488,61332,11339,47488,180570,30250,143891,55865,10701,43844,56225,12743,43081,56354,10624,45019,56127,12234,42754,56268,12127,43152,161873,22749,132902,66042,13921,50887,83910,19156,63628,83086,17788,63470,244769,52275,192494,68996,14629,53057,65150,13637,50724,64869,13373,49978,65030,13619,50016,64676,12234,51264,64509,12429,51616,83185,18816,63083,101419,23707,76758,101127,25272,73943,100007,21372,78635
4,4,151452,110096,23573,15048,1471,2101,175,0,0,174587,117212,34200,19755,2382,2182,286,0,0,195819,115380,44027,28261,3565,6517,353,181158,117587,36913,22090,2718,2673,260,19896,2157,472,97,3884,201300,121405,45008,29528,3747,3438,309,211740,120966,50229,34455,4458,4726,323,110963,84904,13768,10178,975,1505,121,0,0,121302,91197,14484,13124,1114,1233,65,12792,1002,448,65,103,0,143550,91328,27259,18438,2436,4731,227,143550,91328,27259,16974,1872,723,83,4966,126484,92309,16516,14716,1131,1480,94,0,0,0,0,139678,95415,21934,18898,1589,1451,93,18044,1311,344,93,144985,95625,24088,21120,2044,1645,83,20005,1635,316,83,153356,96595,27379,24496,2512,1877,90,23054,2061,210,90,52183,16252,35428,49678,13268,36410,28528,6512,22016,29332,7800,21532,58172,13897,42450,171000,40038,124657,52639,13497,37764,53128,15365,37388,53205,13145,39320,52977,15233,36642,53091,15125,36968,152663,28313,115512,61496,16847,43611,77196,22804,53474,76794,21662,53367,228596,66057,162539,62986,17768,44153,57837,17020,40133,57219,16644,38789,57429,17077,38954,57107,15674,40279,57211,15823,40190,75003,23147,50695,90733,29037,60763,89761,30912,57022,87731,27646,60085
5,5,175666,126971,28554,17511,1208,2504,173,0,0,186270,130890,33740,18497,1700,2115,116,0,0,186084,125669,35845,17228,1768,6217,241,188060,132195,34953,17114,1877,2166,173,15536,1086,853,125,2918,188100,128727,37016,17909,2087,3053,208,189974,130406,36841,17652,2356,3766,384,131505,100511,16471,12541,768,1774,104,0,0,132916,105167,12301,13204,744,1375,57,12903,541,728,57,69,0,142286,101442,22448,12503,1240,4704,151,142286,101442,22448,11561,894,715,30,4834,134155,106334,12941,12521,877,1537,92,0,0,0,0,134811,104633,15099,12373,935,1635,85,11767,668,283,85,137478,106071,15819,12370,1136,1716,80,11590,813,206,80,138783,106163,16617,12729,1082,1759,72,11732,775,185,72,66049,17950,47395,64132,14350,49782,38693,6527,32166,40102,7225,32877,69964,13048,55048,205072,38564,160031,61375,11334,48680,61937,12521,49017,62059,11243,50164,61704,12631,48013,61839,13822,46979,177232,23716,147681,69661,13242,55454,82874,15863,66126,81980,15274,65219,242685,45724,196961,70540,12799,56748,64249,10037,53571,63910,10293,52378,63992,10347,52564,63698,9734,53148,63521,9927,53154,78365,14034,63383,87791,15177,71937,87320,15902,69759,37386,4995,32391
6,6,170970,103915,29984,33472,2893,1726,171,0,0,183843,106479,36915,35871,3875,1753,231,0,0,189005,106250,38327,36103,4906,5000,248,186212,106558,37248,37635,3878,1773,178,34260,3392,499,101,3846,189270,108434,38165,37359,3944,2112,231,192439,108390,40035,37927,4043,2267,281,127484,83091,17993,23701,1976,1239,119,0,0,128974,85162,14876,25738,1938,1107,132,25405,1877,450,132,104,0,144223,86763,24697,26206,3510,3741,191,144223,86763,24697,24690,2919,432,44,4282,130755,85510,15376,26567,1984,1047,65,0,0,0,0,134579,87107,17661,26537,2051,1103,55,25748,1836,138,55,135417,87484,17963,26977,1920,1048,39,26297,1652,127,39,138487,89322,18572,27314,2151,1047,59,26364,1848,176,59,64607,19503,44643,63921,17774,46147,37197,8289,28908,38091,8896,29195,68206,18747,46471,198593,52622,139624,61536,17498,42544,62490,19725,42395,62328,17492,44075,61954,18964,41735,62037,19056,41848,173712,36189,128830,69009,20585,47136,80524,25230,54163,80390,24129,54665,239330,73172,166158,68513,19895,47332,60742,15907,44107,60172,16002,42732,60333,15742,43181,59970,15021,43890,60305,15343,44962,74498,21679,51666,82706,23647,58006,81952,24414,55915,0,0,0
7,7,197907,124223,27600,42811,2218,2477,224,0,0,200039,120421,32242,43452,2958,1935,259,0,0,202803,116958,34268,44077,2951,5856,259,200167,119196,32625,43920,3092,2507,251,40043,2031,355,218,5513,203011,118602,34435,45317,3250,3604,248,204075,118024,35313,45774,3274,3804,229,147896,98692,16223,30340,1543,1774,138,0,0,140185,95385,11053,30941,1316,1364,185,30359,1152,335,185,113,0,153884,94469,21301,32094,2116,4291,186,153884,94469,21301,30488,1670,633,67,4843,140900,95153,11760,31016,1284,1471,220,0,0,0,0,143950,95467,13565,31809,1375,1602,85,30621,1033,277,85,144275,95283,14086,31794,1337,1626,54,30308,1036,307,54,145763,95558,14968,30257,1293,3588,67,28761,886,384,67,73240,23697,48873,71202,22298,48904,38519,9646,28873,39673,10599,29074,72535,19993,50496,212220,57575,148776,61416,16762,43266,62026,18396,43243,62072,16516,44858,61785,18352,42359,61874,19187,41634,173935,34683,131568,70103,19858,49159,82563,24043,57429,81625,22913,57078,240859,68832,172027,68942,18938,48922,57881,14050,43252,57506,14265,42123,57651,14127,42373,57393,13615,42916,57636,14211,43425,74112,20162,52939,81695,21764,59261,81278,22169,57508,0,0,0
8,8,187468,121997,33596,29314,1235,2253,541,0,0,189238,118191,38377,29026,1308,3028,991,0,0,192599,115289,42337,28451,1802,5397,957,190336,118004,39330,29047,1363,2186,1017,26145,1008,731,825,4170,192835,115263,42042,28954,1624,4224,1117,195339,115128,44228,28648,1828,4952,752,142790,97478,20941,22323,833,1604,334,0,0,135413,95288,15323,22324,656,1569,245,21774,554,819,245,56,0,149542,94224,28148,21919,1290,4076,606,149542,94224,28148,20755,962,525,504,4118,135511,95576,15882,21743,644,1513,119,0,0,0,0,137532,94914,18145,20819,839,2372,284,19955,661,490,284,138705,94960,19457,20510,976,2468,119,19420,809,437,119,140448,95577,20079,19755,1019,3903,100,18609,805,868,100,61752,17456,43523,58867,14072,44795,35373,6835,28538,36462,7862,28600,63345,12890,48906,184639,38070,140122,55349,11242,42857,55848,12484,42978,56036,10988,44439,55743,12656,42096,55833,12956,41995,159919,23591,130072,62491,13155,48516,73761,15927,57072,73135,15188,56588,216798,45789,171009,62687,12721,49114,56056,9801,45672,55567,9792,44456,55742,10153,44603,55405,9246,45361,12873,1630,11033,69049,13795,54420,77161,14695,61850,76675,15683,59615,75266,13652,61614
9,9,201132,138039,28604,31313,1510,2624,123,0,0,203612,135881,33054,30857,1778,3582,134,0,0,199902,128840,33621,30447,2155,5480,247,204689,136397,33585,30779,1834,3304,34,28882,1514,872,27,3251,200868,132148,34131,28128,1918,6491,47,202436,132726,34736,27940,2147,7478,198,154164,110524,18235,22979,1025,1867,77,0,0,149765,109515,14583,22693,969,1924,74,22358,825,766,74,167,0,156851,105762,22723,22672,1568,4212,164,156851,105762,22723,21541,1217,1022,42,4227,151175,110204,15229,22838,1101,1867,24,0,0,0,0,148840,107449,15891,20530,1187,3808,10,19750,1012,790,10,149930,107789,16631,19996,1342,4162,8,18947,1133,621,8,151933,108536,17730,20022,1253,4549,37,18587,959,735,37,75817,23679,51248,72375,19251,53124,41414,8568,32846,42640,9625,33015,75986,17015,57032,217684,50145,161169,64797,14335,49073,65889,15669,49843,65717,13917,51158,65314,15791,48554,65474,16649,47811,185847,29745,149124,74400,17002,56426,88882,20550,67489,87432,19824,65940,258248,58371,199877,74045,16230,56804,64013,11989,51341,63577,12133,50125,63657,12256,50299,63161,11501,50751,63384,11887,51313,80368,17181,62234,88882,18374,69877,88067,19036,67393,82911,16126,66785
