ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,T_23_ACS_Total,T_23_ACS_White,T_23_ACS_Hispanic,T_23_ACS_Black,T_23_ACS_Asian,T_23_ACS_Native,T_23_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_23_CVAP_Total,V_23_CVAP_White,V_23_CVAP_Hispanic,V_23_CVAP_Black,V_23_CVAP_Asian,V_23_CVAP_Native,V_23_CVAP_Pacific,V_23_CVAP_BlackAlone,V_23_CVAP_AsianAlone,V_23_CVAP_NativeAlone,V_23_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SCC_Total,E_16_SCC_Dem,E_16_SCC_Rep,E_18_CMPTR_Total,E_18_CMPTR_Dem,E_18_CMPTR_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SCC_Total,E_18_SCC_Dem,E_18_SCC_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_SCC_Total,E_20_SCC_Dem,E_20_SCC_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,894283,606095,117283,154967,8832,12526,898,0,0,920046,602029,139373,159907,11740,11387,1240,0,0,923466,580402,146949,158039,13500,29196,1340,925211,601187,142183,161029,12329,12431,1092,147054,8958,3599,568,20541,927355,592772,148906,160873,14023,15691,1564,933922,592494,152426,160647,13692,18935,1871,673083,480357,70107,110395,5980,8943,566,0,0,659665,478878,52624,114453,5424,7437,519,112155,4671,2685,519,798,0,707486,468994,93515,114975,9612,21688,911,707486,468994,93515,108569,7490,3641,275,23224,665190,480360,55571,115008,5719,7847,469,0,0,0,0,669520,476182,63343,113821,6533,8772,451,110264,5132,1633,451,673455,477103,65743,113065,6293,10231,377,108711,4924,1652,377,680726,479174,69028,112763,6752,11851,444,107601,5185,1604,444,336246,99418,233335,326598,87083,239515,187837,40102,147735,193740,45047,148693,343612,80023,253423,1000538,233287,736103,295665,69371,219604,299407,76780,220801,299293,68774,227256,297656,76561,215994,298129,81157,212093,845474,144104,666453,336292,81809,249522,396359,98798,292903,392321,94710,290331,1160927,285139,875788,334703,78450,251223,291941,59801,229041,289900,60556,223514,290481,60777,224358,288876,57572,227189,289387,59070,229005,363858,84350,274899,403307,90867,309025,400388,94045,299125,92714,14380,78334
2,2,799912,461258,188049,94713,52432,10668,1559,0,0,889764,458248,241157,117862,68910,15082,2653,0,0,957994,458609,267926,136552,78028,29169,2575,908010,457208,252528,124147,71163,14694,2331,107873,60996,2479,1120,23612,960588,462642,272085,142834,76549,18558,2494,986574,463899,284838,150812,80153,19638,2564,582953,362212,114902,63438,38393,7325,964,0,0,578609,364790,97042,75198,34136,6817,496,71776,32319,2267,496,1124,0,720516,371772,177429,95415,60333,21248,1699,720516,371772,177429,87640,55603,2624,883,22122,593700,366047,106534,77872,35868,6397,375,0,0,0,0,632959,372052,118915,93143,40879,6606,472,87782,37606,1831,472,647504,374033,124306,98494,42693,6686,355,92393,39424,1420,355,671088,378863,134667,102769,46172,7641,332,96149,42637,1179,332,282170,104116,176329,271671,93923,177748,157033,45472,111561,161726,53860,107866,305741,109940,182694,893410,294687,558186,283459,106083,168226,288697,122332,164144,287841,104807,178099,286115,118463,160850,286538,116767,163852,799354,222348,516505,322432,127326,188426,387539,161135,220715,384943,150108,225379,1137978,454575,683403,321065,127491,186984,284594,112075,168600,281961,110633,161710,282997,112299,163156,281200,102236,172191,244096,97564,141701,357681,143574,207282,405639,158003,240447,401418,167663,225497,392221,150876,240006
3,3,943400,631223,123266,169727,13370,10728,886,0,0,963104,617603,151104,172201,15466,11888,844,0,0,962222,585173,169262,170510,17655,24347,1111,966004,614144,156253,171536,16043,11830,776,161744,13271,3114,316,16118,965405,597014,168503,168346,17214,18465,964,972192,591825,178277,167607,17874,21741,1370,719116,501745,78965,123560,9497,7863,557,0,0,697657,491822,65441,126168,6619,7046,265,124609,6034,3087,265,538,0,742444,474813,112331,125506,12849,18488,767,742444,474813,112331,119388,10901,3051,208,20014,698684,491698,66591,125238,7433,7099,204,0,0,0,0,696629,481822,74446,120973,8250,10142,319,117427,6968,2024,319,697275,478095,78874,119339,9028,10763,413,114883,7614,1711,413,704790,479356,83482,119724,9185,11954,476,113673,7602,2124,476,333018,108649,221086,325564,95678,229886,183584,46076,137508,189563,50654,138909,341281,87646,244955,989717,261400,697625,291888,74858,210498,296149,81129,213410,295962,72649,220441,293968,80799,208646,294551,82578,207641,831379,155511,641229,333120,86528,242197,393483,102394,286947,388476,98586,282554,1146929,295758,851171,328396,82056,241881,279131,60550,215648,277058,60790,210985,277510,61303,211438,275744,58435,213502,247505,54661,192203,353970,85624,264121,391749,91399,297515,388099,95043,286254,362048,82514,279534
4,4,750605,471460,167248,85509,23906,9158,1712,0,0,895096,507568,239688,110824,35332,9195,1571,0,0,954803,492630,272901,129108,42940,28265,2843,911803,514112,245912,113773,36387,10235,1737,99233,28437,1598,463,20360,958767,512108,275081,128148,39038,13881,1880,991476,510609,294558,138915,43428,16459,2159,544449,363465,104011,57394,16531,6315,1028,0,0,592063,392172,106058,70939,17298,4189,369,68958,15907,1566,369,974,0,705215,390540,178921,89698,30846,20250,1897,705215,390540,178921,81439,26259,2147,920,22212,604297,396749,110558,73188,17819,4552,354,0,0,0,0,632403,398157,125678,83285,18978,5228,615,79287,16781,877,615,650089,399384,134341,87912,21941,5289,599,83477,19371,811,599,672379,404423,143145,94837,22797,5747,592,89608,19805,878,592,264403,79043,184143,276888,75570,201318,159744,36238,123506,165163,42778,122385,317754,93443,210178,933110,254462,643201,286531,85304,193843,289051,97325,189670,289200,84630,200772,288056,94830,187389,288530,93477,189927,809683,179064,589395,329954,105196,218279,402566,136183,260880,397806,126498,261769,1169580,377999,791581,331337,105667,218909,293176,91510,197712,291410,89893,193967,292100,90670,194531,290098,84066,200124,289511,84714,203802,372527,121230,244943,426096,137852,283693,424511,144494,270977,418015,125309,292704
5,5,737146,452804,172564,86661,23919,8961,1234,0,0,867116,503427,221523,104021,38625,11761,1861,0,0,931924,508428,252135,107092,50238,25754,2334,891997,513446,228419,106407,43764,12793,1899,89429,34472,1616,771,22222,944534,528502,251257,112386,46968,17346,2424,974880,534487,266077,113810,51907,20213,2870,558730,365709,111448,61018,17868,6371,801,0,0,611948,406975,113956,68747,15542,5091,414,66225,13302,1561,414,1526,0,719288,418606,172638,77673,36589,18995,1539,719288,418606,172638,69412,31465,2075,618,21667,633386,418951,118982,70210,17238,5472,558,0,0,0,0,674937,436756,135527,74371,19279,6644,678,70770,16244,847,678,692514,443285,142516,74913,21616,7206,683,71204,18430,864,683,716408,451690,151235,77336,25062,7746,790,72382,21410,728,790,249501,94255,153100,244255,82872,161383,147556,41732,105824,153234,49372,103862,295175,99176,177715,848791,267182,533256,282032,99226,172257,287530,117249,167443,286705,99769,181203,284371,111854,163723,285260,111553,165736,798594,210417,526803,321224,121496,191117,394117,157015,229031,387696,146457,231076,1133778,432511,701267,326610,124234,193722,303125,114343,183843,297582,111870,175353,299833,112840,178142,298135,104963,185731,174791,59165,113132,373681,143474,222173,431254,162229,262437,427496,166826,249558,406752,144954,258285
6,6,919730,125435,650066,129268,20787,12411,1386,0,0,982137,105844,715374,141858,24360,9622,1142,0,0,959881,101674,687842,147056,26345,28188,1550,977834,101363,717780,137935,26210,9920,1575,123517,22597,802,485,10031,963444,101422,706233,134099,26370,14304,1959,945248,102418,678420,142029,27777,18047,1756,626111,106678,417494,88441,15541,8226,916,0,0,485692,90553,284210,95658,12587,2675,185,93505,12153,774,185,511,0,688613,87022,475961,104708,20412,20639,1060,688613,87022,475961,96152,17853,1111,335,7992,493478,86215,298066,92112,14034,2485,243,0,0,0,0,498887,86654,303769,89928,14968,2842,409,86692,14358,825,409,494937,87735,293293,94346,15938,2999,267,90711,15201,838,267,493254,82889,297724,93209,15615,3024,359,89341,14578,769,359,159677,100583,57877,163430,107149,56281,74612,45313,29299,78277,49693,28584,182504,127881,47823,532918,359664,148917,158853,110503,43406,159788,117014,41759,159862,108982,49014,159327,114542,41911,159564,112862,44371,402276,227988,138232,181908,124964,53478,220846,145880,72175,213810,136648,70265,631107,422755,208352,171734,116311,51857,129156,85936,41043,127534,83842,40449,127718,82391,41121,126743,78944,41942,128245,87601,40218,180506,115051,62028,197395,115747,79118,194574,121767,66684,181580,113881,67691
7,7,739662,402446,194074,80604,62861,8211,1449,0,0,910740,433335,265734,123812,89813,9025,2098,0,0,954011,413253,294159,138491,99314,26166,1985,921753,424407,270547,137203,91828,9246,1808,119180,78501,1660,552,22755,949458,416234,295043,142764,97713,14005,1806,966639,412961,301799,147768,102234,17946,2036,521163,302881,121278,51723,43921,5324,888,0,0,566899,321830,118617,74633,46443,3730,365,73145,43939,1170,365,1458,0,699363,324041,199346,93862,72542,18673,1351,699363,324041,199346,83856,66480,1551,383,20530,580643,320259,127610,81260,46654,3295,376,0,0,0,0,598609,317032,144440,82111,49758,3508,363,78712,46301,589,363,611266,317607,147536,85848,54324,3911,499,81848,50533,706,499,629112,316546,155587,92562,59081,4464,336,87042,55094,638,336,254599,79275,174550,249834,73438,176396,153574,36796,116778,159006,44231,114775,312940,111308,186738,924019,294307,594176,291159,105279,178455,293251,120433,170621,293133,104578,184366,292165,116804,169383,292703,115707,171968,806531,220806,540847,333429,129312,197265,407706,168148,233850,403336,154790,238797,1186837,464156,722681,331675,129121,195499,288422,111308,172986,286700,109050,169998,287481,110620,170304,285610,101118,178560,286589,104344,177994,366116,144457,214386,406522,157036,242211,405007,166152,228294,399042,151283,247687
8,8,731121,476710,108779,64355,76920,9762,1329,0,0,883494,531225,137080,91460,118662,9420,1958,0,0,963125,522756,161400,107226,151176,27351,2239,910506,536017,141826,97521,128863,10278,1768,83642,116056,3493,446,27134,977534,549713,156899,113071,147369,14147,2276,1012787,553759,167839,121743,157070,16669,2184,520898,356811,66981,41388,51606,6445,841,0,0,575668,402169,58349,57776,50874,5206,302,55597,48292,2637,302,1219,0,709248,408835,105377,72617,105389,19221,1463,709248,408835,105377,65089,98297,3005,504,25555,596291,408209,63815,61998,55186,5934,315,0,0,0,0,645829,426325,75983,70942,64036,6470,484,66788,59946,2042,484,669403,431582,84238,75728,68959,6463,553,71290,64817,1770,553,699476,440263,92986,79708,77243,6878,541,75017,72694,1538,541,272934,96077,175214,273754,87924,185830,156233,42371,113862,160740,50184,110556,333486,117844,195700,957732,300657,613060,313443,116854,187097,322350,138365,181317,320483,116149,198714,318222,131491,178487,318596,128752,182999,882530,243741,572683,361685,144334,208702,445032,191646,245383,435348,171814,253312,1264628,505226,759402,365962,147748,209329,334810,134859,195298,329865,132534,185723,331679,134662,188782,328320,121281,200275,329246,124399,196711,415901,170138,236581,479017,188439,277207,473260,200830,262017,458775,175664,282760
9,9,803624,473367,218519,69585,38368,11051,2294,0,0,930036,504563,264272,97551,58365,14218,2725,0,0,964126,485644,279040,114644,67155,28838,3823,941727,503993,271784,98958,60193,14741,2448,85101,50252,3128,1188,23805,956723,493666,284717,110132,61189,17459,2494,966167,493719,279617,119270,65726,18694,2749,578354,365735,135459,46114,26818,7649,1397,0,0,607122,391487,119183,59092,28785,7019,449,56761,25980,2866,449,1423,0,718725,389502,186870,77907,48252,21016,2411,718725,389502,186870,69227,42280,2860,1252,24172,623373,396673,128034,60799,28950,7127,439,0,0,0,0,641635,394230,142215,67580,29488,6512,338,63893,26824,1769,338,647382,396943,138848,72543,30603,6716,440,68643,27536,1527,440,664612,399530,146400,76414,33108,6764,502,71801,29729,1273,502,268154,101201,165483,263077,90621,172456,156355,47030,109325,162556,56352,106204,304986,109631,178845,898603,297862,556180,281720,107187,164131,286891,124950,159468,285976,107139,173459,284182,118423,158314,284872,116221,161522,784050,224317,504216,322150,129481,184843,389458,165766,216985,386409,152305,223022,1134315,458777,675538,320519,130166,182453,281525,115562,161729,279500,113406,155692,280261,115220,156402,278759,106062,165353,272609,106282,165896,354827,146564,201012,397859,161560,230782,396992,169860,217192,387910,149387,238449
