ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,37410,32892,3264,234,549,590,90,0,0,40840,35019,4229,331,561,660,144,0,0,43137,36910,4265,314,680,918,189,41533,35635,4328,271,667,614,94,179,358,436,38,496,44131,38154,4414,316,875,491,111,24566,22043,1820,82,345,350,34,0,0,26808,23899,1962,224,307,366,20,218,244,278,20,25,0,29337,25608,2506,145,443,592,103,29337,25608,2506,59,270,198,38,587,27770,24585,2185,172,334,434,18,0,0,0,0,29340,26349,2068,101,442,329,20,73,323,84,20,30895,27841,2190,97,408,314,22,47,221,108,22,14207,2306,11450,13910,1299,12611,14439,1573,9064,14294,1638,11977,14374,1805,11833,14174,1634,11163,13929,2218,10723,13911,2613,9980,13680,1800,10736,16678,2171,13747,19969,3032,16204,18835,2396,15248,19600,2892,15656,18821,0,16022,18922,0,15851,19264,2756,15468,22036,3615,17583,21678,2798,17360,21584,2438,13893,21414,2510,16515,21213,2633,17186,21142,2784,17465,21386,2873,17432
2,2,33709,29172,3108,316,711,364,239,0,0,40729,34224,4187,418,1461,663,131,0,0,43892,35772,5124,659,1173,933,369,42095,35165,4386,536,1345,770,259,290,780,220,173,1069,44636,36320,5064,575,1482,819,204,22147,19609,1703,133,471,197,110,0,0,25829,23236,1365,134,776,231,38,100,556,140,38,61,0,29836,24930,3052,359,790,589,204,29836,24930,3052,236,600,161,133,648,26562,23713,1623,123,758,317,42,0,0,0,0,28316,24977,1952,247,778,362,0,133,522,89,0,29452,25842,2250,282,736,288,4,172,475,29,4,12075,2595,8910,13118,1676,11442,15130,2337,7202,14936,2361,12026,15053,2485,11843,14475,2149,11022,13999,2733,10378,13816,2838,9798,13236,2518,9827,16394,3360,12335,19431,5291,13179,18903,3933,14066,18932,4409,13522,17506,0,14277,17545,0,14287,18516,4467,13131,20377,6047,13592,20283,4663,14536,20355,3989,12670,19966,3787,13255,19627,4214,14360,19387,3944,14434,20023,4424,14786
3,3,40644,33621,4369,501,1629,500,271,0,0,40982,33325,4457,700,1760,457,385,0,0,43860,35191,5078,823,1615,909,489,42022,34437,4187,766,1886,425,340,527,1452,48,200,950,44346,36443,4498,691,1996,504,307,31139,26455,2707,328,1271,335,174,0,0,29958,26408,2124,246,710,248,89,152,445,53,89,148,0,34965,28910,3367,522,1271,664,282,34965,28910,3367,365,945,196,186,883,30755,27112,2136,310,702,249,45,0,0,0,0,33088,28987,2348,317,860,255,70,231,507,18,70,33994,29447,2634,227,1084,312,52,71,677,19,52,15275,4982,9558,13356,2923,10433,14234,4027,5174,13998,3866,9325,14099,4117,9262,13465,3430,8469,13053,4079,8073,12868,4104,7728,11927,4045,7060,14710,4817,9164,16729,6835,8959,16227,5522,9863,16145,5757,9344,14360,0,10437,14334,0,10637,15549,5856,8852,16247,6972,8653,16058,5996,9188,16090,5291,8563,15772,4888,8349,15502,5515,9196,15317,5056,9192,15749,5653,9316
4,4,36095,32709,2527,186,475,231,84,0,0,41721,37188,3490,239,542,390,118,0,0,43697,38318,3276,326,903,555,146,43025,37792,3736,440,651,684,111,258,291,21,19,783,45118,39207,3983,489,666,670,113,24771,22756,1520,78,270,148,37,0,0,28146,26561,1006,91,195,235,4,74,153,59,4,35,0,31102,27632,2111,177,560,381,85,31102,27632,2111,81,368,68,20,745,29007,27076,1154,226,318,226,4,0,0,0,0,30920,28636,1451,246,331,250,63,172,164,44,63,31702,29342,1511,77,362,290,87,48,212,44,87,16345,6567,9312,16616,5221,11395,20005,7021,9394,19682,6535,12198,19893,6949,12221,19363,6241,11641,18959,6947,11091,18857,6952,10934,19508,7014,11494,21723,8002,12999,25462,10691,14097,24529,8970,14601,24874,9670,14166,22268,0,17149,22251,0,17086,24245,9402,14016,25901,10682,14678,25520,9387,15116,25572,8054,13300,25076,8201,14347,24622,8755,14575,24495,8364,15258,25223,9100,15463
5,5,36295,31619,3632,199,424,384,233,0,0,40351,34286,4600,395,590,497,200,0,0,43323,36480,4770,394,744,708,307,40455,34321,4892,218,599,618,174,42,255,93,131,638,43464,36442,5168,477,657,927,339,22460,19974,1948,69,238,197,105,0,0,24524,22058,1810,104,254,222,66,35,120,102,66,29,0,27924,23998,2746,186,412,458,166,27924,23998,2746,71,278,99,110,536,24898,22349,2015,80,212,189,62,0,0,0,0,27513,24363,2279,218,269,235,93,169,154,53,93,29500,26009,2220,366,429,251,135,302,150,22,135,12927,2529,9801,13905,1546,12359,15920,2128,8264,15731,2069,13108,15833,2340,12721,15313,1904,12042,14813,2532,11343,14684,2623,10771,13977,2203,10832,17138,2893,13557,20258,4374,14970,19480,3377,15117,19712,3800,14933,18350,0,15385,18381,0,15410,19709,3929,14811,22390,5506,16188,22348,4258,16718,22350,3659,14137,21981,3544,15562,21629,3971,16482,21258,3597,16724,21975,4109,16941
6,6,33447,30170,2298,204,408,398,106,0,0,38971,34710,3046,224,592,443,140,0,0,42782,36588,3947,459,803,923,212,40024,35544,2760,261,585,568,181,171,210,122,94,1067,43020,36741,4041,399,694,865,123,22347,20498,1326,74,242,224,41,0,0,26059,23693,1502,99,315,289,51,84,143,151,51,118,0,29203,25474,2344,236,470,625,111,29203,25474,2344,111,261,147,57,741,26174,23999,1346,76,306,322,62,0,0,0,0,28817,25565,2193,209,397,384,45,76,235,162,45,30188,26719,2244,236,519,389,66,87,325,146,66,12306,2636,9337,13159,1767,11392,14920,2142,8772,14691,2191,11844,14813,2393,11763,14533,2088,11183,14258,2738,10478,14215,3269,9877,14345,2361,10994,17068,2975,13402,20463,4317,15454,19866,3333,15505,20153,3878,15305,19147,0,15978,19299,0,15959,19580,3769,14885,21583,4896,15974,21129,3829,16053,21292,3314,13355,20979,3294,15122,20650,3595,15891,20632,3764,15933,20945,3740,16229
7,7,37492,30168,5610,660,692,504,221,0,0,41088,30792,8516,756,864,752,201,0,0,44015,31874,9071,958,1116,1130,356,41837,31353,8162,970,1124,679,215,265,542,176,65,1265,43378,32370,8494,716,1290,888,182,25528,21233,3252,362,452,295,90,0,0,27471,22130,4075,328,478,331,59,235,299,184,59,57,0,30998,23464,5518,580,708,724,207,30998,23464,5518,358,447,114,125,877,28562,22915,4228,373,690,313,64,0,0,0,0,29822,23962,4400,249,779,328,89,144,585,113,89,30280,25386,3573,237,651,300,88,175,491,68,88,12580,3886,8325,12590,2875,9715,14378,3576,6670,14155,3713,9752,14268,3880,9646,14018,3350,9321,13700,4132,8561,13656,4718,7909,13752,3856,8790,15836,4628,10437,18499,6594,11102,17941,5185,11784,18170,5565,11460,16985,0,12756,17107,0,12420,17338,5537,10895,18101,6563,11000,17629,5508,11172,17941,4739,9958,17525,4838,10343,17174,5184,10961,17151,5231,11083,17507,5231,11307
8,8,39182,31071,6329,664,628,683,177,0,0,42082,31615,8618,447,938,598,176,0,0,42756,31860,8246,829,874,1161,264,42326,31603,8609,562,843,712,313,256,486,294,71,921,42166,31954,7705,782,950,599,269,28180,23384,3700,357,409,425,91,0,0,29044,24407,3529,267,447,281,83,222,326,218,83,40,0,31829,24618,5361,510,592,820,158,31829,24618,5361,292,313,167,69,903,29116,24145,3684,390,352,328,72,0,0,0,0,30442,24941,4017,621,462,253,26,363,395,44,26,30673,24522,4548,536,641,290,0,277,521,30,0,13991,5541,8043,13706,4358,9348,15681,5200,6842,15460,5400,9247,15585,5499,9272,15292,4785,8865,14966,5679,8274,14948,6057,7900,15067,5505,8415,17246,6394,9985,20077,8514,10659,19487,7070,11357,19700,7589,10823,18021,0,12796,18123,0,12660,18996,7416,10594,20067,8444,10989,19588,7349,11269,19814,6434,9999,19373,6380,10209,19022,6998,11049,18953,6749,11114,19332,6955,11378
9,9,36729,25380,9101,1010,843,778,224,0,0,42218,29384,9287,1776,1183,1004,637,0,0,42768,29601,9230,1437,1381,1488,390,42111,29435,9750,1148,1102,890,652,556,508,384,158,1293,44059,30183,10351,1515,1397,1271,487,25463,18493,5475,614,535,510,126,0,0,27737,21425,4340,857,441,499,165,474,313,238,165,101,0,31412,22682,5944,944,990,1006,224,31412,22682,5944,609,647,266,89,1053,28554,21969,4555,718,558,464,156,0,0,0,0,30335,22965,5059,711,774,515,74,581,545,299,74,33189,25144,5785,731,800,405,50,642,548,208,50,8420,3157,5026,8868,2601,6267,10576,2954,5042,10401,3232,6650,10507,3357,6527,10331,2855,6289,10129,3502,5745,10131,3892,5474,10182,3330,5985,12572,4250,7671,15669,5998,8964,15109,5010,9249,15330,5320,8918,14193,0,10078,14354,0,9889,14961,5313,8835,17054,6513,10064,16454,5706,9805,16735,5041,8717,16329,4990,9099,16014,5401,9705,16037,5227,9806,16249,5458,9981
