ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,90129,78787,8439,561,1135,1349,371,0,0,101647,87543,10216,744,1604,1433,734,0,0,110855,93701,11706,968,1678,2410,745,104239,89151,11105,702,1502,1572,553,383,745,635,395,1709,112714,95325,12261,925,1847,2020,1124,57750,51483,4711,195,650,747,161,0,0,64652,57772,4715,426,700,728,198,323,520,484,198,142,0,73770,63563,6930,457,1003,1559,406,73770,63563,6930,196,603,415,263,1615,67241,59613,5318,365,625,850,265,0,0,0,0,73829,64724,6447,407,842,875,358,174,609,279,358,78398,68578,6797,430,1030,912,529,174,560,263,529,31705,6206,24392,33310,4002,29308,37212,4859,21592,36738,5124,29975,37002,5638,29416,36298,4820,27883,35583,6409,26584,35438,7115,24915,35314,5580,26876,42672,6986,33703,51457,10090,39204,49160,7926,38237,50481,9185,38539,48056,0,39851,48214,0,39498,49751,8989,38047,56518,11793,42749,55760,9344,42554,55663,8141,34935,54874,8297,39769,54264,8775,41896,53859,8660,42725,55024,9325,42444
2,2,95284,81325,9248,940,2639,1065,624,0,0,104797,87311,11238,1382,3524,1293,562,0,0,111491,91352,12404,1713,3225,2198,1017,106522,88783,11189,1450,3528,1419,643,849,2370,297,383,2341,112523,92424,12495,1685,3698,2004,563,66667,58155,5368,503,1916,638,340,0,0,70307,62751,4588,427,1644,561,139,257,1078,215,139,221,0,80463,67538,7731,995,2305,1493,566,80463,67538,7731,659,1709,404,364,1821,71664,63782,4941,473,1577,644,112,0,0,0,0,76804,67695,5483,768,1726,746,99,533,1075,146,99,79610,69636,5904,861,2011,746,96,545,1238,89,96,35490,9239,24581,34891,5570,29321,38697,7702,17262,38174,7489,29014,38450,7982,28628,36914,6772,26524,35753,8433,25050,35297,8579,23884,33445,7929,23321,41071,9910,29370,47767,14737,30658,46347,11414,32672,46396,12459,31356,42371,0,33597,42419,0,33858,45313,12663,30400,49204,16257,31198,48919,13169,33114,48987,11413,29353,48097,10743,30386,47242,12075,32756,46685,11177,32937,48156,12461,33633
3,3,96804,77492,15152,1546,1623,1356,475,0,0,106837,81729,20994,1464,2039,1574,408,0,0,112971,84391,21024,2247,2812,2773,776,109679,82800,21287,1833,2477,2151,562,738,1232,544,143,2736,112853,85729,20758,1837,2697,2121,564,67656,56134,8977,851,1031,839,221,0,0,72243,60555,8900,720,1107,670,125,558,732,394,125,148,0,81369,63189,13121,1367,1816,1888,467,81369,63189,13121,840,1116,378,229,2234,74499,61296,9652,954,1315,927,105,0,0,0,0,78567,64449,10392,1080,1467,829,160,663,1080,243,160,79937,65787,10378,900,1534,916,153,563,1123,224,153,33857,12821,20053,33529,9993,23536,39533,12486,17666,38948,12623,24346,39271,13067,24304,38476,11430,23274,37651,13437,21734,37522,14442,20588,37879,13141,22011,43357,15357,26025,50883,20875,27988,49281,17296,29510,49851,18316,28585,45535,0,33350,45781,0,32759,47854,17999,27570,50372,20568,28376,49065,17844,28850,49653,15525,25628,48517,15599,26687,47585,16881,28125,47498,16425,28711,48521,16979,29175
4,4,95262,81231,9457,1447,2400,1019,471,0,0,107685,88870,12886,1958,2786,1544,711,0,0,113791,91431,14215,2136,3375,2597,965,109116,90000,13170,1768,2643,1238,944,639,1343,317,401,3133,114961,91627,15948,1881,3701,1528,906,63246,55033,5485,717,1487,645,218,0,0,71812,61379,6818,925,1561,754,213,569,990,313,213,245,0,78686,64577,8808,1171,2223,1805,467,78686,64577,8808,655,1409,387,253,2358,73235,62791,7133,717,1582,586,229,0,0,0,0,77605,65095,8599,677,1948,695,309,478,1387,176,309,82065,68998,9008,761,2104,664,281,507,1494,135,281,30428,8583,21058,31480,6208,25272,37759,7389,20137,37213,8014,27414,37509,8627,26932,36875,7203,25987,36210,9386,23977,36109,10462,22885,35057,8071,24138,42561,10111,30435,51613,14274,35250,49741,11257,35659,50577,12853,34884,47868,0,37371,48063,0,37143,49118,12471,34091,54634,15511,37652,53239,12801,37038,53887,11062,31673,52739,11114,34754,51943,12173,36574,51840,12000,36790,52801,12452,37773
5,5,104943,77779,20549,2878,2616,1938,682,0,0,110801,81564,21310,3521,3252,1705,1310,0,0,112790,80527,22467,3661,3516,3195,1172,110489,80781,22177,3200,3510,1374,1220,1781,1505,417,431,3259,111191,80564,22526,3411,2935,1982,889,74514,57776,12242,1730,1810,1260,394,0,0,75438,61033,9808,1792,1416,710,337,1476,963,341,337,354,0,82763,61131,14723,2370,2404,2229,704,82763,61131,14723,1553,1460,529,380,2652,76210,61089,10464,1859,1579,628,316,0,0,0,0,78371,62295,11338,1924,1541,813,193,1742,938,455,193,79760,62727,11684,2278,1607,840,220,1979,950,405,220,31821,12077,18816,31261,9624,21637,35946,11106,15524,35495,11398,22162,35741,11553,22243,35121,10210,21107,34411,12276,19600,34429,13173,18804,33558,11403,19627,38802,13794,22976,45003,18749,24125,43504,15111,25719,44231,16522,24610,40782,0,28686,40948,0,28293,42082,16073,23653,43735,18666,23639,42753,16041,24197,43140,14115,21742,42359,13723,22166,41610,15281,23739,41430,14577,23878,42275,15224,24703
6,6,87805,72827,9153,2082,2823,963,759,0,0,103773,85018,11212,2823,3110,1454,1156,0,0,110767,87821,13173,2724,4389,2246,1480,106594,87858,10087,3189,3776,1613,1729,1990,2078,516,1018,3010,112367,92303,11710,2877,2852,1575,1453,54153,45302,5309,1103,1766,576,402,0,0,64298,54539,5312,1342,1749,701,509,1163,1339,365,509,137,0,72107,57859,7964,1513,2814,1495,829,72107,57859,7964,1003,1841,387,488,2318,66744,56669,5100,1534,1849,749,646,0,0,0,0,72166,61386,6299,1477,1462,690,601,1086,943,328,601,76401,64008,7464,1443,1997,701,615,973,1345,244,615,26416,6834,18885,29482,5078,24404,35790,6460,17242,35724,6609,27363,35813,7172,26850,35283,5991,25953,34700,7729,24528,34442,7980,23956,32337,6848,23061,39831,9121,28621,47749,13975,31458,46584,10126,33418,47210,12127,32051,45034,0,34094,44681,0,34476,45299,11749,30873,49306,15565,32268,48714,11846,33010,48824,10382,28564,47705,9886,29975,47319,11376,32435,46882,10075,32648,48261,11981,33582
7,7,98065,86978,6358,1552,2341,808,654,0,0,109604,95223,7967,1806,3789,1307,947,0,0,113499,95279,9909,2108,3559,2026,1281,111430,95599,9231,1847,4000,1133,990,1016,1925,287,547,2746,114172,95920,10498,1833,4619,1506,1784,65380,58734,3789,798,1481,499,327,0,0,73767,65885,4258,876,1741,494,271,731,1297,280,271,273,0,78163,66738,6051,1236,2324,1280,725,78163,66738,6051,743,1537,277,407,2148,75277,66538,4993,1014,1799,417,320,0,0,0,0,78114,68191,5668,1043,2049,442,324,899,1345,286,324,79906,68694,6782,995,2131,607,306,823,1362,263,306,40220,10403,28716,43699,7249,36450,49206,9646,22418,49078,9397,37411,49267,10185,36962,48534,8580,35845,47638,10729,34022,47285,11087,33072,43814,9470,31735,51553,12503,36689,57933,19130,36058,57144,13250,40543,57771,16485,38009,54465,0,41742,53988,0,42418,54587,15497,36157,55474,19864,33837,55622,14852,36935,55695,12822,32890,54443,12305,33218,53970,14243,35722,53376,12798,36550,54969,14665,36849
8,8,99489,82845,10421,1537,2806,1011,1560,0,0,108743,88454,13062,1432,4014,1105,1560,0,0,110693,85928,13789,2249,4302,2480,2840,108864,87732,13001,1518,4186,1252,1584,873,2288,418,1159,3214,111374,87897,12619,2063,5064,1782,1989,70420,60178,6416,785,1831,645,875,0,0,73282,64137,4959,673,1908,543,819,523,1226,312,819,230,0,79711,63728,8984,1323,2863,1624,1580,79711,63728,8984,797,1985,377,1181,2360,73727,64449,5186,740,1920,598,714,0,0,0,0,75837,65323,5741,988,2067,681,914,721,1502,119,914,76268,64651,6346,1185,2311,541,940,775,1732,61,940,41049,15463,24448,41291,11382,29909,47817,15504,17274,47609,14693,30419,47907,15763,30267,47122,13443,29478,46187,15752,27890,45917,15947,27304,44289,15985,26048,50023,18807,29008,55997,26561,26861,55525,20461,32198,55722,23783,28700,50944,0,35316,50308,0,35969,52623,22279,27758,52267,25888,24616,52142,21039,28099,52398,19472,25689,51236,17170,24468,50551,20399,27021,50042,18588,27691,51483,21144,26484
9,9,101070,70963,17476,3241,6463,2130,2088,0,0,108440,73858,18927,3570,8580,2154,2278,0,0,112887,75068,18545,4524,9692,3224,2610,110980,75963,19593,3706,8171,2221,2552,2289,6157,1410,1714,3296,112936,77912,18418,5157,8308,2713,1862,81522,60439,11538,2159,5275,1542,1298,0,0,79234,62682,8535,1827,3669,1021,1013,1640,2891,820,1013,476,0,94644,65726,13701,3274,7996,2460,1678,94644,65726,13701,2506,6472,767,1313,3524,82194,64958,8981,1886,3354,1333,1065,0,0,0,0,85903,67925,8613,2683,3889,1402,850,1976,2541,773,850,92080,71891,10565,2741,4070,1630,759,1690,2476,652,759,40808,28733,10896,36924,24202,12722,44148,30344,6861,42994,28140,11789,43684,30170,12038,42114,25571,11743,41000,27907,11116,40476,27865,10979,45276,32098,11545,47646,34071,11831,54818,42802,10317,53322,38317,13330,52869,38943,11240,42855,0,22271,41845,0,23537,50882,37784,11420,50442,38718,10129,48914,35907,12007,49705,34745,12337,48563,29803,10232,47585,34294,12053,47395,32596,12263,48254,35347,11297
