ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_17_GOV_Total,E_17_GOV_Dem,E_17_GOV_Rep,E_17_AG_Total,E_17_AG_Dem,E_17_AG_Rep,E_17_LTG_Total,E_17_LTG_Dem,E_17_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_21_GOV_Total,E_21_GOV_Dem,E_21_GOV_Rep,E_21_AG_Total,E_21_AG_Dem,E_21_AG_Rep,E_21_LTG_Total,E_21_LTG_Dem,E_21_LTG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,75936,57523,7709,3680,6887,800,129,0,0,83620,61010,9632,3973,8845,561,239,0,0,85040,59251,9531,4595,10435,1240,139,85070,59266,9538,4597,10435,1240,139,85153,61071,9227,4577,9711,562,196,3692,6937,105,18,288,3816,86031,59454,9814,5251,10413,670,431,60774,46726,5798,2857,5275,593,94,0,0,59023,46921,4342,2645,4692,221,14,2567,4038,37,200,0,66299,47408,6797,3595,7585,895,108,66299,47408,6797,2817,6327,55,24,348,2523,60905,47155,4514,2919,5748,266,20,0,0,0,0,0,61717,46567,5166,3236,6091,361,80,2930,4817,63,80,62193,46381,5249,3550,6575,294,54,3097,5249,30,54,43235,29788,13047,45312,30397,14915,46643,34468,8583,35547,27802,7436,35321,27460,7838,35266,27243,7995,42850,34297,7336,43954,33630,9297,48174,37562,9390,47586,36075,11488,39513,29751,9551,39204,29742,9428,39269,29741,9464,46432,35870,10159,52519,41181,9940,52194,40861,11225
2,2,70177,47640,7316,5490,9582,585,181,0,0,80296,51314,9577,7390,11860,663,285,0,0,84636,51106,9771,8398,14494,1339,209,84583,51114,9761,8337,14496,1337,208,82154,51641,9898,7601,12548,703,417,6615,10574,219,163,357,2685,82040,49615,11003,8898,12015,792,182,63742,44371,6132,4710,8338,488,154,0,0,62125,44277,5909,5254,5978,382,115,4787,5133,193,188,0,75268,46877,7974,7039,12517,1128,169,75268,46877,7974,5790,10856,75,44,409,3243,62612,44128,6206,5631,5981,423,165,0,0,0,0,0,62570,42627,6864,6180,6107,481,50,5529,5188,211,50,61903,41576,6585,6766,6197,539,6,5874,5182,93,6,35771,25619,9799,38125,26203,11922,40653,30635,6693,26664,21170,5211,26485,20882,5577,26438,20749,5657,34777,28243,5396,35680,27864,6859,40014,32039,6912,39393,30794,8533,29832,22729,6887,29587,22780,6764,29589,22656,6867,37955,29566,7933,44747,34515,8794,44313,34493,9680
3,3,77505,40199,17647,11804,7992,1110,215,0,0,86586,43890,19176,13986,9736,922,115,0,0,86005,41145,20382,13606,10395,2060,251,86111,41179,20405,13622,10398,2060,251,87025,43808,19740,14571,9122,896,129,12535,7447,201,33,502,2761,85471,43793,18287,13997,9425,1153,196,63028,34438,13112,9240,6258,825,167,0,0,57795,35657,8030,8516,4973,414,24,8060,4418,203,255,0,68363,34382,14831,10671,8066,1579,182,68363,34382,14831,9225,6951,104,49,375,2446,58980,36259,8534,8883,4606,313,10,0,0,0,0,0,58731,35722,8707,8728,5045,184,15,8396,4300,4,15,57732,33818,9254,9203,4955,342,8,8862,4305,74,8,40620,30223,10065,42298,31363,10935,44311,34409,6898,30789,24961,5508,30598,24596,5954,30566,24576,5952,38227,31726,5410,42731,34438,7400,52282,43065,8175,52359,43091,9194,34891,27153,7450,34602,27243,7310,34646,27213,7371,43071,34391,8236,42599,32663,8564,42065,33167,8760
4,4,83202,28977,23113,21250,10134,1124,251,0,0,88495,28595,23446,26194,11780,730,161,0,0,88199,25482,26624,23495,12524,2536,183,88352,25508,26674,23534,12532,2537,183,86889,27484,23238,25567,11789,1161,161,22824,10161,19,27,444,2690,86961,27291,23725,24649,11751,1799,219,67535,25647,17266,16500,8218,848,185,0,0,48380,21824,6299,14135,5661,114,19,13508,4928,14,416,0,69346,22207,18842,18453,9759,1861,139,69346,22207,18842,16729,8385,87,17,429,2650,48224,21629,6466,14017,5568,93,26,0,0,0,0,0,50179,22608,6886,14356,5473,639,1,13523,4719,209,1,51820,21982,8558,14853,5721,571,6,13764,4859,108,6,30285,22789,7266,31212,23989,7223,31803,25041,5157,19199,15696,3342,19032,15499,3507,19019,15478,3522,26387,21932,3954,30246,24577,5195,40745,34066,6079,40623,34351,6244,21157,16034,4951,20888,16082,4783,20935,16054,4846,30422,24090,5981,29925,21501,7132,29294,22483,6691
5,5,73722,43634,11559,14275,4329,848,176,0,0,85038,51270,12386,15429,5690,895,133,0,0,88110,50243,14081,15607,7321,1917,241,88099,50215,14087,15605,7311,1916,239,86400,52186,11733,16016,5749,841,145,14311,4151,258,56,327,3378,87283,51070,11853,17954,6213,936,168,61770,38419,8711,11051,3569,697,148,0,0,62244,43156,4612,10213,3395,652,8,9690,2805,100,223,0,73075,43814,10246,12394,5770,1490,179,73075,43814,10246,11035,4468,94,39,396,2983,64164,44200,4813,10848,3682,596,23,0,0,0,0,0,66070,43792,5893,11686,3817,451,40,10997,3061,147,40,65873,42599,6343,11886,4120,509,29,11126,3384,153,29,39617,27936,11343,40916,28822,12094,44620,33169,8051,31958,24790,6862,31746,24431,7284,31770,24458,7276,39668,31829,6701,40650,31293,8390,44945,35378,8568,44462,34260,10124,35389,26520,8590,35065,26672,8363,35095,26588,8447,43467,33692,9349,50922,39718,9754,50453,39601,10716
6,6,81063,61361,3804,1900,13745,360,100,0,0,80305,56978,3697,1913,17317,464,46,0,0,84614,55403,4890,2485,20415,786,150,84634,55421,4890,2485,20415,786,150,80798,56730,3707,1853,18099,424,40,1273,15682,14,0,395,2994,81986,55029,4080,1833,19692,843,88,58846,45358,2508,1320,9445,218,73,0,0,54873,41955,1922,1168,9593,154,0,1094,9045,45,103,0,62980,43026,3212,1716,13979,518,98,62980,43026,3212,1274,12793,39,19,378,2239,55810,42100,2157,991,10452,90,0,0,0,0,0,0,56550,40976,2421,1248,11544,215,4,1099,10743,18,4,55572,39588,2652,1297,11734,199,7,946,11004,15,7,44693,24603,19783,44212,22808,21404,45466,26650,15385,35198,21880,13096,35058,21487,13546,35060,21366,13657,41804,27371,13496,43024,26482,15619,42378,26594,14709,41817,25389,16379,43657,26386,17111,43324,26524,16753,43335,26357,16905,46393,29030,16825,53937,34723,17197,53576,34583,18842
7,7,80861,53893,8749,7163,10902,683,139,0,0,83314,54686,9527,8483,11521,560,178,0,0,85611,53058,10319,8258,12992,1335,200,85669,53089,10326,8263,12995,1335,200,83662,53148,9993,8716,12540,706,196,6243,9890,87,0,245,4058,84907,53204,10437,8522,12857,861,155,62174,43244,6035,4911,7803,452,89,0,0,59286,43123,4534,4443,6718,130,0,4265,6011,39,365,0,68522,44427,7355,5931,9891,982,147,68522,44427,7355,4916,8574,66,30,399,2755,59135,42239,4753,5094,6455,242,0,0,0,0,0,0,61119,43140,4833,5168,7458,282,4,4591,6570,12,4,62690,42539,5945,5350,8405,349,4,4374,7355,20,4,43784,27816,15621,44486,27599,16887,46365,30571,12399,33492,23943,9181,33322,23675,9603,33313,23619,9656,42235,30871,10413,44276,31049,12253,48465,34634,12642,47748,33830,13871,40613,28132,12202,40362,28293,12034,40374,28189,12141,47048,33313,13178,52886,37372,13765,52345,37649,14546
8,8,80806,37460,13547,7497,22339,700,151,0,0,87606,34763,15909,9502,27373,634,203,0,0,87271,32910,16254,9106,28478,1419,162,87350,32929,16279,9112,28489,1419,162,85898,35208,15794,7396,26908,633,200,6008,24133,220,102,417,4020,86267,34614,18043,7706,25204,512,210,59028,28491,9507,5353,15630,469,100,0,0,48663,27104,4752,5223,11055,396,44,4865,10528,184,108,0,65624,26768,10950,6697,20719,1014,114,65624,26768,10950,5884,19680,58,17,291,1976,48808,27689,5040,4310,11235,455,39,0,0,0,0,0,50615,27984,6352,4076,11794,232,60,3691,10703,74,60,52852,28389,5831,4955,13128,247,51,4630,11963,53,51,35207,21948,13000,36380,22569,13811,38458,25264,10631,25446,17666,7478,25324,17456,7835,25297,17425,7839,33942,24730,8505,35971,24992,10251,43018,30863,11282,42485,30508,11914,29171,19233,9714,28944,19352,9552,28966,19184,9728,37748,26005,11290,41772,27622,12628,41175,28418,12610
9,9,81287,44716,10545,6537,19447,611,228,0,0,84256,39634,13109,6799,25746,570,120,0,0,86519,37106,13040,8003,27813,1266,185,86572,37121,13046,8003,27824,1266,185,86219,39036,14070,6105,27729,580,114,4655,25122,55,17,229,3033,86518,37837,13190,5741,29363,1000,228,60153,34466,7199,4461,13889,431,149,0,0,53340,31028,5145,3227,13439,271,10,2813,12728,35,228,0,66392,30173,9059,5676,20870,923,124,66392,30173,9059,4824,19390,93,44,358,2451,54778,30392,6028,3160,14676,206,10,0,0,0,0,0,56277,29795,5683,3722,16507,296,25,3396,15493,54,25,57513,29579,6455,4601,16329,452,25,4305,15482,156,25,40768,22945,17506,39453,22176,17277,43019,25996,13972,27118,17166,9635,27013,16920,10070,26998,16961,10016,36746,24687,11249,40129,25847,13457,48178,32407,14814,48300,32950,15301,32495,19468,12828,32251,19641,12575,32278,19516,12712,41744,26627,14665,45040,27267,16175,44444,28021,16281
