ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADD-1,7630,6746,231,161,442,73,7,0,0,7742,6464,414,359,560,41,0,0,0,8239,6723,435,314,581,185,15,7794,6464,393,384,586,174,0,172,437,11,0,314,8333,6827,326,364,722,213,0,6532,5746,207,129,405,54,4,0,0,6381,5581,264,187,301,27,0,140,235,8,0,18,0,7185,5866,384,267,522,133,11,7185,5866,384,176,397,15,4,324,6459,5564,266,230,320,117,0,0,0,0,0,6843,5892,247,172,450,92,0,84,321,4,0,6893,5914,305,156,418,102,0,68,270,5,0,3157,2496,616,3288,2409,535,3252,2391,717,3276,1987,1212,3114,2415,593,3180,2077,1055,3130,0,474,3144,1747,1304,3050,2507,454,3090,0,772,3502,2487,882,3899,3132,659,3847,1464,2289,3673,2924,591,3439,0,0,3773,2500,1139,3703,2805,617,3667,2642,752,3964,3040,777,3896,2953,793,3830,1305,2397,3704,2655,893,3672,2745,923,3741,2319,1278,3694,2691,998,3719,2588,1119,3806,2875,728
2,ADD-2,4173,4044,43,21,32,40,3,0,0,4042,3839,52,46,26,89,3,0,0,4329,3979,84,36,68,107,12,4009,3775,83,42,35,67,10,11,26,39,8,68,4123,3868,111,47,82,41,18,3306,3216,32,9,18,35,1,0,0,3285,3144,30,7,21,85,0,7,17,37,0,7,0,3530,3281,62,15,51,74,11,3530,3281,62,8,27,6,4,133,3282,3155,26,4,27,60,0,0,0,0,0,3347,3213,68,10,36,29,0,2,27,14,0,3387,3256,98,19,5,14,0,9,5,0,0,2360,1633,670,2242,1336,632,2244,1442,707,2249,1000,1197,2133,1477,592,2192,1199,956,1970,0,499,1977,819,1088,1931,1421,458,1969,0,712,2299,1399,807,2563,1722,743,2555,743,1735,2459,1752,615,2249,0,0,2517,1394,1045,2464,1594,682,2422,1514,744,2684,1776,818,2662,1733,822,2650,618,1956,2556,1507,921,2542,1580,961,2599,1299,1209,2542,1539,1002,2579,1490,1087,2591,1648,770
3,ADD-3,8469,8003,179,147,81,100,6,0,0,8389,8103,110,24,71,39,38,0,0,8144,7490,229,86,89,198,15,8339,8049,111,29,46,47,36,20,19,27,8,90,8082,7680,175,54,36,44,13,6603,6272,143,89,54,71,3,0,0,6862,6700,69,8,45,33,15,8,9,23,15,4,0,6785,6277,178,73,58,154,6,6785,6277,178,39,29,21,1,220,6853,6697,83,28,19,39,10,0,0,0,0,6662,6487,85,44,22,27,4,40,4,8,4,6614,6344,146,59,14,59,0,55,0,0,0,4478,2775,1631,4568,2442,1485,4597,2667,1758,4631,1706,2812,4495,2995,1404,4544,2110,2369,4047,0,1259,4078,1440,2518,4015,2764,1148,4069,0,1863,4762,2661,1908,5260,3362,1722,5234,1264,3844,5090,3474,1419,4748,0,0,5186,2500,2536,5101,3155,1562,5050,2856,1781,5378,3361,1776,5341,3243,1881,5347,1076,4115,5144,2883,2048,5099,3025,2062,5242,2320,2785,5112,2875,2227,5167,2904,2256,5190,3108,1701
4,ADD-4,8914,8613,87,45,73,99,0,0,0,9158,8766,126,146,113,62,0,0,0,8940,8205,186,72,83,239,4,9135,8778,142,103,106,57,0,21,73,0,0,121,9241,8842,159,79,37,92,0,6837,6651,52,23,37,72,0,0,0,7058,6864,53,48,68,34,0,44,43,0,0,0,0,7180,6656,124,34,61,190,1,7180,6656,124,20,38,7,0,307,7200,7010,52,28,76,34,0,0,0,0,0,7365,7175,67,16,30,78,0,12,12,0,0,7390,7062,133,44,57,94,0,44,26,0,0,4936,3454,1394,4850,2774,1362,4830,2976,1591,4858,2213,2515,4686,3241,1277,4778,2608,2079,4355,0,1117,4379,1872,2347,4284,3113,1042,4363,0,1644,5081,3031,1802,5630,3801,1630,5601,1622,3823,5400,3815,1335,5021,0,0,5517,2946,2333,5424,3443,1466,5372,3208,1632,5830,3788,1821,5771,3690,1827,5744,1396,4163,5539,3250,2015,5512,3405,2103,5648,2712,2752,5526,3292,2230,5568,3339,2225,5593,3519,1670
5,ADD-5,4074,3837,93,44,71,31,4,0,0,4184,3850,51,130,134,29,0,0,0,4147,3791,138,61,52,78,2,4101,3725,35,167,162,19,0,145,143,5,0,52,4044,3631,57,130,152,47,0,3240,3063,72,23,56,27,3,0,0,3384,3230,22,34,73,23,0,25,53,15,0,5,0,3469,3187,109,46,36,54,2,3469,3187,109,32,29,5,0,100,3303,3189,21,59,43,12,0,0,0,0,0,3380,3201,39,64,43,38,0,35,36,4,0,3400,3189,109,31,36,35,0,7,37,0,0,2366,1585,721,2281,1380,637,2312,1413,800,2319,1033,1242,2200,1532,626,2256,1139,1077,2084,0,551,2123,838,1221,2053,1506,495,2092,0,869,2355,1403,865,2618,1776,753,2599,680,1853,2483,1744,650,2324,0,0,2561,1372,1106,2502,1609,708,2472,1490,790,2646,1725,812,2605,1633,880,2615,602,1931,2525,1487,949,2506,1557,943,2554,1204,1274,2520,1487,1028,2528,1434,1093,2539,1593,792
6,ADD-RUT,4200,4060,56,30,18,37,1,0,0,3875,3635,98,24,37,57,0,0,0,4184,3826,100,49,36,83,2,4071,3794,139,16,28,60,3,2,27,23,2,63,4314,4012,133,16,18,92,6,3314,3221,42,16,10,28,1,0,0,3045,2941,19,11,35,38,0,7,35,22,0,3,0,3408,3144,78,32,26,60,2,3408,3144,78,19,19,9,0,122,3098,2990,24,8,23,57,0,0,0,0,0,3378,3277,40,2,10,45,0,2,11,12,0,3477,3353,68,6,6,39,0,5,6,0,0,2284,1449,781,2203,1072,848,2196,1177,921,2211,756,1394,2098,1275,761,2164,939,1176,1927,0,704,1964,566,1259,1906,1171,671,1941,0,977,2257,1132,1018,2527,1409,1017,2503,529,1858,2379,1463,784,2188,0,0,2462,1052,1317,2384,1314,847,2370,1213,958,2563,1411,1066,2530,1341,1080,2545,445,1973,2421,1148,1111,2406,1263,1139,2479,969,1427,2404,1179,1220,2441,1167,1272,2419,1288,931
7,BEN-1,4628,4508,44,27,19,33,4,0,0,4688,4628,0,0,9,46,0,0,0,4413,4159,58,36,21,99,1,4673,4570,17,8,9,66,0,0,9,21,0,57,4477,4352,12,20,25,32,0,3647,3558,31,14,13,29,1,0,0,3694,3655,0,0,4,37,0,0,4,8,0,0,0,3597,3411,50,13,17,75,1,3597,3411,50,10,16,12,0,96,3708,3630,15,10,4,54,0,0,0,0,0,3583,3505,10,14,19,32,0,0,19,14,0,3785,3658,90,20,10,15,0,0,6,0,0,2463,1524,876,2244,1023,995,2210,1202,749,2216,975,1123,2056,948,808,2100,1036,938,1783,0,537,1764,680,890,1736,852,680,1747,0,800,2229,1070,994,2519,1227,1215,2445,625,1463,2331,1137,1064,2030,0,0,2406,1042,1208,2366,1083,1033,2350,1037,1067,2603,1166,1372,2528,1197,1138,2526,439,1708,2425,1005,1260,2386,1051,1330,2430,941,1366,2405,1058,1345,2394,1064,1325,2394,1095,1016
8,BEN-2,8326,7856,139,159,125,46,11,0,0,8225,7340,320,303,95,74,71,0,0,8078,7071,260,256,197,215,13,8007,7196,307,264,106,74,30,107,73,50,18,215,8485,7632,304,200,140,112,11,6651,6328,87,99,86,39,9,0,0,6679,6121,177,233,36,50,58,202,36,16,58,4,0,6486,5780,176,154,153,158,10,6486,5780,176,99,125,14,1,269,6395,5939,156,159,28,72,18,0,0,0,0,6654,6261,167,95,38,72,3,76,24,0,3,6267,5858,92,83,119,91,4,67,82,13,4,3524,2491,953,3173,1832,1011,3163,2012,863,3167,1690,1338,2998,1646,881,3036,1776,1133,2645,0,610,2640,1255,1144,2569,1598,656,2583,0,898,3271,1905,1128,3683,2306,1241,3597,1176,1941,3375,2066,1065,3052,0,0,3511,2005,1280,3400,1957,1045,3366,1881,1086,3644,2236,1283,3540,2227,1045,3547,830,2305,3392,1972,1174,3297,1983,1309,3382,1724,1435,3377,2049,1323,3364,2035,1326,3401,2073,921
9,BEN-3,3931,3781,47,38,39,30,1,0,0,3788,3724,33,13,5,41,0,0,0,4029,3738,85,49,45,58,1,3830,3727,56,11,22,46,0,1,10,0,0,33,4106,3887,109,3,14,70,0,3115,3026,36,18,17,21,1,0,0,2874,2825,35,1,0,9,0,1,0,0,0,0,0,3240,3029,66,26,23,51,1,3240,3029,66,15,18,6,0,103,2911,2844,49,0,8,0,0,0,0,0,0,3107,2971,80,0,6,45,0,1,0,0,0,3010,2826,100,23,4,32,0,23,2,0,0,2261,1415,791,1982,1042,721,1976,1126,697,1981,887,1039,1878,937,719,1909,988,867,1770,0,449,1742,700,897,1693,964,551,1725,0,706,2152,1171,849,2479,1501,911,2448,716,1498,2319,1377,836,2112,0,0,2397,1251,1050,2341,1339,800,2324,1242,867,2484,1451,961,2449,1413,849,2445,488,1736,2334,1286,927,2309,1283,1026,2362,1118,1130,2337,1301,1036,2349,1319,1030,2360,1370,772
