ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ADD,39922,37623,727,475,756,425,20,0,0,39996,37097,900,767,971,344,41,0,0,40425,36256,1214,635,956,969,54,39941,36960,932,781,986,447,49,380,735,107,18,768,40576,37135,983,733,1133,551,37,31740,29988,573,303,599,322,11,0,0,32112,30474,495,302,559,257,15,231,408,108,15,37,0,33547,30257,966,472,789,733,37,33547,30257,966,295,555,70,10,1275,32320,30665,496,377,518,341,10,0,0,0,0,33115,31230,566,331,687,338,4,179,474,50,4,33413,31204,887,320,670,342,0,188,436,5,0,21110,14585,6107,20913,12408,5691,20910,13191,6751,21023,9619,10892,20153,14137,5409,20565,11098,9092,18902,0,4773,19046,8021,10343,18582,13611,4438,18883,0,7141,21791,13209,7640,24159,16540,6787,23990,6906,16412,23074,16465,5639,21449,0,0,23634,12839,9943,23167,15113,6128,22925,14039,6918,24709,16374,7342,24433,15932,7530,24346,5918,17629,23445,14078,8263,23255,14706,8515,23844,11733,11335,23344,14233,9083,23554,14123,9403,23723,15277,6854
2,BEN,40987,39262,572,473,407,306,27,0,0,39399,37099,819,588,495,325,213,0,0,41967,38151,1065,780,654,887,39,39542,36984,891,691,580,345,161,287,362,107,56,768,41474,38327,1045,695,689,384,102,32652,31515,377,275,265,228,18,0,0,31628,30213,532,340,235,206,100,276,196,34,100,8,0,34001,31275,725,491,478,652,31,34001,31275,725,320,347,65,6,1156,31847,30233,584,423,285,226,55,0,0,0,0,33428,31627,754,388,318,263,25,286,167,34,25,33509,31549,837,412,391,285,4,273,196,13,4,21397,14019,6926,19495,10712,6616,19342,11441,6227,19419,9102,9619,18237,9563,6590,18556,9687,8182,16474,0,4405,16438,6867,8271,15945,9566,4865,16128,0,6206,20235,11288,7647,22926,14357,7869,22437,6594,13634,21142,12703,7186,19089,0,0,21918,11591,9117,21368,12115,7042,21163,11407,7559,23215,13933,8523,22680,13307,7398,22667,4787,15806,21702,12087,8245,21213,11999,9187,21716,10512,10053,21558,12306,9225,21558,12296,9237,21729,12952,6736
3,CAL,22901,21963,224,208,189,315,7,0,0,22281,21097,355,306,289,256,98,0,0,22630,20456,488,316,429,658,26,22022,20736,362,235,311,270,87,140,96,42,22,455,22731,21058,431,347,403,407,131,17769,17153,158,105,107,249,6,0,0,17729,17002,242,146,112,201,10,127,67,82,10,37,0,18016,16503,345,182,259,487,18,18016,16503,345,115,212,70,9,697,17541,16854,221,100,133,211,4,0,0,0,0,18072,17209,241,152,187,276,0,136,93,46,0,18371,17447,250,122,290,230,0,105,71,21,0,11407,6946,4173,10960,5232,4155,10968,5895,4466,11069,3754,6942,10641,5723,4579,10807,4719,5632,9055,0,3196,9112,3163,5594,8928,5354,3321,9046,0,4288,11142,5640,4920,12431,7151,4813,12298,2804,8884,11776,7103,4133,10903,0,0,12117,5561,6051,11844,6492,4283,11754,6261,4478,12717,7094,5057,12512,7059,4769,12558,2195,9746,12039,5936,5540,11879,6291,5574,12283,4723,7109,12030,6301,5713,12012,6353,5644,12053,6550,4271
4,CHI-C,60468,53003,1432,2700,2927,598,66,0,0,63111,51696,1963,3801,5320,674,63,0,0,65305,52367,2244,4013,5102,1298,75,63792,52686,2097,3271,5411,452,66,2594,3938,32,7,2252,66181,55226,2113,3446,5026,373,40,50529,45348,1096,1562,2142,461,56,0,0,50417,45087,1490,1691,1676,398,16,1480,1453,63,16,74,0,55955,46354,1794,2532,3931,1019,57,55955,46354,1794,1993,3356,104,15,2119,51485,46144,1680,1625,1700,254,4,0,0,0,0,54777,48448,1709,1922,2376,200,0,1666,1702,8,0,55873,47939,1869,2439,3207,304,0,2024,2309,14,0,29184,22291,6401,27466,19014,4880,27041,19692,5701,27190,15998,10400,25860,20591,4318,26420,17204,8555,25712,0,4114,25826,14211,10613,25128,20698,3511,25428,0,6633,29356,20630,7243,32916,26379,5487,32337,12728,18736,30777,24363,4486,28592,0,0,31589,20087,9207,30777,22741,4819,30412,20289,5814,30356,23802,5154,29765,23513,4953,29430,10805,17338,28067,20670,5948,27560,21545,5968,28354,17996,8813,27406,21314,6052,28013,21874,6102,28706,22515,4405
5,CHI-N,20709,19849,191,218,271,188,14,0,0,21882,21108,104,299,250,177,0,0,0,22073,20000,406,411,459,577,15,21876,20985,150,285,345,96,0,248,94,62,0,334,22230,20752,240,424,526,258,16,15449,14935,117,96,157,149,8,0,0,16714,16281,78,100,137,82,0,86,52,67,0,23,0,17327,15919,271,211,327,429,14,17327,15919,271,135,212,51,5,680,16803,16267,136,126,193,78,0,0,0,0,0,17309,16474,201,193,283,168,0,168,158,19,0,17661,16489,288,365,340,147,0,237,207,0,0,10650,6416,4053,11108,5466,4097,11077,6271,4397,11184,3761,7168,10770,7228,3274,10941,4680,6079,9698,0,3518,9781,2893,6591,9580,6361,2992,9762,0,5762,11838,6079,5253,13369,7891,5016,13241,2439,10405,12732,8282,4011,11395,0,0,13022,5490,7038,12614,7216,4252,12582,5686,5653,13630,7887,5257,13441,7658,5307,13484,2060,10990,12858,6588,5782,12667,6918,5727,13120,5361,7395,12738,6569,6151,12845,6969,5841,12876,7159,4771
6,CHI-SE,63770,59195,1058,1199,1940,491,48,0,0,66493,61069,1411,988,2468,548,74,0,0,69199,60244,1863,1951,3076,1206,69,66534,60364,1310,1522,2599,705,41,1093,1842,160,37,1658,68624,61019,1593,1531,3222,1083,95,49756,46781,712,660,1293,353,29,0,0,51317,48381,678,503,1246,375,67,416,1069,173,67,57,0,55634,49426,1294,1195,2166,887,46,55634,49426,1294,873,1781,68,20,1904,51380,48167,701,565,1408,464,35,0,0,0,0,53313,49381,1025,660,1576,621,49,441,1298,77,49,53954,49757,1152,613,1737,619,24,407,1425,101,24,37430,26918,9982,39375,26798,8262,39244,27577,10114,39340,20600,17967,37682,29230,7619,38219,22635,14947,35375,0,7637,35609,16169,18495,34745,27729,6221,35202,0,11512,41301,27594,12212,45900,35711,8938,45378,13621,30965,43185,34249,7494,39366,0,0,44410,26849,15835,43121,32136,8172,42464,28546,10314,45850,35567,8690,45026,33583,9868,44959,11751,32014,42746,30623,10839,41918,30847,10982,43219,24511,17211,42261,30601,11590,42828,31533,11232,43510,32964,8307
7,ESX,23358,22330,269,213,243,316,16,0,0,22163,21041,356,227,145,358,13,0,0,22290,20575,334,301,251,703,35,22264,21095,318,247,189,384,23,112,72,29,7,623,22748,21618,292,290,66,364,5,18707,17991,185,139,148,253,11,0,0,17728,16899,276,171,89,287,10,107,65,41,10,2,0,18256,17006,233,175,176,533,21,18256,17006,233,92,104,85,5,684,17942,17121,247,173,110,273,4,0,0,0,0,18682,17893,252,207,32,289,4,138,18,63,4,18883,17890,257,298,105,326,0,250,101,102,0,10396,6113,4033,9614,3759,4475,9544,4550,4366,9581,2544,6680,9188,4757,4088,9352,3534,5560,7690,0,3276,7794,2016,5401,7597,4140,3248,7709,0,4291,9810,4221,5047,11173,5313,5503,10930,1936,8348,10501,5635,4361,9578,0,0,10811,3883,6526,10553,4878,4633,10496,4644,4830,11738,5258,5998,11484,5346,5458,11529,1369,9527,11087,4479,6105,10925,4757,6160,11306,3320,7725,11027,4567,6455,11048,4785,6259,11028,4790,4537
8,FRA,42981,40619,499,360,290,1260,30,0,0,44096,41113,769,597,472,1332,2,0,0,44508,40229,809,583,483,2061,47,44249,41174,784,625,514,1311,3,193,369,208,0,1500,44750,41292,838,734,532,1244,36,32477,30947,294,175,182,885,22,0,0,34170,32250,432,276,279,921,0,212,229,268,0,12,0,34828,31795,552,342,295,1531,40,34828,31795,552,226,210,377,12,1585,34355,32435,456,308,283,856,0,0,0,0,0,34910,32770,618,384,241,881,15,114,162,121,15,34863,32912,575,286,200,855,0,71,93,106,0,18933,11570,7006,18575,8022,7733,18604,10348,7398,18662,5400,12757,18141,11622,6028,18430,5995,12169,15670,0,5927,15745,4006,11093,15458,9828,5201,15675,0,9208,19665,9314,9371,22333,11570,9975,22174,3509,17475,21373,12871,7739,19937,0,0,21819,7874,12743,21382,10046,7906,21445,7527,12450,23140,11194,11141,22828,11234,10617,22936,2677,19126,22017,9631,11451,21759,10081,11645,22487,7700,14226,21909,9399,12477,22030,10090,11912,21976,10291,9546
9,GI,18893,17820,275,266,361,203,22,0,0,19123,17688,436,351,333,272,18,0,0,19984,17859,401,427,631,494,30,19345,17428,529,330,646,356,25,271,293,92,0,658,19949,17628,519,611,830,410,0,15161,14366,198,173,279,152,13,0,0,15037,14091,381,123,187,261,0,122,162,44,0,0,0,16180,14697,280,266,413,390,28,16180,14697,280,179,340,30,9,618,15187,14067,434,127,234,340,0,0,0,0,0,15586,14402,398,212,328,242,0,169,233,104,0,16016,14978,367,157,252,227,0,102,139,65,0,10200,6572,3473,9814,5525,3165,9884,6064,3397,9926,3851,5842,9564,6922,2405,9667,4595,4924,8629,0,2687,8689,2909,5512,8535,6194,2141,8644,0,4112,10635,6026,4203,12093,7936,3804,11990,2541,9190,11531,8184,2968,10546,0,0,11797,5706,5735,11505,7553,3143,11336,6309,3911,13121,8527,4146,12886,8214,4255,12957,2306,10284,12338,7303,4648,12175,7450,4703,12594,5896,6329,12231,7236,4982,12339,7647,4675,12429,7922,3708
