ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,14,9,2,2,0,0,0,0,0,17,10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,1,1,0,0,0,0,0,11,10,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,56691,54248,1236,408,316,582,30,0,0,57117,54028,1549,551,403,652,5,0,0,59444,54811,2138,575,473,1061,57,57232,53990,1619,579,407,725,4,267,283,350,0,41,682,59589,55785,1923,655,488,738,1,44731,43298,697,199,187,385,19,0,0,45639,44056,532,331,204,465,0,258,146,266,20,0,48427,45478,1306,310,307,693,38,48427,45478,1306,161,209,171,6,99,997,45895,44310,568,292,212,505,0,0,0,0,0,0,47875,46140,774,284,252,464,0,155,187,194,0,48238,46201,859,327,293,510,4,115,253,125,4,33303,18600,14105,33354,16692,16662,33537,13390,18379,33457,13103,19235,31099,15752,15322,31211,13440,17283,30915,13476,16925,30586,14264,16298,30380,13601,15993,32774,14107,18078,38112,15986,21548,32970,14455,18177,32117,13428,18637,32080,14156,17566,31907,14186,17713,31792,13381,17460,31517,12986,17862,30683,580,22030,35324,15150,19913,39529,16597,22428,39249,16773,21736,38731,17021,21683
2,2,55090,52400,1116,472,678,496,36,0,0,58282,54526,1854,403,987,625,54,0,0,59983,54831,1974,796,1013,1056,40,58607,54266,1797,354,1608,634,31,94,1202,192,0,30,1043,60509,54249,2320,780,2146,846,0,40373,38917,598,176,397,293,16,0,0,42927,41182,790,197,394,350,0,112,336,147,36,0,45212,42112,1144,408,580,732,16,45212,42112,1144,267,475,182,5,117,910,43534,41415,815,161,761,411,0,0,0,0,0,0,45017,42380,915,315,934,453,0,184,876,148,0,45886,42716,1179,389,1039,512,0,210,978,147,0,29228,15283,13387,29987,13620,16367,30829,10953,17929,30548,10648,18810,27207,12376,14814,27377,10322,16554,27026,10419,16143,26695,11359,15325,26545,10617,15124,29422,11253,17526,35758,13479,21679,29941,11704,17846,28904,10779,18096,28998,11338,17320,28649,11421,17221,28538,10617,16892,28351,10206,17336,26462,103,21035,32937,12599,20011,37971,14233,23163,37706,14251,22541,36863,14053,22791
3,3,55871,51985,1806,469,1210,473,30,0,0,56831,52020,2327,613,1358,556,1,0,0,59173,52325,3143,820,1605,1017,60,56931,51958,2348,768,1453,533,35,467,1193,269,9,101,582,59199,53314,2692,911,1562,603,37,40945,38791,970,197,694,312,20,0,0,42693,40305,967,251,815,310,4,200,776,224,51,0,44983,40857,1843,404,989,667,39,44983,40857,1843,260,866,154,25,77,901,43006,40558,998,320,838,333,14,0,0,0,0,0,44882,42341,1127,412,696,323,8,316,580,148,8,45634,42520,1473,436,832,323,0,290,711,85,0,30186,14915,14708,29777,12984,16793,30370,10658,17889,30354,10232,19054,26843,11948,14893,26990,9921,16625,26719,10012,16253,26443,10883,15559,26284,10105,15471,29181,10936,17655,34938,13222,21163,29420,11319,17766,28414,10352,18021,28496,10866,17330,28222,10940,17272,28153,10263,16950,27948,9814,17457,25731,0,20903,32245,12251,19719,37256,14094,22606,36994,14023,22120,36225,13707,22500
4,4,54675,51764,913,583,537,1015,32,0,0,58182,54285,1277,753,834,1312,7,0,0,60096,54281,1592,899,1021,2000,28,58888,54865,1580,801,574,1349,26,476,384,687,0,20,878,60187,55079,1632,1140,780,1420,32,40731,39126,478,255,298,618,20,0,0,44377,42232,503,467,364,838,0,439,302,589,3,0,46280,42682,915,446,613,1318,17,46280,42682,915,299,483,632,5,74,1190,45198,43246,591,354,256,788,0,0,0,0,0,0,46412,43754,807,537,490,815,0,515,376,444,0,47805,44698,1055,661,451,886,0,560,310,395,0,28240,13902,13957,29762,12906,16856,31360,10234,19480,30918,10094,19785,27751,11964,15759,27885,10252,17177,27586,10201,16872,27339,10981,16341,27284,10329,16199,30346,10983,18762,36226,12837,22870,30663,11187,19115,29813,10376,19373,29852,10997,18486,29610,10884,18708,29494,10230,18194,29313,9853,18709,28407,188,21710,33587,11971,21306,38406,13385,24534,38078,13495,23802,37400,13616,23769
5,5,50301,44452,1248,502,586,3863,48,0,0,56233,48907,1490,604,1287,4016,8,0,0,59076,50079,2019,915,1370,4760,66,57453,49580,1689,924,1327,3993,18,503,1097,2994,0,100,1480,59053,50886,2120,699,1421,3772,234,37000,33408,651,206,347,2497,28,0,0,42293,38003,936,298,472,2620,0,145,332,2197,8,0,44923,39114,1192,469,861,3234,42,44923,39114,1192,291,730,2335,11,65,1185,43531,39060,913,538,424,2657,0,0,0,0,0,0,45390,40558,1022,502,638,2496,0,418,466,1810,0,45803,40628,1282,685,932,2174,0,457,793,1582,0,26003,14164,11383,26969,12585,14384,27926,10068,16123,27727,9884,16887,24729,11270,13451,24832,9580,14780,24620,9568,14601,24292,10379,13910,24122,9832,13588,27363,10672,16081,33978,13241,20157,27768,11075,16344,26870,10332,16529,26970,10888,15812,26664,10744,15919,26634,9994,15670,26407,9717,16033,25204,108,19025,31062,12225,18549,36365,14079,21775,36052,14093,21065,35461,14209,21246
6,6,59201,50042,1283,300,319,7668,28,0,0,58923,48896,1557,373,529,8046,26,0,0,59188,47803,1715,509,372,8781,53,59063,48594,1852,354,515,8212,36,175,284,6372,15,38,1735,59261,48732,1871,821,438,7990,37,44780,38948,704,137,189,4953,16,0,0,44991,38771,633,193,307,5070,4,139,191,4569,33,0,45850,38459,1005,265,232,5753,39,45850,38459,1005,107,163,4694,8,78,1336,45091,38627,803,207,261,5153,0,0,0,0,0,0,45757,39327,944,268,238,4980,0,200,193,4169,0,45704,39367,822,232,209,5030,11,165,110,4026,11,28000,14566,12874,28020,12984,15036,27920,8953,17548,27537,8798,17659,24845,10634,14201,25076,9027,15588,24730,8727,15500,24471,9369,15099,24480,8868,14955,26685,9356,16823,32041,10742,20865,26720,9391,17074,25606,8433,17152,25670,8965,16378,25474,9000,16473,25428,8253,16243,25261,8070,16562,24349,210,18906,29095,9933,18928,33624,11186,22016,33316,11409,20973,32748,11493,21232
7,7,57812,43842,8431,2917,2113,1127,77,0,0,60523,39228,12842,5244,3182,1166,147,0,0,59100,35020,14355,5140,3836,1882,86,59723,38729,12811,4675,3398,991,102,2781,2755,360,5,128,2153,59227,34792,14722,5663,4374,1026,119,45764,36908,5166,1804,1423,734,50,0,0,43439,32861,5869,2874,1159,568,0,2556,1035,329,134,0,46041,30230,9214,3287,2513,1327,63,46041,30230,9214,2434,2165,360,18,160,1460,43527,32940,6136,2543,1436,531,0,0,0,0,0,0,43086,30345,7060,3386,1868,426,15,3071,1515,187,15,42476,28839,8158,2812,2195,372,32,2339,1917,191,32,29144,16106,12636,29059,16231,12828,26934,14123,10980,26553,13925,11816,23527,14545,8923,23694,13175,9953,23361,12867,9947,22977,13948,9004,22832,13321,8902,25363,14170,10526,28347,16347,11519,23566,13759,9426,21096,12365,8680,21083,12699,8120,20863,12515,8325,20758,11974,7878,20614,11900,8200,20828,11901,8496,24700,14426,9960,28968,16249,12040,28437,16417,11151,27714,15801,11144
8,8,63028,10843,44046,7594,1369,1732,121,0,0,57984,10561,39713,6241,1800,1370,81,0,0,59362,9100,41209,7300,2516,2614,95,58829,10212,41306,5625,2073,1259,80,4210,1850,313,4,25,916,58026,9635,40426,6561,1816,1386,30,41026,9378,26880,4116,864,1073,74,0,0,28393,9316,14826,3382,461,417,0,3244,416,266,22,0,40439,8022,26651,4457,1513,1742,68,40439,8022,26651,3185,1358,302,20,122,779,27689,8603,15242,2772,526,311,0,0,0,0,0,0,28155,7899,15747,3512,477,293,0,3090,386,188,0,28599,8252,15288,3968,539,386,5,3476,437,209,5,12894,10409,2334,14831,12728,2103,13356,10729,2029,12745,9902,2415,10782,9211,1560,10833,8773,1763,10643,8692,1696,10460,8773,1673,10537,8759,1533,11944,9639,2036,13588,10556,2788,10284,8317,1832,8094,6503,1569,8010,6504,1414,7962,6380,1572,7840,6034,1450,7839,6152,1525,7955,6267,1509,10705,8287,2294,13737,9903,3542,13292,9843,2988,12839,9450,2930
9,9,59026,21930,30101,4927,2353,1545,62,0,0,60097,18203,33650,5938,2568,1368,36,0,0,59571,14890,34572,6336,4099,2588,98,61587,18192,34576,6518,3688,1259,46,3921,2804,419,0,133,1535,60800,16898,33748,6961,4195,1519,36,41442,18762,18036,2976,1536,950,50,0,0,32960,15947,12239,3292,855,642,0,3026,833,365,73,0,42238,13084,22371,4049,2552,1779,72,42238,13084,22371,3097,2371,314,12,154,835,34080,15990,13562,2981,1075,555,0,0,0,0,0,0,34443,15216,13755,3325,1632,539,0,2978,1584,325,0,33536,13944,13925,3521,1761,328,0,3207,1557,121,0,19180,13181,5757,19711,14382,5329,18467,12770,4666,17973,12243,5095,15515,11831,3640,15576,11166,4066,15313,10871,4074,15070,11360,3683,15149,11207,3565,16929,12036,4484,18965,13305,5369,14951,10778,3962,12474,8934,3496,12362,9038,3184,12270,8869,3385,12156,8472,3132,12080,8533,3244,12304,8688,3320,15520,10886,4449,18993,12479,6077,18444,12723,5165,17912,12255,4974
