ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,20066,19498,188,191,106,98,11,0,0,19179,18333,255,392,147,141,0,0,0,18807,17580,233,274,142,304,17,19275,18302,332,363,158,208,1,202,111,6,1,0,322,18591,17511,270,330,159,184,107,16115,15738,118,100,81,81,6,0,0,15666,15053,184,245,77,126,0,171,77,4,0,0,15450,14608,150,159,113,231,5,15450,14608,150,117,79,13,0,19,464,15803,15156,154,204,108,144,4,0,0,0,0,0,15225,14559,158,193,78,112,105,112,45,0,105,15570,14991,144,183,70,56,82,73,42,6,82,8760,3439,5159,7948,2868,5080,8496,1937,6227,8302,3361,4188,8128,3246,4354,6860,3046,3501,8656,2407,6003,9345,2247,6971,9076,2093,6732,9142,2387,6272,8923,2769,6154,8882,2138,6569,8962,1994,6814,8849,1973,6703,8676,2043,6181,8459,2559,5900,8362,2198,6164,8443,1985,6458
2,2,19636,18334,179,933,113,100,15,0,0,18342,16948,283,830,120,154,61,0,0,18831,16720,320,1065,140,397,19,17965,16521,217,840,124,90,38,544,97,0,36,18,532,18094,16547,308,753,186,94,3,15612,14744,120,611,79,74,10,0,0,14645,13680,232,517,65,149,24,452,61,0,0,0,15171,13761,205,677,93,303,8,15171,13761,205,543,54,24,0,27,557,14278,13441,170,494,44,76,14,0,0,0,0,0,14485,13657,211,441,45,81,4,393,43,0,4,14393,13337,301,426,98,150,0,324,88,9,0,8145,3712,4284,7372,3200,4172,7875,2272,5245,7716,3598,3441,7555,3377,3733,6203,3087,2862,7926,2671,5044,8597,2658,5808,8372,2401,5751,8374,2599,5402,8221,3071,5150,7960,2477,5330,7947,2382,5446,7843,2313,5396,7677,2294,4936,7496,2891,4605,7400,2485,4915,7446,2313,5133
3,3,20262,19578,152,371,88,85,9,0,0,19438,18500,243,471,124,152,2,0,0,18817,17405,208,526,88,308,15,18848,17792,248,535,130,169,2,274,91,53,0,33,351,19426,18175,246,639,112,164,14,16676,16154,116,274,72,71,7,0,0,16002,15421,186,262,35,133,0,205,27,25,0,0,15644,14590,145,369,69,248,10,15644,14590,145,281,38,27,4,58,501,15624,14992,199,322,35,133,0,0,0,0,0,0,16127,15451,140,406,53,100,0,333,24,10,0,14968,14240,139,483,49,79,0,381,19,3,0,8066,3781,4117,6693,2911,3782,7637,2024,5227,7552,3682,3247,7410,3459,3539,6401,3339,2811,7806,2521,5055,8446,2385,5918,8247,2148,5853,8288,2396,5395,8060,2963,5097,7765,2304,5315,7747,2115,5492,7671,2284,5279,7471,2137,4901,7309,2858,4451,7146,2304,4842,7237,2064,5173
4,4,19187,18290,130,436,216,125,16,0,0,18292,17408,144,431,202,181,6,0,0,18830,17214,257,578,255,338,12,18343,17360,107,450,292,222,0,246,132,76,0,5,417,18501,17452,217,503,215,99,0,15174,14659,84,224,140,72,9,0,0,14387,13944,80,183,116,76,0,157,81,21,6,0,14985,13949,158,321,185,252,12,14985,13949,158,238,144,21,5,19,451,14361,13818,32,243,196,64,0,0,0,0,0,0,14684,14146,96,295,106,54,0,217,81,7,0,14502,13835,200,341,89,43,0,332,60,9,0,9406,3788,5472,9175,3149,6026,8724,2349,5767,8804,3924,4181,8714,3837,4403,7770,4086,3472,9224,3161,5823,9887,3180,6554,9763,2519,7075,9776,3138,6186,9578,3709,5869,9421,3207,6064,9452,3067,6210,9434,3539,5767,9247,3083,5679,9162,3954,5208,8885,3154,5731,8987,2866,6121
5,5,20037,17847,190,1640,230,153,16,0,0,18732,16643,223,1546,218,62,18,0,0,18794,15916,340,1734,259,393,25,18724,16529,258,1489,120,70,26,1246,34,21,0,102,539,18868,16555,200,1489,168,211,0,16408,14963,133,1033,180,117,8,0,0,15225,13857,115,1024,159,55,0,948,135,14,16,0,15240,13298,228,1121,199,279,15,15240,13298,228,907,147,22,5,43,590,15114,13933,104,943,70,45,0,0,0,0,0,0,14914,13637,108,895,131,120,0,693,56,13,0,14681,13490,133,812,130,112,0,605,32,5,0,8397,4094,4141,7252,3265,3987,7521,2741,4207,7533,3704,3070,7451,3812,3147,6534,3867,2418,7645,3360,4073,8079,3490,4454,7992,2927,4910,7994,3296,4355,7830,3818,4012,7450,3290,4035,7390,3149,4077,7364,3450,3794,7206,3038,3775,7155,3801,3354,6943,3191,3752,7003,2938,4065
6,6,20383,19768,191,224,99,105,9,0,0,20053,19262,252,222,122,141,92,0,0,18747,17518,244,289,143,358,17,20339,19499,268,279,116,205,0,106,64,57,0,1,345,19934,18670,254,266,176,141,65,16358,15955,130,123,72,74,8,0,0,16294,15889,91,103,40,69,90,68,10,45,0,0,15177,14315,170,174,108,274,13,15177,14315,170,105,79,10,3,13,482,16674,16250,158,113,24,114,0,0,0,0,0,0,16241,15683,192,180,59,58,64,72,10,8,64,15670,15257,118,70,14,205,12,39,10,6,12,9056,4045,4814,7988,3098,4890,8409,2099,5897,8358,4177,3567,8151,3950,3776,6973,3702,3005,8342,2704,5433,8860,2499,6225,8730,2076,6499,8717,2643,5660,8536,3251,5285,8339,2609,5587,8327,2361,5806,8285,2867,5285,8145,2535,5094,8050,3482,4568,7833,2669,5164,7890,2366,5524
7,7,20278,19882,121,98,104,77,8,0,0,18364,18018,70,205,26,23,0,0,0,18828,17718,214,265,103,327,24,17750,17476,57,127,50,17,0,120,45,0,0,29,22,17439,16878,73,130,47,144,26,15820,15550,94,48,65,63,6,0,0,14460,14196,61,160,20,24,0,160,20,0,4,0,15142,14319,163,178,64,255,16,15142,14319,163,138,38,28,4,40,412,13926,13696,54,120,45,19,0,0,0,0,0,0,14089,13720,58,120,29,136,26,120,29,4,26,13889,13394,120,78,91,209,5,78,86,0,5,8067,3354,4512,7282,2456,4826,7714,1513,5788,7672,3800,3307,7452,3428,3556,6148,3042,2806,7634,2088,5339,8242,1775,6350,8038,1565,6284,8070,2083,5647,7847,2740,5107,7757,1867,5743,7788,1538,6097,7709,1967,5600,7597,1893,5207,7453,2521,4932,7295,1868,5427,7372,1706,5666
8,8,20118,19664,101,164,58,141,5,0,0,20144,19452,80,211,224,179,0,0,0,18566,17594,139,267,64,381,8,19622,18917,110,153,269,155,0,119,108,32,0,15,321,18475,17398,303,240,50,307,0,15977,15653,62,117,46,112,3,0,0,16473,16029,55,182,24,181,0,153,14,62,4,0,15044,14316,92,192,40,291,3,15044,14316,92,171,25,34,0,18,388,16036,15638,85,129,23,151,0,0,0,0,0,0,15189,14592,169,214,50,186,0,190,0,49,0,14605,14009,122,236,85,136,0,191,0,13,0,7970,2604,5108,6888,1881,5007,7591,1163,6067,7621,3074,3998,7390,2732,4183,5908,2353,3242,7545,1622,5686,8215,1383,6683,8028,1330,6417,7934,1566,5914,7857,2203,5654,7574,1376,6043,7633,1176,6312,7502,1307,5926,7382,1435,5454,7214,1740,5474,7044,1420,5624,7165,1225,5940
9,9,21050,20585,129,159,28,147,1,0,0,20131,19467,291,144,21,90,66,0,0,18524,17646,164,196,62,384,9,19807,19114,225,190,71,93,36,68,38,1,0,57,304,18560,17888,229,135,77,204,50,16660,16336,73,119,17,105,0,0,0,16107,15729,169,29,20,89,0,21,0,1,65,0,14993,14329,100,147,36,311,9,14993,14329,100,101,24,30,7,18,384,15764,15442,113,49,23,94,0,0,0,0,0,0,14913,14519,138,71,12,127,0,63,8,24,0,14648,14247,146,50,40,136,0,50,40,17,0,8106,2564,5330,7428,1955,5473,8369,1276,6705,8380,3428,4444,8105,2647,5033,6572,2555,3722,8257,1669,6367,9010,1467,7427,8749,1389,7087,8661,1568,6697,8542,2161,6381,8376,1428,6791,8535,1336,7057,8366,1391,6727,8216,1515,6175,7921,1540,6381,7847,1553,6294,7982,1366,6616
