ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,109007,103152,884,3634,810,602,74,0,0,102722,96304,1186,3873,839,690,87,0,0,102975,93194,1432,4294,921,1901,100,101569,94731,1174,3802,864,772,67,2606,505,156,37,158,2202,101250,93782,1294,3818,858,808,124,87680,83804,604,2276,593,447,46,0,0,82717,78526,835,2397,472,539,24,2099,401,64,22,0,83612,76960,937,2714,678,1428,60,83612,76960,937,2130,476,121,16,195,2777,81787,77802,667,2289,483,477,18,0,0,0,0,0,81864,77743,731,2318,428,479,109,1833,264,34,109,81215,76771,988,2274,528,474,82,1744,333,32,82,46821,20339,25606,42262,16513,25749,44131,12022,29668,43756,20070,19901,42990,19337,21092,36868,18872,16584,45118,15099,28784,48528,14767,33022,47513,12798,33598,47659,14823,30514,46608,17630,28978,45509,14332,30360,45576,13442,31312,45213,14577,29904,44273,13492,28314,43524,17408,26116,42606,14217,28389,42999,12942,30057
2,2,105660,101969,828,1422,891,606,44,0,0,106538,100756,1124,2334,1322,918,93,0,0,104256,96241,1465,2249,1344,2119,78,106902,101454,1032,1974,1225,894,69,1410,884,223,0,234,1665,104946,98749,1200,1837,997,1020,132,83463,80965,557,879,620,463,33,0,0,84536,81208,570,1503,574,553,90,1260,448,251,28,0,83207,77509,1001,1441,948,1617,48,83207,77509,1001,1045,735,136,13,133,2635,84396,81590,563,1149,475,604,0,0,0,0,0,0,83837,80718,773,1147,426,706,90,896,234,84,90,81699,78747,595,1114,492,779,17,713,325,37,17,43157,18501,23525,39168,14344,24824,43182,10768,29912,43203,20221,19103,42130,17895,20044,35507,17940,15640,44481,14403,28623,48271,14003,33343,47369,12241,33608,47170,14417,30394,46309,17756,28553,45827,13578,31154,46357,13030,32328,45763,13458,30730,45085,13899,28328,43976,15230,28746,43271,14178,29093,43949,12955,30994
3,3,110727,106591,886,1771,701,842,88,0,0,108084,103285,1295,1878,763,774,184,0,0,105587,98048,1339,2277,951,2303,100,107355,102332,1247,2028,809,805,116,1366,378,300,1,78,1653,105603,100038,1435,2036,854,1106,341,86776,84115,553,997,483,632,49,0,0,85165,82345,730,1007,384,524,30,845,326,261,118,0,84057,78843,889,1349,678,1757,70,84057,78843,889,873,482,164,25,162,2619,84570,81725,707,1155,360,622,4,0,0,0,0,0,83365,80080,865,1062,460,611,80,802,377,116,80,82389,79011,894,1013,489,625,90,699,306,76,90,45368,15495,28945,41889,13534,28355,45262,9903,33108,45383,21408,20876,44074,15514,26052,36615,17218,17928,45653,12785,31647,49189,12677,35727,48267,10988,35951,47634,11751,34009,47261,14783,32478,46625,11793,33854,47292,11899,34605,46411,10988,33932,45764,12372,30567,44293,11913,32380,44017,12099,31918,44558,11346,33212
4,4,104816,101559,756,1105,756,615,65,0,0,105174,101355,885,1340,753,422,412,0,0,104885,98398,1159,1703,1150,1870,59,103871,99765,937,1124,921,515,302,462,754,24,35,104,1787,104268,99369,1375,1170,959,869,178,80904,78888,452,579,478,478,44,0,0,81624,79437,499,713,485,329,55,596,457,30,80,0,82052,77742,752,920,761,1414,30,82052,77742,752,601,595,122,7,140,2093,81184,78993,608,559,588,382,35,0,0,0,0,0,81428,78939,909,522,414,496,30,349,288,8,30,81157,78211,937,840,433,601,4,535,273,27,4,44063,16870,26265,40323,13587,26736,44183,10048,32108,44584,23236,18282,43610,19032,22757,37334,18409,17708,45941,13821,31024,49824,13033,35887,49211,11304,36778,47406,14092,31693,48154,16530,31624,47298,12094,34115,47664,11517,35250,46806,11083,34054,46470,15164,28358,44974,11075,33899,44845,12262,32583,45106,11136,33970
5,5,110980,101918,1132,5920,1260,905,87,0,0,107848,97722,1495,6113,1907,693,95,0,0,106335,93447,1649,6744,1758,2287,107,107505,97581,1509,5790,1965,818,90,4484,1130,170,17,210,2406,106502,95850,1475,6478,1722,925,106,88833,82440,756,4034,972,704,55,0,0,85531,79052,928,4097,845,548,4,3765,724,227,69,0,85746,76451,1157,4576,1347,1812,74,85746,76451,1157,3799,1098,191,23,218,2809,84975,78622,857,3847,907,541,4,0,0,0,0,0,84588,77950,866,4187,898,709,4,3448,698,114,4,84183,77400,1046,4163,917,647,13,3267,621,62,13,40796,17877,22069,36441,15571,20870,38451,12879,23539,38776,21629,13708,38087,21771,14895,33541,19391,13129,40065,16285,22795,43097,16585,25763,42195,14552,26640,41729,16015,24222,41356,18408,22948,40293,15087,24347,40477,14820,24830,39545,13379,24947,39580,17321,20201,37406,14014,23392,37314,14594,22720,37553,13693,23860
6,6,120479,111447,718,7193,508,715,45,0,0,111137,102117,1011,6923,505,508,43,0,0,110696,98551,1298,7751,548,2168,80,109224,100020,1057,6709,676,583,19,5397,331,95,0,171,2153,109933,98556,1372,8264,767,751,17,95135,88687,486,5024,410,582,31,0,0,87629,81449,570,4670,413,458,0,4607,339,170,55,0,88332,79317,970,5650,397,1717,61,88332,79317,970,5034,300,175,12,128,2396,86291,80117,635,4614,355,567,0,0,0,0,0,0,86536,79043,691,5760,483,532,0,5666,175,56,0,83938,77243,824,4006,379,1457,5,3874,77,178,5,38956,15685,22312,38152,10769,27383,41512,7936,32246,41562,19404,20076,39323,16025,21444,31778,13620,17186,40966,9807,30406,44765,8721,35537,42931,8633,33397,43147,8982,32934,42219,11698,30521,40157,7963,31526,40362,7326,32455,39174,6710,31437,38567,9277,27466,36618,7571,29047,36514,8036,28478,36888,7616,29272
7,7,111453,107733,649,2145,369,615,32,0,0,103723,99929,677,2374,237,583,50,0,0,100341,94470,784,2241,406,1962,64,102010,97620,601,3012,200,494,62,1742,165,87,25,8,1764,100236,95538,785,2359,329,573,86,87218,84649,430,1429,244,481,21,0,0,81464,78902,440,1525,143,427,14,1304,115,107,5,0,79501,75257,534,1497,292,1536,38,79501,75257,534,1147,172,141,5,84,2161,79749,77034,367,1861,83,382,24,0,0,0,0,0,78432,75956,450,1457,189,377,10,902,158,32,10,76449,73580,408,1565,174,739,0,880,157,49,0,39249,18513,19736,35652,12206,23446,38041,8221,28365,38200,22600,12795,36571,17899,17206,29951,15938,13076,37621,11303,25594,40702,9531,30564,39417,8965,29650,39761,12100,26737,38347,13454,24893,36715,8673,27356,36804,7718,28449,35841,7814,27086,35170,10885,22293,33441,7574,25867,33479,8959,24520,33626,8189,25437
8,8,108586,95151,1017,10722,962,976,88,0,0,101882,88202,1355,10470,1150,1300,43,0,0,101467,85326,1538,10766,1045,2509,104,100956,87632,1302,9519,1047,1438,269,7432,580,347,230,18,3417,100653,87439,1143,9557,856,1389,293,85694,76251,686,7470,695,745,62,0,0,80385,71204,768,6972,546,759,14,6524,408,319,260,0,81248,69546,1012,7657,752,2000,58,81248,69546,1012,6693,549,234,13,178,3023,79733,71435,789,6093,508,754,4,0,0,0,0,0,81111,72277,632,6601,505,1003,30,5947,422,147,30,78330,69985,898,4996,418,1759,71,4271,358,29,71,43914,21924,21152,39539,17727,21812,40293,13887,24509,40612,23375,13115,39666,20270,17512,33573,19583,12813,41059,16791,23322,44108,16611,26694,43432,14167,28310,42646,17592,23796,42568,18977,23591,40932,14689,25345,40953,14465,25696,40024,13746,25066,39714,16436,20661,38419,13009,25410,38579,14415,24164,38640,13501,25139
9,9,119353,107673,1266,8537,1025,1028,105,0,0,112506,100608,1544,8255,976,885,56,0,0,110670,96581,1636,8422,1225,2231,85,111454,99349,1646,8314,947,756,31,6724,622,205,26,443,2431,109373,97813,1549,8003,974,1216,29,94257,85510,915,6339,792,806,61,0,0,88137,79780,1071,6119,415,672,35,5740,356,165,35,0,87368,76893,1127,6220,907,1764,71,87368,76893,1127,5594,731,173,17,130,2703,87534,78929,1197,6378,477,519,25,0,0,0,0,0,86569,78116,963,5975,627,822,19,5431,445,4,19,85023,76807,998,5763,620,602,10,5170,464,10,10,41416,15524,24945,40380,11119,29261,42714,9063,32078,43010,24893,15435,41159,16735,22082,34159,15434,17409,43642,12325,30463,47468,10992,35871,46288,11498,33958,46007,12227,32540,45440,14969,30471,43442,10292,32301,43767,9352,33711,42454,9502,31297,42024,11562,28042,40354,9383,30971,40190,9869,30321,40603,9246,31357
