ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SD1,19413,18092,805,72,116,341,16,0,0,20048,18561,826,204,94,386,13,0,0,18656,16755,932,109,135,579,41,19965,17966,1203,315,95,396,6,152,82,104,5,10,444,19675,17647,1047,95,100,563,47,14389,13587,473,39,71,224,9,0,0,14889,14028,462,91,50,253,0,41,44,109,0,0,13932,12708,556,50,95,385,18,13932,12708,556,21,50,95,4,57,441,15187,14062,702,134,20,272,0,0,0,0,0,0,15100,14173,441,20,35,398,0,0,35,127,0,15324,14267,462,24,42,424,13,0,15,119,13,8398,1410,6717,9097,599,8024,6892,732,5947,6886,800,5698,8035,716,7062,9529,798,8512,9302,829,8421,7954,682,7094,9631,889,8571
2,SD2,18344,16609,1247,136,105,329,31,0,0,19172,16725,1793,112,228,391,3,0,0,18887,16252,1508,190,193,593,52,18535,16078,1793,139,162,399,11,78,113,27,0,15,428,17999,15454,1777,135,120,456,55,13624,12538,759,62,69,222,17,0,0,13983,12784,880,0,93,241,0,0,25,31,4,0,14163,12492,938,93,119,422,18,14163,12492,938,42,77,99,5,44,466,13620,12334,919,4,70,275,0,0,0,0,0,0,13403,11980,948,24,54,330,0,24,40,18,0,14012,12493,1007,77,73,306,0,73,60,18,0,7908,1753,5936,8631,921,7083,6315,1103,4978,6299,999,4885,7544,1061,6158,9147,1202,7678,8927,1458,7395,7488,1091,6175,8889,1209,7505
3,SD3,20464,18400,1518,148,98,359,32,0,0,20371,18168,1548,110,243,409,64,0,0,19500,16911,1541,192,180,589,36,20152,17500,1664,226,298,401,170,65,162,192,168,110,288,19657,16745,1725,197,220,683,118,16246,14847,1013,96,65,253,22,0,0,16042,14554,1065,64,56,235,65,50,48,164,19,0,15586,13761,1085,137,100,399,24,15586,13761,1085,98,61,153,9,41,378,15902,14131,1067,127,91,254,170,0,0,0,0,0,15539,13660,1108,76,53,488,109,43,49,300,109,15652,13915,1020,160,56,403,18,100,5,186,18,9306,2495,6490,9198,1233,7290,7502,1376,5910,7525,1344,5664,8399,1356,6723,9632,1611,7769,9463,1637,7794,8214,1336,6666,9465,1519,7756
4,SD4,15811,13885,1216,284,308,186,35,0,0,16966,14799,1135,404,544,257,25,0,0,17856,14703,1684,424,466,466,78,16833,14200,1509,409,543,342,34,246,278,11,0,23,564,16114,13887,1343,280,404,223,0,12434,11103,814,188,215,138,29,0,0,13070,11706,743,216,166,160,0,197,103,44,60,0,14071,11902,1148,248,319,325,50,14071,11902,1148,165,214,46,21,66,509,13136,11504,886,175,204,248,0,0,0,0,0,0,13022,11783,783,123,197,133,0,76,118,53,0,13523,12020,986,146,204,97,5,104,145,37,5,9188,3254,5773,9456,2623,5901,8129,2871,5071,8151,2536,5328,9005,2875,5810,10188,3460,6363,10144,3214,6888,9051,2988,5835,9710,3323,6088
5,SD5,16765,13602,2074,585,312,381,44,0,0,17901,13211,3246,849,345,545,48,0,0,18335,13209,3208,828,458,793,81,18020,13964,2698,727,335,464,31,432,210,296,0,48,377,17978,13364,3124,579,490,517,6,12404,10391,1281,380,190,258,26,0,0,12896,10240,1592,507,148,377,14,437,133,317,25,0,13666,10314,2020,526,278,549,56,13666,10314,2020,380,153,100,17,69,613,12982,10674,1428,414,113,317,0,0,0,0,0,0,12798,10464,1596,290,214,232,0,271,105,99,0,13097,10600,1703,175,276,277,20,167,137,65,20,6177,2075,3954,6179,1515,4000,4846,1597,3094,4856,1419,3177,5820,1678,3884,7186,2096,4813,7142,2113,4990,5933,1751,4011,6968,1959,4846
6,SD6,16974,15403,1181,104,137,177,17,0,0,19092,16660,1536,517,281,166,7,0,0,17857,15213,1592,164,202,528,40,18113,15323,1766,426,282,75,67,164,75,10,50,0,722,18207,15535,1635,298,97,381,42,13049,12059,736,53,79,119,8,0,0,14547,13002,942,287,193,134,0,219,89,6,0,0,13886,12149,1002,84,125,402,23,13886,12149,1002,42,79,91,7,72,444,13789,12161,1055,319,162,44,50,0,0,0,0,0,13774,12295,909,206,56,234,40,132,43,27,40,13812,12543,861,50,73,231,37,28,50,36,37,8693,2354,6028,8968,1300,6915,7384,1506,5647,7382,1484,5425,8359,1489,6537,9802,1697,7810,9724,1757,7944,8408,1486,6711,9881,1618,8047
7,SD7,17875,14703,2106,586,320,313,70,0,0,18337,15146,1915,845,386,275,60,0,0,18228,13933,2605,708,494,640,105,18075,14772,2140,584,524,227,41,291,290,50,28,53,458,18455,14366,2736,570,416,296,162,13660,11593,1373,352,211,203,40,0,0,14240,12059,1268,592,145,183,34,319,107,96,0,0,14366,11403,1780,446,311,445,63,14366,11403,1780,295,180,63,26,62,557,14106,11937,1419,428,229,151,14,0,0,0,0,0,14111,11628,1743,418,167,152,29,401,92,94,29,14371,11693,1807,483,177,169,21,494,95,86,21,9242,3963,5081,8103,2776,4297,6421,2853,3373,6443,2661,3528,7404,2983,4091,8662,3507,4745,8609,3490,5080,7442,3064,4173,8293,3268,4762
8,SD8,18205,12845,3775,1063,338,499,63,0,0,18284,12931,4358,600,400,268,101,0,0,18568,12418,4059,1051,402,953,88,18077,12552,4315,985,477,363,122,221,204,185,34,1,557,18456,13210,3819,1366,565,472,51,13993,10315,2580,688,230,343,45,0,0,14120,10609,2835,205,270,168,20,184,149,153,25,0,14687,10245,2851,734,317,674,55,14687,10245,2851,541,185,141,22,57,645,13875,10375,2686,173,324,232,35,0,0,0,0,0,14099,10767,2415,289,347,208,35,206,238,157,35,14602,10822,2680,447,363,256,0,313,228,76,0,6822,3394,3222,6277,2270,3206,4670,2302,2201,4672,2192,2267,5573,2462,2857,6740,2886,3509,6692,2979,3678,5543,2509,2886,5933,2422,3373
9,SD9,17924,14935,1531,348,920,261,35,0,0,18325,14821,1821,524,1089,197,32,0,0,18547,14566,1976,415,958,536,61,18435,14678,1677,573,1273,375,62,343,907,242,23,0,572,18215,14723,1644,450,1040,429,52,15491,13143,1122,261,800,201,28,0,0,14788,12874,1100,444,234,129,0,305,149,65,22,0,15957,12785,1531,324,797,425,40,15957,12785,1531,209,594,138,17,90,593,15087,12675,1166,495,429,248,25,0,0,0,0,0,15040,12646,1343,365,410,210,40,125,264,108,40,15629,12813,1746,307,563,177,35,137,262,76,35,8517,4876,3415,8506,4092,3029,7061,4396,2427,7051,4125,2554,7921,4554,2931,9140,5281,3352,9005,5273,3698,7853,4617,2965,7979,4485,3235
