"chamber","party","rank_partisan_leg_D","rank_partisan_leg_R","legislator_name","district_number","leg_party_loyalty","leg_n_votes_denom_loyalty"
"House","D",1,NA,"Mark Pafford",86,0.98858075040783,613
"House","D",2,NA,"Angela Nixon",13,0.988274706867672,597
"House","D",3,NA,"Rick Kriseman",53,0.987767584097859,327
"House","D",4,NA,"Cindy Polo",103,0.984375,128
"House","D",5,NA,"Joy Goff-Marcil",30,0.981481481481482,378
"House","D",6,NA,"Dianne Hart-Lowman",63,0.978723404255319,94
"House","D",7,NA,"Adam Fetterman",81,0.978021978021978,91
"House","D",8,NA,"John Cortes",43,0.976798143851508,431
"House","D",9,NA,"Jennifer Harris",44,0.976744186046512,387
"House","D",10,NA,"Yolly Roberson",104,0.975308641975309,81
"House","D",11,NA,"Fentrice Driskell",67,0.975,720
"House","D",12,NA,"Barbara Watson",107,0.974842767295597,795
"House","D",13,NA,"Elaine Schwartz",99,0.974654377880184,434
"House","D",14,NA,"Ashley Gantt",109,0.974576271186441,472
"House","D",15,NA,"Travaris McCurdy",46,0.972602739726027,219
"House","D",16,NA,"Michele Rayner-Goolsby",62,0.970355731225296,506
"House","D",17,NA,"Dotie Joseph",108,0.970345963756178,607
"House","D",18,NA,"Richard Steinberg",106,0.969230769230769,260
"House","D",19,NA,"Cynthia Stafford",109,0.968515742128936,667
"House","D",20,NA,"Anna Eskamani",42,0.968197879858657,849
"House","D",21,NA,"Irving Slosberg",91,0.967806841046278,497
"House","D",22,NA,"Felicia Simone Robinson",104,0.966507177033493,627
"House","D",23,NA,"Yvonne Hayes Hinson",21,0.966499162479062,597
"House","D",24,NA,"Amy Mercado",48,0.96551724137931,261
"House","D",25,NA,"Margaret Good",72,0.963157894736842,190
"House","D",26,NA,"Kamia Brown",45,0.959432048681542,493
"House","D",27,NA,"Mary Brandenburg",89,0.958762886597938,97
"House","D",28,NA,"Evan Jenne",99,0.956429330499469,941
"House","D",29,NA,"Adam Hattersley",59,0.953488372093023,129
"House","D",30,NA,"Patricia Hawkins-Williams",98,0.952592592592593,675
"House","D",31,NA,"Marie Woodson",105,0.950375939849624,665
"House","D",32,NA,"Keith Fitzgerald",69,0.947368421052632,95
"House","D",33,NA,"Sharon Pritchett",102,0.947272727272727,550
"House","D",34,NA,"Ben Diamond",68,0.946691176470588,544
"House","D",35,NA,"Daryl Campbell",99,0.944773175542406,507
"House","D",36,NA,"Martin Kiar",97,0.942249240121581,329
"House","D",37,NA,"Scott Randolph",36,0.942238267148014,277
"House","D",38,NA,"Kionne McGhee",117,0.941391941391941,546
"House","D",39,NA,"Omari Hardy",88,0.940677966101695,118
"House","D",40,NA,"Lindsay Cross",60,0.937823834196891,386
"House","D",41,NA,"Karen Castor Dentel",30,0.9375,128
"House","D",42,NA,"Ronald Brise",108,0.9375,96
"House","D",43,NA,"Franklin Sands",98,0.936454849498328,299
"House","D",44,NA,"Clovis Watson",20,0.936210131332083,533
"House","D",45,NA,"Bobby Dubose",94,0.935613682092555,497
"House","D",46,NA,"Gwyndolen Clarke-Reed",92,0.935323383084577,603
"House","D",47,NA,"Luis Garcia",107,0.93167701863354,322
"House","D",48,NA,"Joseph Geller",100,0.930708661417323,635
"House","D",49,NA,"Hazelle Rogers",95,0.927852348993289,596
"House","D",50,NA,"Robin Bartleman",103,0.923076923076923,663
"House","D",51,NA,"Robert Asencio",118,0.923076923076923,156
"House","D",52,NA,"Tom Keen",35,0.922222222222222,90
"House","D",53,NA,"Sean Shaw",61,0.918238993710692,159
"House","D",54,NA,"Bill Heller",52,0.917525773195876,97
"House","D",55,NA,"Steven Perman",78,0.915611814345992,237
"House","D",56,NA,"Janet Long",51,0.914893617021277,94
"House","D",57,NA,"Michael Gottlieb",102,0.914691943127962,844
"House","D",58,NA,"Edwin Narain",61,0.914529914529915,117
"House","D",59,NA,"Mia Jones",14,0.914438502673797,561
"House","D",60,NA,"Patrick Henry",26,0.911949685534591,159
"House","D",61,NA,"Daisy Baez",114,0.91044776119403,67
"House","D",62,NA,"Ramon Alexander",8,0.908918406072106,527
"House","D",63,NA,"Kelly Skidmore",92,0.908177905308465,697
"House","D",64,NA,"Reggie Fullwood",13,0.906183368869936,469
"House","D",65,NA,"RaShon Young",40,0.903225806451613,93
"House","D",66,NA,"Christine Hunschofsky",95,0.901743264659271,631
"House","D",67,NA,"Wallace Aristide",107,0.899497487437186,199
"House","D",68,NA,"Delores Hogan Johnson",84,0.8984375,128
"House","D",69,NA,"Ricardo Rangel",43,0.895522388059702,134
"House","D",70,NA,"Emily Slosberg-King",91,0.894967177242888,457
"House","D",71,NA,"Ron Saunders",120,0.894088669950739,406
"House","D",72,NA,"Joseph Gibbons",100,0.893709327548807,461
"House","D",73,NA,"Joe Saunders",49,0.892857142857143,56
"House","D",74,NA,"David Richardson",113,0.892156862745098,408
"House","D",75,NA,"Ari Porth",96,0.889908256880734,327
"House","D",76,NA,"Al Jacquet",88,0.889328063241107,253
"House","D",77,NA,"Richard Stark",104,0.88929219600726,551
"House","D",78,NA,"Bruce Antone",41,0.887133182844244,886
"House","D",79,NA,"Alan Williams",8,0.886524822695035,564
"House","D",80,NA,"Christopher Benjamin",107,0.885786802030457,394
"House","D",81,NA,"Kristin Jacobs",96,0.883720930232558,301
"House","D",82,NA,"Betty Reed",61,0.881548974943052,439
"House","D",83,NA,"Larry Lee",84,0.881395348837209,430
"House","D",84,NA,"Kevin Chambliss",117,0.874773139745917,551
"House","D",85,NA,"James Waldman",96,0.873362445414847,458
"House","D",86,NA,"Joseph Abruzzo",81,0.863723608445297,521
"House","D",87,NA,"Dave Kerner",87,0.858974358974359,234
"House","D",88,NA,"Daisy Morales",48,0.858536585365854,205
"House","D",89,NA,"Dwayne Taylor",26,0.857142857142857,595
"House","D",90,NA,"Leonard Spencer",45,0.857142857142857,175
"House","D",91,NA,"Allison Tant",9,0.853658536585366,574
"House","D",92,NA,"Charles Chestnut",23,0.853658536585366,328
"House","D",93,NA,"Rob Long",90,0.850574712643678,87
"House","D",94,NA,"Amanda Murphy",36,0.844221105527638,199
"House","D",95,NA,"Dan Daley",96,0.828483920367534,653
